Node,Death_Round
0,1949
1,1957
2,1956
3,1955
4,1951
5,1953
6,1944
7,1874
8,1947
9,1949
10,1954
11,1955
12,1956
13,1948
14,1958
15,1958
16,1953
17,1953
18,1955
19,1953
20,1954
21,1955
22,1950
23,1947
24,1943
25,1943
26,1957
27,1952
28,1953
29,1953
30,2172
31,1807
32,3780
33,2691
34,1473
35,2112
36,3779
37,2157
38,3729
39,1699
40,3737
41,1939
42,1888
43,3779
44,2221
45,1573
46,1506
47,3781
48,3783
49,1946
50,2005
51,3776
52,1677
53,1631
54,2666
55,1842
56,1705
57,3780
58,1346
59,2373
60,2155
61,1623
62,2440
63,3613
64,2237
65,2173
66,1949
67,2054
68,1995
69,3782
70,2178
71,2165
72,1981
73,2347
74,2760
75,1279
76,1790
77,1696
78,1707
79,1305
80,1914
81,3779
82,1687
83,1740
84,2705
85,2484
86,1640
87,2226
88,3779
89,1582
90,3780
91,1746
92,1365
93,1770
94,2692
95,1121
96,2721
97,1677
98,1290
99,2651
