Node,X,Y
0,58.3637,43.0946
1,76.426,56.7425
2,21.2565,44.127
3,21.9877,56.832
4,41.7059,58.4073
5,53.8291,46.9261
6,45.1159,68.3034
7,58.3679,27.7657
8,68.7361,37.7642
9,53.609,44.3067
10,60.0153,22.8444
11,33.6232,68.8057
12,68.8256,69.875
13,39.2744,73.4189
14,35.1501,39.6648
15,56.9906,25.9217
16,62.4174,24.4006
17,64.0849,25.0886
18,73.9991,46.1856
19,53.6514,41.1041
20,51.4464,68.4206
21,43.4489,30.1623
22,29.3468,62.1754
23,51.3068,27.6379
24,40.0273,23.1211
25,77.1249,54.2285
26,37.8228,60.9822
27,69.8289,50.785
28,48.6075,31.663
29,46.4485,50.1507
30,49.5172,91.5094
31,31.2933,76.8735
32,85.2409,94.9906
33,91.0725,33.6055
34,89.8101,4.27153
35,8.62231,14.2945
36,68.9341,85.6626
37,25.2417,90.016
38,2.05208,95.9661
39,48.954,92.649
40,7.21599,56.7508
41,94.1546,41.5363
42,9.73932,48.5844
43,2.97593,69.4277
44,1.50988,90.8975
45,16.5199,31.2786
46,36.449,15.6039
47,86.789,29.0095
48,88.2634,69.2708
49,6.44402,19.8624
50,85.4414,95.4735
51,2.1709,37.362
52,83.8866,77.9526
53,79.4529,89.3124
54,98.9197,85.3307
55,35.5566,88.3289
56,95.5766,0.0107251
57,31.407,99.5316
58,16.7377,75.8572
59,1.01882,77.4824
60,14.9569,2.37036
61,22.367,26.2174
62,84.6943,37.81
63,83.2619,37.1132
64,84.0662,46.9315
65,62.3637,22.1881
66,38.1682,19.4835
67,24.9225,15.2139
68,25.5412,12.7543
69,20.1224,22.2027
70,3.71454,3.41316
71,89.2561,77.9728
72,19.6082,93.5492
73,81.7292,34.8914
74,10.4104,71.212
75,80.3585,32.7113
76,42.4937,7.43783
77,74.72,79.7576
78,72.1399,18.9213
79,82.3468,82.6273
80,2.01022,70.3491
81,96.2878,89.2565
82,79.7805,68.2091
83,86.5982,75.3248
84,0.0964608,59.7564
85,13.7137,99.9414
86,49.3067,18.6875
87,79.8515,29.4778
88,27.2959,91.2528
89,88.986,94.6722
90,92.1392,14.4924
91,41.1603,97.5125
92,18.6914,60.8768
93,20.1195,69.1898
94,26.0495,28.274
95,27.5843,84.1148
96,33.0583,94.663
97,40.3416,2.70615
98,6.40548,33.4391
99,0.382425,4.09678
100,50,50
