Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,25,60,60,0,0,120,2625,67,67,0.0664432166,56.1883807960,4.0000000000,28.0001402492,1.0000000000,1.1680000000,205.4794520548
2,100,0,12,31,31,0,0,111,1364,37,37,0.0364193845,56.1519614115,8.3333333333,29.9356610350,1.0000000000,0.6808000000,182.1386603995
3,100,0,21,28,28,0,0,120,2237,39,39,0.0450310523,56.1069303591,4.7619047619,28.5715680369,1.0000000000,0.7200000000,155.5555555556
4,100,0,12,32,32,0,0,111,1364,40,40,0.0378977729,56.0690325863,8.3333333333,31.5001661212,1.0000000000,0.7288000000,175.6311745335
5,100,0,20,29,29,0,0,118,2140,39,39,0.0446610311,56.0243715551,5.0000000000,29.2415528269,1.0000000000,0.7184000000,161.4699331849
6,100,0,16,41,41,0,0,113,1752,50,50,0.0472682300,55.9771033251,6.2500000000,29.6587122328,1.0000000000,0.8904000000,184.1868823001
7,100,0,21,34,34,0,0,116,2237,42,42,0.0479772174,55.9291261077,4.7619047619,28.7060384602,1.0000000000,0.7648000000,177.8242677824
8,100,0,18,37,37,0,0,116,1946,45,45,0.0472597246,55.8818663830,5.5555555556,29.8380229109,1.0000000000,0.8128000000,182.0866141732
9,100,0,14,32,32,0,0,114,1558,39,39,0.0392656390,55.8426007441,7.1428571429,30.0001472302,1.0000000000,0.7152000000,178.9709172260
10,100,0,16,39,39,0,0,114,1752,49,49,0.0467715643,55.7958291798,6.2500000000,30.3591423678,1.0000000000,0.8752000000,178.2449725777
11,100,0,24,33,33,0,0,117,2528,39,39,0.0497405225,55.7460886574,4.1666666667,27.6365345022,1.0000000000,0.7176000000,183.9464882943
12,100,0,16,43,43,0,0,114,1752,51,51,0.0482900176,55.6977986397,6.2500000000,29.7676193715,1.0000000000,0.9072000000,189.5943562610
13,100,0,23,32,32,0,0,120,2431,41,41,0.0485171618,55.6492814779,4.3478260870,27.5001520092,1.0000000000,0.7520000000,170.2127659574
14,100,0,13,33,33,0,0,113,1461,40,40,0.0389737494,55.6103077286,7.6923076923,30.0607833442,1.0000000000,0.7304000000,180.7228915663
15,100,0,25,40,40,0,0,121,2625,51,51,0.0565856401,55.5537220885,4.0000000000,28.8001724266,1.0000000000,0.9128000000,175.2848378615
16,100,0,13,37,37,0,0,111,1461,45,45,0.0418916371,55.5118304514,7.6923076923,30.2704575961,1.0000000000,0.8088000000,182.9871414441
17,100,0,17,41,41,0,0,115,1849,48,48,0.0477403071,55.4640901443,5.8823529412,28.8782331113,1.0000000000,0.8600000000,190.6976744186
18,100,0,16,43,43,0,0,114,1752,51,51,0.0489934624,55.4150966819,6.2500000000,30.1397278190,1.0000000000,0.9072000000,189.5943562610
19,100,0,16,33,33,0,0,113,1752,38,38,0.0411391082,55.3739575736,6.2500000000,29.0910881105,1.0000000000,0.6984000000,189.0034364261
20,100,0,16,28,28,0,0,115,1752,33,33,0.0385375867,55.3354199869,6.2500000000,29.1430343306,1.0000000000,0.6200000000,180.6451612903
21,100,0,16,27,27,0,0,115,1752,34,34,0.0382330852,55.2971869017,6.2500000000,29.0372126033,1.0000000000,0.6360000000,169.8113207547
22,100,0,19,43,43,0,0,117,2043,51,51,0.0513729412,55.2458139605,5.2631578947,29.3955106654,1.0000000000,0.9096000000,189.0941072999
23,100,0,23,40,40,0,0,117,2431,50,50,0.0541089849,55.1917049756,4.3478260870,28.8001639092,1.0000000000,0.8936000000,179.0510295434
24,100,0,12,36,36,0,0,112,1364,43,43,0.0398160327,55.1518889429,8.3333333333,31.1112655171,1.0000000000,0.7776000000,185.1851851852
25,100,0,23,44,44,0,0,118,2431,52,52,0.0560244266,55.0958645163,4.3478260870,28.0001808804,1.0000000000,0.9264000000,189.9827288428
26,100,0,15,55,55,0,0,115,1655,58,58,0.0527875879,55.0430769284,6.6666666667,29.0910905397,1.0000000000,1.0200000000,215.6862745098
27,100,0,14,42,42,0,0,114,1558,47,47,0.0449340265,54.9981429019,7.1428571429,28.9525718745,1.0000000000,0.8432000000,199.2409867173
28,100,0,20,41,41,0,0,115,2140,46,46,0.0502465828,54.9478963190,5.0000000000,29.2684453358,1.0000000000,0.8280000000,198.0676328502
29,100,0,22,37,37,0,0,114,2334,46,46,0.0509921769,54.8969041421,4.5454545455,28.5407071341,1.0000000000,0.8272000000,178.9168278530
30,100,0,12,36,36,0,0,112,1364,42,42,0.0398074543,54.8570966878,8.3333333333,30.2224114872,1.0000000000,0.7616000000,189.0756302521
31,100,0,19,37,37,0,0,117,2043,43,43,0.0473111361,54.8097855517,5.2631578947,28.9731502523,1.0000000000,0.7816000000,189.3551688843
32,100,0,17,43,43,0,0,115,1849,49,49,0.0487378294,54.7610477223,5.8823529412,29.0234355516,1.0000000000,0.8760000000,196.3470319635
33,100,0,17,47,47,0,0,113,1849,53,53,0.0504372017,54.7106105206,5.8823529412,28.9363243815,1.0000000000,0.9384000000,200.3410059676
34,100,0,14,33,33,0,0,112,1558,38,38,0.0392402816,54.6713702390,7.1428571429,28.6062484985,1.0000000000,0.6976000000,189.2201834862
35,100,0,25,38,38,0,0,123,2625,49,49,0.0545421041,54.6168281349,4.0000000000,27.3685611047,1.0000000000,0.8824000000,172.2574796011
36,100,0,19,40,40,0,0,119,2043,48,48,0.0495377115,54.5672904234,5.2631578947,29.6001478410,1.0000000000,0.8632000000,185.3568118628
37,100,0,22,39,39,0,0,120,2334,47,47,0.0516969144,54.5155935090,4.5454545455,27.8976025425,1.0000000000,0.8480000000,183.9622641509
38,100,0,16,40,40,0,0,115,1752,46,46,0.0454514285,54.4701420805,6.2500000000,29.2001718711,1.0000000000,0.8280000000,193.2367149758
39,100,0,25,47,47,0,0,121,2625,51,51,0.0576059145,54.4125361660,4.0000000000,26.5533464175,1.0000000000,0.9128000000,205.9596844873
40,100,0,15,44,44,0,0,115,1655,53,53,0.0484198700,54.3641162960,6.6666666667,30.1820021803,1.0000000000,0.9400000000,187.2340425532
41,100,0,13,41,41,0,0,112,1461,45,45,0.0423108819,54.3218054141,7.6923076923,28.8782215075,1.0000000000,0.8096000000,202.5691699605
42,100,0,15,36,36,0,0,113,1655,45,45,0.0439774775,54.2778279366,6.6666666667,30.6668629369,1.0000000000,0.8104000000,177.6900296150
43,100,0,14,42,42,0,0,113,1558,48,48,0.0450755962,54.2327523404,7.1428571429,30.0954101723,1.0000000000,0.8584000000,195.7129543336
44,100,0,11,32,32,0,0,110,1267,38,38,0.0361768514,54.1965754890,9.0909090909,31.0001783439,1.0000000000,0.6960000000,183.9080459770
45,100,0,16,47,47,0,0,112,1752,55,55,0.0512813615,54.1452941275,6.2500000000,30.6384966335,1.0000000000,0.9696000000,193.8943894389
46,100,0,10,46,46,0,0,109,1170,51,51,0.0432631458,54.1020309816,10.0000000000,30.6088801750,1.0000000000,0.9032000000,203.7201062888
47,100,0,19,36,36,0,0,116,2043,44,44,0.0472328564,54.0547981252,5.2631578947,28.8890641596,1.0000000000,0.7968000000,180.7228915663
48,100,0,13,40,40,0,0,113,1461,46,46,0.0428579483,54.0119401770,7.6923076923,30.0001679683,1.0000000000,0.8264000000,193.6108422072
49,100,0,19,35,35,0,0,116,2043,41,41,0.0463116355,53.9656285415,5.2631578947,29.2573146158,1.0000000000,0.7488000000,186.9658119658
50,100,0,21,33,33,0,0,119,2237,37,37,0.0459617190,53.9196668225,4.7619047619,28.1213795893,1.0000000000,0.6872000000,192.0838183935
51,100,0,18,37,37,0,0,114,1946,42,42,0.0456722562,53.8739945663,5.5555555556,28.5407145042,1.0000000000,0.7632000000,193.9203354298
52,100,0,10,51,51,0,0,110,1170,57,57,0.0465637700,53.8274307963,10.0000000000,30.7452837108,1.0000000000,1.0000000000,204.0000000000
53,100,0,21,43,43,0,0,119,2237,50,50,0.0524504179,53.7749803784,4.7619047619,27.9071280301,1.0000000000,0.8952000000,192.1358355675
54,100,0,11,40,40,0,0,111,1267,48,48,0.0418979201,53.7330824583,9.0909090909,30.8001882135,1.0000000000,0.8568000000,186.7413632120
55,100,0,19,45,45,0,0,118,2043,55,55,0.0529032319,53.6801792264,5.2631578947,29.8668187746,1.0000000000,0.9744000000,184.7290640394
56,100,0,13,38,38,0,0,112,1461,45,45,0.0414653888,53.6387138375,7.6923076923,29.4738481495,1.0000000000,0.8096000000,187.7470355731
57,100,0,18,40,40,0,0,118,1946,46,46,0.0473398798,53.5913739577,5.5555555556,28.4001503396,1.0000000000,0.8304000000,192.6782273603
58,100,0,19,41,41,0,0,115,2043,48,48,0.0491216578,53.5422522999,5.2631578947,28.0977215151,1.0000000000,0.8600000000,190.6976744186
59,100,0,21,39,39,0,0,120,2237,52,52,0.0522271953,53.4900251046,4.7619047619,29.9488744886,1.0000000000,0.9280000000,168.1034482759
60,100,0,21,41,41,0,0,118,2237,49,49,0.0516845598,53.4383405448,4.7619047619,27.7074842466,1.0000000000,0.8784000000,186.7030965392
61,100,0,10,30,30,0,0,110,1170,35,35,0.0338340284,53.4045065165,10.0000000000,30.4001973350,1.0000000000,0.6480000000,185.1851851852
62,100,0,8,43,43,0,0,108,976,47,47,0.0398053275,53.3647011890,12.5000000000,30.8839193076,1.0000000000,0.8384000000,205.1526717557
63,100,0,17,40,40,0,0,117,1849,51,51,0.0489609728,53.3157402162,5.8823529412,31.2001800302,1.0000000000,0.9096000000,175.9014951627
64,100,0,17,42,42,0,0,114,1849,50,50,0.0480931818,53.2676470344,5.8823529412,28.5715861702,1.0000000000,0.8912000000,188.5098743268
65,100,0,11,44,44,0,0,111,1267,49,49,0.0433924326,53.2242546018,9.0909090909,30.1820127018,1.0000000000,0.8728000000,201.6498625115
66,100,0,13,38,38,0,0,113,1461,44,44,0.0416011308,53.1826534710,7.6923076923,29.8949134687,1.0000000000,0.7944000000,191.3393756294
67,100,0,14,43,43,0,0,112,1558,50,50,0.0456707708,53.1369827002,7.1428571429,29.7675999373,1.0000000000,0.8896000000,193.3453237410
68,100,0,18,35,35,0,0,116,1946,40,40,0.0446126601,53.0923700401,5.5555555556,28.3430361919,1.0000000000,0.7328000000,191.0480349345
69,100,0,21,38,38,0,0,119,2237,43,43,0.0492906034,53.0430794368,4.7619047619,27.7896381564,1.0000000000,0.7832000000,194.0755873340
70,100,0,12,36,36,0,0,111,1364,41,41,0.0397477036,53.0033317332,8.3333333333,29.7779791216,1.0000000000,0.7448000000,193.3404940924
71,100,0,21,42,42,0,0,115,2237,48,48,0.0517750570,52.9515566762,4.7619047619,27.8097014486,1.0000000000,0.8600000000,195.3488372093
72,100,0,17,45,45,0,0,115,1849,51,51,0.0500409329,52.9015157434,5.8823529412,29.5112895602,1.0000000000,0.9080000000,198.2378854626
73,100,0,17,32,32,0,0,114,1849,35,35,0.0408230855,52.8606926579,5.8823529412,28.0001626045,1.0000000000,0.6512000000,196.5601965602
