Node,Death_Round
0,1585
1,1762
2,2088
3,1779
4,1293
5,1625
6,1122
7,1278
8,1675
9,1639
10,1685
11,1486
12,1417
13,991
14,1060
15,1070
16,1737
17,1839
18,1822
19,1367
20,1159
21,1053
22,1617
23,989
24,1462
25,1837
26,1305
27,1792
28,1022
29,1546
30,1061
31,1950
32,1271
33,1766
34,2058
35,1135
36,855
37,1681
38,1017
39,1325
40,878
41,1384
42,1631
43,1541
44,1437
45,1159
46,1245
47,1552
48,1091
49,1386
50,1472
51,1308
52,1242
53,1688
54,1188
55,1529
56,1430
57,2043
58,1447
59,2189
60,1992
61,857
62,1212
63,1100
64,1477
65,1615
66,1347
67,1668
68,934
69,1623
70,1677
71,1675
72,2010
73,930
74,804
75,1660
76,1223
77,1337
78,1994
79,965
80,1338
81,1019
82,2063
83,1320
84,1039
85,1760
86,1573
87,1465
88,1328
89,1283
90,1758
91,1055
92,1084
93,1468
94,1291
95,1915
96,1877
97,1610
98,1800
99,1607
100,1315
101,1390
102,1577
103,999
104,959
105,1499
106,1379
107,1532
108,1218
109,956
110,1113
111,1403
112,1537
113,1268
114,1506
115,1081
116,1546
117,1137
118,1877
119,1628
120,1227
121,878
122,1252
123,1007
124,1031
125,1463
126,981
127,1813
128,1277
129,1552
130,1195
131,1477
132,1667
133,1008
134,1055
135,1268
136,1207
137,1551
138,1107
139,1297
140,1025
141,916
142,1796
143,1700
144,1248
145,1493
146,1144
147,1557
148,964
149,1694
150,1505
151,850
152,1008
153,1233
154,1131
155,973
156,1230
157,1816
158,1192
159,1472
160,1066
161,974
162,791
163,1678
164,1076
165,1043
166,1153
167,1262
168,1920
169,1849
170,1000
171,934
172,1471
173,947
174,1076
175,1063
176,1015
177,2002
178,2063
179,1365
180,1966
181,1055
182,1493
183,1127
184,1687
185,1603
186,1404
187,1171
188,1856
189,816
190,1850
191,1900
192,1185
193,1677
194,1544
195,1242
196,1278
197,1077
198,980
199,1430
200,1571
201,1160
202,1413
203,1528
204,1188
205,1379
206,1721
207,1156
208,1532
209,1180
210,1394
211,1894
212,1767
213,1440
214,1011
215,892
216,1801
217,1134
218,1241
219,1715
220,1698
221,1482
222,1691
223,1465
224,1245
225,1176
226,1927
227,1671
228,1100
229,1839
230,1592
231,1058
232,1542
233,2135
234,1568
235,1129
236,864
237,1800
238,1688
239,1205
240,1247
241,1434
242,1514
243,1437
244,1302
245,1515
246,1367
247,983
248,1675
249,1703
250,967
251,1185
252,1430
253,1697
254,1334
255,2185
256,770
257,1604
258,1782
259,1127
260,929
261,1366
262,1555
263,1550
264,1050
265,1180
266,1294
267,1247
268,1257
269,1709
270,1026
271,1868
272,948
273,845
274,1354
275,1016
276,1335
277,1049
278,1118
279,1255
280,1718
281,1457
282,1236
283,1490
284,1475
285,1109
286,1254
287,1250
288,1304
289,1721
290,945
291,1251
292,1854
293,1602
294,1561
295,1616
296,1258
297,1220
298,1230
299,1620
300,1693
301,1500
302,2077
303,1106
304,1138
305,734
306,2107
307,1326
308,1249
309,1705
310,1406
311,1220
312,890
313,1254
314,1057
315,1460
316,1662
317,1513
318,2090
319,1701
320,1028
321,1787
322,1503
323,1144
324,1368
325,892
326,1411
327,1285
328,1198
329,1145
330,1544
331,1307
332,1352
333,1592
334,1303
335,1398
336,1725
337,1935
338,1130
339,1553
340,1414
341,1213
342,799
343,1470
344,1362
345,1212
346,1114
347,1581
348,842
349,2098
350,1068
351,1333
352,1408
353,825
354,1519
355,1164
356,1512
357,1166
358,1829
359,1296
360,1197
361,1099
362,1583
363,1708
364,1112
365,1444
366,1344
367,1855
368,1274
369,1025
370,1902
371,1556
372,1503
373,1116
374,1582
375,1579
376,1136
377,1502
378,1049
379,1142
380,1043
381,1888
382,1559
383,1126
384,1575
385,1356
386,1713
387,1541
388,961
389,1069
390,1474
391,2171
392,1023
393,1147
394,1301
395,1785
396,1651
397,1515
398,1069
399,1710
400,1619
401,1575
402,1838
403,1692
404,2177
405,1680
406,1111
407,989
408,1073
409,1378
410,1454
411,1185
412,1629
413,1501
414,1197
415,1302
416,1190
417,1846
418,1509
419,1189
420,1590
421,1163
422,1379
423,997
424,1181
425,1757
426,1685
427,1705
428,1647
429,1207
430,1476
431,1801
432,1620
433,1795
434,1720
435,1377
436,1165
437,2259
438,1939
439,1488
440,1626
441,1496
442,1297
443,1300
444,1823
445,1405
446,896
447,1127
448,1627
449,1324
450,1273
451,1426
452,1179
453,1562
454,1332
455,1473
456,1515
457,1534
458,1362
459,1181
460,1336
461,1448
462,1375
463,911
464,2217
465,1086
466,1513
467,1599
468,1454
469,1903
470,1629
471,2155
472,1655
473,985
474,2196
475,1408
476,1483
477,1125
478,1337
479,1627
480,1645
481,1225
482,1714
483,1188
484,1135
485,1591
486,1093
487,1598
488,855
489,1747
490,1256
491,1403
492,966
493,1580
494,929
495,1645
496,1259
497,1433
498,1071
499,1218
