Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,500,0,11,2500,2500,0,0,6,1061,44676,2500,2500,0.7540448924,999.2459551076,45.4545454545,7.9124736606,1.0000000000,10.8488000000,230.4402330212
2,500,0,14,2500,2500,0,0,6,1101,47900,2500,2500,0.7925617505,998.4533933571,35.7142857143,7.8884844784,1.0000000000,10.8808000000,229.7625174620
3,500,0,15,2500,2500,0,0,6,1102,47957,2500,2500,0.7923350959,997.6610582613,33.3333333333,7.8804835615,1.0000000000,10.8816000000,229.7456256433
4,500,0,13,2500,2500,0,0,6,1136,50300,2500,2500,0.8114806497,996.8495776116,38.4615384615,7.8964837257,1.0000000000,10.9088000000,229.1727779407
5,500,0,14,2500,2500,0,0,6,1114,49018,2500,2500,0.8011837848,996.0483938268,35.7142857143,7.8884793126,1.0000000000,10.8912000000,229.5431173792
6,500,0,15,2500,2500,0,0,6,1115,48766,2500,2500,0.8037102395,995.2446835873,33.3333333333,7.8804865371,1.0000000000,10.8920000000,229.5262578039
7,500,0,14,2500,2500,0,0,6,1129,49593,2500,2500,0.8069301913,994.4377533961,35.7142857143,7.8884791201,1.0000000000,10.9032000000,229.2904835278
8,500,0,12,2500,2500,0,0,6,1108,48551,2500,2500,0.7937257345,993.6440276616,41.6666666667,7.9044823764,1.0000000000,10.8864000000,229.6443268665
9,500,0,14,2500,2500,0,0,6,1165,52141,2500,2500,0.8363356011,992.8076920605,35.7142857143,7.8884807191,1.0000000000,10.9320000000,228.6864251738
10,500,0,11,2500,2500,0,0,6,1187,53861,2500,2500,0.8420023935,991.9656896669,45.4545454545,7.9124844789,1.0000000000,10.9496000000,228.3188426975
11,500,0,13,2500,2500,0,0,6,1085,46628,2500,2500,0.7705329684,991.1951566986,38.4615384615,7.8964780844,1.0000000000,10.8680000000,230.0331247700
12,500,0,13,2500,2500,0,0,6,1139,50339,2500,2500,0.8121146371,990.3830420614,38.4615384615,7.8964752513,1.0000000000,10.9112000000,229.1223696752
13,500,0,15,2500,2500,0,0,6,1087,47269,2500,2500,0.7869609868,989.5960810747,33.3333333333,7.8804801611,1.0000000000,10.8696000000,229.9992640024
14,500,0,13,2500,2500,0,0,6,1149,50813,2500,2500,0.8213407265,988.7747403482,38.4615384615,7.8964782877,1.0000000000,10.9192000000,228.9545021613
15,500,0,15,2500,2500,0,0,6,1167,52500,2500,2500,0.8402821216,987.9344582266,33.3333333333,7.8804759484,1.0000000000,10.9336000000,228.6529596839
16,500,0,13,2500,2500,0,0,6,1078,46266,2500,2500,0.7722192628,987.1622389638,38.4615384615,7.8964781704,1.0000000000,10.8624000000,230.1517160112
17,500,0,16,2500,2500,0,0,6,1099,47844,2500,2500,0.7949319919,986.3673069719,31.2500000000,7.8724798358,1.0000000000,10.8792000000,229.7963085521
18,500,0,14,2500,2500,0,0,6,1105,48053,2500,2500,0.7918741024,985.5754328694,35.7142857143,7.8884768093,1.0000000000,10.8840000000,229.6949650864
19,500,0,13,2500,2500,0,0,6,1092,47213,2500,2500,0.7793197890,984.7961130805,38.4615384615,7.8964775582,1.0000000000,10.8736000000,229.9146556798
20,500,0,15,2500,2500,0,0,6,1155,52203,2500,2500,0.8349068309,983.9612062495,33.3333333333,7.8804831650,1.0000000000,10.9240000000,228.8538996705
21,500,0,15,2500,2500,0,0,6,1125,49234,2500,2500,0.8029554209,983.1582508286,33.3333333333,7.8804765730,1.0000000000,10.9000000000,229.3577981651
22,500,0,12,2500,2500,0,0,6,1063,45088,2500,2500,0.7564052373,982.4018455913,41.6666666667,7.9044741884,1.0000000000,10.8504000000,230.4062523041
23,500,0,13,2500,2500,0,0,6,1088,47171,2500,2500,0.7809192262,981.6209263651,38.4615384615,7.8964812976,1.0000000000,10.8704000000,229.9823373565
24,500,0,12,2500,2500,0,0,6,1085,46673,2500,2500,0.7743083845,980.8466179806,41.6666666667,7.9044780465,1.0000000000,10.8680000000,230.0331247700
25,500,0,13,2500,2500,0,0,6,1085,46639,2500,2500,0.7711658323,980.0754521483,38.4615384615,7.8964724408,1.0000000000,10.8680000000,230.0331247700
26,500,0,13,2500,2500,0,0,6,1083,46507,2500,2500,0.7695769676,979.3058751808,38.4615384615,7.8964782102,1.0000000000,10.8664000000,230.0669955091
27,500,0,13,2500,2500,0,0,6,1095,47685,2500,2500,0.7857469321,978.5201282487,38.4615384615,7.8964806298,1.0000000000,10.8760000000,229.8639205590
28,500,0,13,2500,2500,0,0,6,1084,46380,2500,2500,0.7712741686,977.7488540800,38.4615384615,7.8964720494,1.0000000000,10.8672000000,230.0500588928
29,500,0,16,2500,2500,0,0,6,1083,47078,2500,2500,0.7864026166,976.9624514634,31.2500000000,7.8724782210,1.0000000000,10.8664000000,230.0669955091
30,500,0,17,2500,2500,0,0,6,1134,49854,2500,2500,0.8161592161,976.1462922473,29.4117647059,7.8644792102,1.0000000000,10.9072000000,229.2063957753
31,500,0,14,2500,2500,0,0,6,1083,46764,2500,2500,0.7795191177,975.3667731296,35.7142857143,7.8884810343,1.0000000000,10.8664000000,230.0669955091
32,500,0,13,2500,2500,0,0,6,1200,54776,2500,2500,0.8555175169,974.5112556126,38.4615384615,7.8964761239,1.0000000000,10.9600000000,228.1021897810
33,500,0,16,2500,2500,0,0,6,1077,46565,2500,2500,0.7827213337,973.7285342789,31.2500000000,7.8724823056,1.0000000000,10.8616000000,230.1686675996
34,500,0,12,2500,2500,0,0,6,1077,46082,2500,2500,0.7667634395,972.9617708395,41.6666666667,7.9044781950,1.0000000000,10.8616000000,230.1686675996
35,500,0,13,2500,2500,0,0,6,1105,48031,2500,2500,0.7897050082,972.1720658312,38.4615384615,7.8964845095,1.0000000000,10.8840000000,229.6949650864
36,500,0,13,2500,2500,0,0,6,1128,49203,2500,2500,0.7967383656,971.3753274657,38.4615384615,7.8964887131,1.0000000000,10.9024000000,229.3073084825
37,500,0,13,2500,2500,0,0,6,1114,48670,2500,2500,0.7925710440,970.5827564217,38.4615384615,7.8964780035,1.0000000000,10.8912000000,229.5431173792
38,500,0,14,2500,2500,0,0,6,1104,47801,2500,2500,0.7866470218,969.7961093999,35.7142857143,7.8884750743,1.0000000000,10.8832000000,229.7118494560
39,500,0,14,2500,2500,0,0,6,1130,49335,2500,2500,0.8077650737,968.9883443262,35.7142857143,7.8884786802,1.0000000000,10.9040000000,229.2736610418
40,500,0,14,2500,2500,0,0,6,1183,53992,2500,2500,0.8519215499,968.1364227762,35.7142857143,7.8884754527,1.0000000000,10.9464000000,228.3855879559
