Node,Death_Round
0,1135
1,1176
2,1207
3,1187
4,1088
5,1155
6,1125
7,1131
8,1167
9,1143
10,1138
11,1120
12,1149
13,1136
14,1191
15,1199
16,1163
17,1182
18,1175
19,1196
20,1078
21,1129
22,1093
23,1164
24,1189
25,1147
26,1134
27,1172
28,1139
29,1166
30,1140
31,1157
32,1194
33,1152
34,1150
35,1107
36,1179
37,1197
38,1174
39,1127
40,1205
41,1144
42,1177
43,1080
44,1158
45,1202
46,1092
47,1122
48,1109
49,1137
50,1161
51,1203
52,1153
53,1186
54,1159
55,1130
56,1170
57,1116
58,1173
59,1121
60,1124
61,1123
62,1188
63,1198
64,1154
65,1169
66,1142
67,1160
68,1145
69,1165
70,1111
71,1118
72,1185
73,1132
74,1178
75,1180
76,1171
77,1204
78,1119
79,1141
80,1200
81,1201
82,1103
83,1195
84,1181
85,1190
86,1206
87,1151
88,1156
89,1162
90,1128
91,1146
92,1192
93,1133
94,1184
95,1168
96,1099
97,1183
98,1193
99,1148
