Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,1,1,100,100,0,100,100,0.0638988685,49.9361011315,31.8403901124,1.0000000000,1.6000000000,250.0000000000
2,100,0,16,0,100,100,0,100,100,0.0407625459,49.8953385856,29.4401614981,1.0000000000,1.6000000000,250.0000000000
3,100,0,10,0,100,100,0,100,100,0.0419246369,49.8534139487,30.4001743827,1.0000000000,1.6000000000,250.0000000000
4,100,0,9,0,100,100,0,100,100,0.0421630269,49.8112509218,30.5601866824,1.0000000000,1.6000000000,250.0000000000
5,100,0,17,0,100,100,0,100,100,0.0407298355,49.7705210863,29.2801741282,1.0000000000,1.6000000000,250.0000000000
6,100,0,16,0,100,100,0,100,100,0.0406867289,49.7298343574,29.4401488194,1.0000000000,1.6000000000,250.0000000000
7,100,0,23,0,100,100,0,100,100,0.0397131920,49.6901211654,28.3201581861,1.0000000000,1.6000000000,250.0000000000
8,100,0,27,0,100,100,0,100,100,0.0387759020,49.6513452634,27.6801524336,1.0000000000,1.6000000000,250.0000000000
9,100,0,59,0,100,100,0,100,100,0.0344736387,49.6168716247,22.5601389946,1.0000000000,1.6000000000,250.0000000000
10,100,0,7,0,100,100,0,100,100,0.0433412864,49.5735303383,30.8801779802,1.0000000000,1.6000000000,250.0000000000
11,100,0,8,0,100,100,0,100,100,0.0426460140,49.5308843243,30.7201704150,1.0000000000,1.6000000000,250.0000000000
12,100,0,8,0,100,100,0,100,100,0.0419345226,49.4889498018,30.7201608698,1.0000000000,1.6000000000,250.0000000000
13,100,0,9,0,100,100,0,100,100,0.0420526335,49.4468971683,30.5601703339,1.0000000000,1.6000000000,250.0000000000
14,100,0,11,0,100,100,0,100,100,0.0418230022,49.4050741661,30.2401643593,1.0000000000,1.6000000000,250.0000000000
15,100,0,12,0,100,100,0,100,100,0.0415408058,49.3635333603,30.0801764274,1.0000000000,1.6000000000,250.0000000000
16,100,0,18,0,100,100,0,100,100,0.0402786298,49.3232547305,29.1201583630,1.0000000000,1.6000000000,250.0000000000
17,100,0,19,0,100,100,0,100,100,0.0402660715,49.2829886591,28.9601541337,1.0000000000,1.6000000000,250.0000000000
18,100,0,27,0,100,100,0,100,100,0.0390319643,49.2439566948,27.6801544786,1.0000000000,1.6000000000,250.0000000000
19,100,0,46,0,100,100,0,100,100,0.0368314428,49.2071252519,24.6401468391,1.0000000000,1.6000000000,250.0000000000
20,100,0,3,0,100,100,0,100,100,0.0466090336,49.1605162183,31.5202577685,1.0000000000,1.6000000000,250.0000000000
21,100,0,9,0,100,100,0,100,100,0.0424001945,49.1181160238,30.5601792003,1.0000000000,1.6000000000,250.0000000000
22,100,0,7,0,100,100,0,100,100,0.0434069882,49.0747090357,30.8801859086,1.0000000000,1.6000000000,250.0000000000
23,100,0,8,0,100,100,0,100,100,0.0425728965,49.0321361392,30.7201999871,1.0000000000,1.6000000000,250.0000000000
24,100,0,11,0,100,100,0,100,100,0.0413120127,48.9908241265,30.2401686874,1.0000000000,1.6000000000,250.0000000000
25,100,0,11,0,100,100,0,100,100,0.0424130741,48.9484110525,30.2401833184,1.0000000000,1.6000000000,250.0000000000
26,100,0,15,0,100,100,0,100,100,0.0405489026,48.9078621499,29.6001597727,1.0000000000,1.6000000000,250.0000000000
27,100,0,22,0,100,100,0,100,100,0.0396786181,48.8681835318,28.4801605931,1.0000000000,1.6000000000,250.0000000000
28,100,0,23,0,100,100,0,100,100,0.0397055251,48.8284780067,28.3201608133,1.0000000000,1.6000000000,250.0000000000
29,100,0,49,0,100,100,0,100,100,0.0361198781,48.7923581286,24.1601407322,1.0000000000,1.6000000000,250.0000000000
30,100,0,4,0,100,100,0,100,100,0.0455304058,48.7468277228,31.3602225090,1.0000000000,1.6000000000,250.0000000000
31,100,0,6,0,100,100,0,100,100,0.0426478261,48.7041798967,31.0401681490,1.0000000000,1.6000000000,250.0000000000
32,100,0,6,0,100,100,0,100,100,0.0433347096,48.6608451871,31.0401783127,1.0000000000,1.6000000000,250.0000000000
33,100,0,6,0,100,100,0,100,100,0.0443247561,48.6165204310,31.0401802629,1.0000000000,1.6000000000,250.0000000000
34,100,0,11,0,100,100,0,100,100,0.0423742003,48.5741462307,30.2401974701,1.0000000000,1.6000000000,250.0000000000
35,100,0,10,0,100,100,0,100,100,0.0423556605,48.5317905702,30.4001983903,1.0000000000,1.6000000000,250.0000000000
36,100,0,16,0,100,100,0,100,100,0.0409152615,48.4908753087,29.4401763217,1.0000000000,1.6000000000,250.0000000000
37,100,0,18,0,100,100,0,100,100,0.0404192725,48.4504560362,29.1201686440,1.0000000000,1.6000000000,250.0000000000
38,100,0,25,0,100,100,0,100,100,0.0399594345,48.4104966017,28.0001593998,1.0000000000,1.6000000000,250.0000000000
39,100,0,43,0,100,100,0,100,100,0.0366045420,48.3738920597,25.1201431395,1.0000000000,1.6000000000,250.0000000000
40,100,0,2,0,100,100,0,100,100,0.0487868777,48.3251051820,31.6802810685,1.0000000000,1.6000000000,250.0000000000
41,100,0,4,0,100,100,0,100,100,0.0453211231,48.2797840589,31.3601710505,1.0000000000,1.6000000000,250.0000000000
42,100,0,3,0,100,100,0,100,100,0.0446542635,48.2351297954,31.5202070489,1.0000000000,1.6000000000,250.0000000000
43,100,0,10,0,100,100,0,100,100,0.0420640639,48.1930657315,30.4001735127,1.0000000000,1.6000000000,250.0000000000
44,100,0,9,0,100,100,0,100,100,0.0422072550,48.1508584765,30.5601832529,1.0000000000,1.6000000000,250.0000000000
45,100,0,12,0,100,100,0,100,100,0.0420793696,48.1087791069,30.0801911554,1.0000000000,1.6000000000,250.0000000000
46,100,0,10,0,100,100,0,100,100,0.0426846020,48.0660945050,30.4001738874,1.0000000000,1.6000000000,250.0000000000
47,100,0,11,0,100,100,0,100,100,0.0416268709,48.0244676341,30.2401596850,1.0000000000,1.6000000000,250.0000000000
48,100,0,25,0,100,100,0,100,100,0.0395434821,47.9849241519,28.0001567167,1.0000000000,1.6000000000,250.0000000000
49,100,0,38,0,100,100,0,100,100,0.0374904074,47.9474337446,25.9201448063,1.0000000000,1.6000000000,250.0000000000
50,100,0,4,0,100,100,0,100,100,0.0457971564,47.9016365881,31.3601936084,1.0000000000,1.6000000000,250.0000000000
51,100,0,8,0,100,100,0,100,100,0.0451609849,47.8564756033,30.7202301621,1.0000000000,1.6000000000,250.0000000000
52,100,0,3,0,100,100,0,100,100,0.0474829475,47.8089926558,31.5202333589,1.0000000000,1.6000000000,250.0000000000
53,100,0,9,0,100,100,0,100,100,0.0425583006,47.7664343552,30.5601828536,1.0000000000,1.6000000000,250.0000000000
54,100,0,6,0,100,100,0,100,100,0.0429402757,47.7234940795,31.0401934835,1.0000000000,1.6000000000,250.0000000000
55,100,0,8,0,100,100,0,100,100,0.0423349180,47.6811591614,30.7201815016,1.0000000000,1.6000000000,250.0000000000
