Node,Death_Round
0,1312
1,1065
2,1084
3,1056
4,1313
5,1319
6,1159
7,1113
8,1178
9,1326
10,1060
11,1125
12,1062
13,1136
14,1189
15,1151
16,1067
17,1056
18,1144
19,1313
20,1260
21,1151
22,1158
23,1180
24,1075
25,1096
26,1290
27,1195
28,1147
29,1327
30,1227
31,1058
32,1141
33,1103
34,1092
35,1274
36,1243
37,1093
38,1152
39,1133
40,1200
41,1133
42,1297
43,1096
44,1312
45,1140
46,1280
47,1316
48,1221
49,1315
50,1265
51,1280
52,1193
53,1300
54,1246
55,1318
56,1130
57,1044
58,1082
59,1077
60,1079
61,1190
62,1127
63,1200
64,1095
65,1048
66,1090
67,1297
68,1160
69,1291
70,1074
71,1065
72,1099
73,1255
74,1139
75,1110
76,1214
77,1314
78,1089
79,1105
80,1089
81,1110
82,1098
83,1134
84,1280
85,1060
86,1317
87,1297
88,1318
89,1118
90,1233
91,1148
92,1256
93,1304
94,1258
95,1035
96,1197
97,1257
98,1167
99,1188
