Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.0486352151,49.9513647849,16.6666666667,15.5204721757,1.0000000000,0.8840000000,226.2443438914
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.0549694623,49.8963953226,11.1111111111,15.2804640748,1.0000000000,0.8864000000,225.6317689531
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0330158926,49.8633794300,50.0000000000,15.8404621167,1.0000000000,0.8816000000,226.8602540835
4,100,0,5,100,100,0,0,1,105,685,100,100,0.0387378517,49.8246415783,20.0000000000,15.6004620748,1.0000000000,0.8840000000,226.2443438914
5,100,0,4,100,100,0,0,1,104,588,100,100,0.0397513254,49.7848902529,25.0000000000,15.6804793938,1.0000000000,0.8832000000,226.4492753623
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0484074899,49.7364827630,11.1111111111,15.2804426336,1.0000000000,0.8872000000,225.4283137962
7,100,0,3,100,100,0,0,1,103,491,100,100,0.0349107698,49.7015719933,33.3333333333,15.7604709943,1.0000000000,0.8824000000,226.6545784225
8,100,0,4,100,100,0,0,1,104,588,100,100,0.0399829974,49.6615889959,25.0000000000,15.6804739179,1.0000000000,0.8832000000,226.4492753623
9,100,0,4,100,100,0,0,1,104,588,100,100,0.0388498654,49.6227391305,25.0000000000,15.6804592340,1.0000000000,0.8832000000,226.4492753623
10,100,0,4,100,100,0,0,1,104,588,100,100,0.0400570863,49.5826820441,25.0000000000,15.6804838607,1.0000000000,0.8832000000,226.4492753623
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0523230371,49.5303590070,10.0000000000,15.2004397313,1.0000000000,0.8880000000,225.2252252252
12,100,0,3,100,100,0,0,1,103,491,100,100,0.0362630747,49.4940959323,33.3333333333,15.7604856651,1.0000000000,0.8824000000,226.6545784225
13,100,0,8,100,100,0,0,1,108,976,100,100,0.0459576803,49.4481382520,12.5000000000,15.3604448719,1.0000000000,0.8864000000,225.6317689531
14,100,0,7,100,100,0,0,1,107,879,100,100,0.0486267702,49.3995114819,14.2857142857,15.4404640177,1.0000000000,0.8856000000,225.8355916893
15,100,0,6,100,100,0,0,1,106,782,100,100,0.0415907989,49.3579206829,16.6666666667,15.5204497217,1.0000000000,0.8848000000,226.0397830018
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0363907070,49.3215299759,50.0000000000,15.8405014332,1.0000000000,0.8816000000,226.8602540835
17,100,0,4,100,100,0,0,1,104,588,100,100,0.0409921640,49.2805378119,25.0000000000,15.6804725224,1.0000000000,0.8832000000,226.4492753623
18,100,0,3,100,100,0,0,1,103,491,100,100,0.0354457379,49.2450920740,33.3333333333,15.7604635385,1.0000000000,0.8824000000,226.6545784225
19,100,0,2,100,100,0,0,1,102,394,100,100,0.0370840171,49.2080080568,50.0000000000,15.8405037821,1.0000000000,0.8816000000,226.8602540835
20,100,0,5,100,100,0,0,1,105,685,100,100,0.0422587887,49.1657492681,20.0000000000,15.6004751334,1.0000000000,0.8840000000,226.2443438914
21,100,0,4,100,100,0,0,2,104,588,100,100,0.0375661528,49.1281831153,25.0000000000,15.6804711104,1.0000000000,0.8832000000,226.4492753623
22,100,0,5,100,100,0,0,2,105,685,100,100,0.0392536136,49.0889295017,20.0000000000,15.6004641915,1.0000000000,0.8840000000,226.2443438914
23,100,0,4,100,100,0,0,2,104,588,100,100,0.0378751256,49.0510543762,25.0000000000,15.6804669541,1.0000000000,0.8832000000,226.4492753623
24,100,0,7,100,100,0,0,2,107,879,100,100,0.0483515249,49.0027028512,14.2857142857,15.4404709588,1.0000000000,0.8856000000,225.8355916893
25,100,0,4,100,100,0,0,2,104,588,100,100,0.0372852288,48.9654176224,25.0000000000,15.6804659232,1.0000000000,0.8832000000,226.4492753623
26,100,0,6,100,100,0,0,2,106,782,100,100,0.0414115195,48.9240061029,16.6666666667,15.5204540832,1.0000000000,0.8848000000,226.0397830018
27,100,0,5,100,100,0,0,2,105,685,100,100,0.0427280693,48.8812780336,20.0000000000,15.6004775286,1.0000000000,0.8840000000,226.2443438914
28,100,0,7,100,100,0,0,2,107,879,100,100,0.0457613442,48.8355166894,14.2857142857,15.4404529636,1.0000000000,0.8856000000,225.8355916893
29,100,0,5,100,100,0,0,2,105,685,100,100,0.0409516776,48.7945650118,20.0000000000,15.6004566288,1.0000000000,0.8840000000,226.2443438914
30,100,0,4,100,100,0,0,2,104,588,100,100,0.0379674209,48.7565975909,25.0000000000,15.6804629619,1.0000000000,0.8832000000,226.4492753623
31,100,0,6,100,100,0,0,2,106,782,100,100,0.0448978663,48.7116997247,16.6666666667,15.5204622565,1.0000000000,0.8848000000,226.0397830018
32,100,0,7,100,100,0,0,2,107,879,100,100,0.0460502118,48.6656495129,14.2857142857,15.4404521935,1.0000000000,0.8856000000,225.8355916893
33,100,0,4,100,100,0,0,2,104,588,100,100,0.0364525680,48.6291969449,25.0000000000,15.6804668481,1.0000000000,0.8832000000,226.4492753623
34,100,0,5,100,100,0,0,2,105,685,100,100,0.0391082267,48.5900887181,20.0000000000,15.6004586161,1.0000000000,0.8840000000,226.2443438914
35,100,0,5,100,100,0,0,2,105,685,100,100,0.0398316785,48.5502570396,20.0000000000,15.6004655619,1.0000000000,0.8840000000,226.2443438914
36,100,0,4,100,100,0,0,2,104,588,100,100,0.0367179983,48.5135390413,25.0000000000,15.6804473957,1.0000000000,0.8832000000,226.4492753623
37,100,0,4,100,100,0,0,2,104,588,100,100,0.0424577441,48.4710812972,25.0000000000,15.6804938769,1.0000000000,0.8832000000,226.4492753623
38,100,0,5,100,100,0,0,2,105,685,100,100,0.0388822020,48.4321990952,20.0000000000,15.6004466703,1.0000000000,0.8840000000,226.2443438914
39,100,0,7,100,100,0,0,2,107,879,100,100,0.0454709343,48.3867281610,14.2857142857,15.4404587567,1.0000000000,0.8856000000,225.8355916893
40,100,0,2,100,100,0,0,2,102,394,100,100,0.0352733181,48.3514548429,50.0000000000,15.8404983484,1.0000000000,0.8816000000,226.8602540835
41,100,0,10,100,100,0,0,3,110,1170,100,100,0.0567612556,48.2946935873,10.0000000000,15.2004560382,1.0000000000,0.8880000000,225.2252252252
42,100,0,5,100,100,0,0,3,105,685,100,100,0.0399818567,48.2547117307,20.0000000000,15.6004553830,1.0000000000,0.8840000000,226.2443438914
43,100,0,2,100,100,0,0,3,102,394,100,100,0.0350137144,48.2196980162,50.0000000000,15.8404594433,1.0000000000,0.8816000000,226.8602540835
44,100,0,2,100,100,0,0,3,102,394,100,100,0.0343168297,48.1853811866,50.0000000000,15.8404706099,1.0000000000,0.8816000000,226.8602540835
45,100,0,4,100,100,0,0,3,104,588,100,100,0.0387926008,48.1465885858,25.0000000000,15.6804770299,1.0000000000,0.8832000000,226.4492753623
46,100,0,3,100,100,0,0,3,103,491,100,100,0.0384235899,48.1081649959,33.3333333333,15.7604884251,1.0000000000,0.8824000000,226.6545784225
47,100,0,9,100,100,0,0,3,109,1073,100,100,0.0531453319,48.0550196641,11.1111111111,15.2804467736,1.0000000000,0.8872000000,225.4283137962
48,100,0,5,100,100,0,0,3,104,685,100,100,0.0496436394,48.0053760246,20.0000000000,15.6005236076,1.0000000000,0.8832000000,226.4492753623
49,100,0,6,100,100,0,0,3,106,782,100,100,0.0417646333,47.9636113913,16.6666666667,15.5204497311,1.0000000000,0.8848000000,226.0397830018
50,100,0,5,100,100,0,0,3,105,685,100,100,0.0421127304,47.9214986609,20.0000000000,15.6004800986,1.0000000000,0.8840000000,226.2443438914
51,100,0,10,100,100,0,0,3,110,1170,100,100,0.0537997564,47.8676989045,10.0000000000,15.2004501094,1.0000000000,0.8880000000,225.2252252252
52,100,0,3,100,100,0,0,3,103,491,100,100,0.0354248992,47.8322740053,33.3333333333,15.7604724830,1.0000000000,0.8824000000,226.6545784225
53,100,0,1,100,100,0,0,3,101,297,100,100,0.0344050736,47.7978689317,100.0000000000,15.9204719856,1.0000000000,0.8808000000,227.0663033606
