Node,Death_Round
0,1848
1,1973
2,2021
3,2102
4,1966
5,2186
6,2017
7,2057
8,1968
9,1950
10,2108
11,2076
12,2109
13,2049
14,1965
15,2078
16,2111
17,2114
18,1991
19,1955
20,2019
21,2020
22,2042
23,2048
24,2096
25,2114
26,2005
27,1659
28,1970
29,1817
30,1976
31,2097
32,2071
33,1738
34,1982
35,2000
36,2006
37,2091
38,2103
39,2012
40,1616
41,2040
42,1943
43,2062
44,1968
45,1967
46,1895
47,1947
48,1989
49,1930
50,1990
51,1813
52,1953
53,1954
54,1974
55,1956
56,2003
57,2054
58,2056
59,2092
60,2118
61,1998
62,2024
63,2063
64,2068
65,2121
66,2057
67,1968
68,2047
69,1970
70,2071
71,2107
72,2125
73,1954
74,2074
75,2099
76,2028
77,1978
78,2122
79,2036
80,2080
81,2086
82,2116
83,2079
84,1786
85,2104
86,1974
87,1988
88,1889
89,1991
90,2009
91,2030
92,1993
93,1981
94,1651
95,2088
96,2046
97,1950
98,2160
99,1955
