Node,X,Y
0,44.5077,6.53536
1,1.98797,41.3218
2,26.6039,47.8155
3,23.0963,46.1869
4,18.6961,7.74867
5,44.6172,1.33949
6,14.5751,19.9372
7,40.3644,31.3547
8,45.3962,27.8199
9,41.996,2.5244
10,40.3117,46.5408
11,18.2015,34.5474
12,6.46573,41.6343
13,15.9177,36.8601
14,29.8385,18.1853
15,39.7485,34.9241
16,41.0939,44.9733
17,41.595,45.4979
18,48.7457,32.806
19,40.5995,5.1372
20,11.8764,18.9673
21,34.9618,24.2473
22,20.7611,31.9331
23,37.9645,27.8761
24,34.6728,45.663
25,1.23064,41.8689
26,19.1603,14.9386
27,0.314855,21.8779
28,36.8969,18.788
29,24.6625,0.701983
30,12.4718,17.3568
31,39.8343,46.92
32,5.0261,36.7701
33,48.8219,35.2943
34,47.5882,46.3924
35,20.5015,16.9047
36,38.4554,16.7324
37,4.13433,44.9279
38,39.3667,35.8733
39,22.1995,37.5446
40,32.8949,18.0349
41,18.9161,32.4816
42,2.78184,3.91296
43,4.59515,40.2553
44,3.26537,11.216
45,7.60664,34.0295
46,6.29794,12.8679
47,21.8984,5.48338
48,15.7283,17.5366
49,38.0571,4.94256
50,46.573,16.304
51,21.3318,13.534
52,39.4055,22.6662
53,4.16179,3.51884
54,16.4875,9.60526
55,41.8933,3.08427
56,27.7117,28.5306
57,23.1055,47.4414
58,17.2387,44.2225
59,21.552,49.724
60,40.0252,47.0817
61,18.974,20.2712
62,14.3444,22.5267
63,38.2556,28.995
64,18.9062,31.1197
65,36.9586,45.6691
66,26.6052,25.8911
67,5.12935,6.08349
68,32.1848,22.2982
69,3.81625,7.62846
70,3.9754,43.9686
71,8.07369,46.1475
72,0.178962,40.1301
73,15.1767,12.2377
74,38.4105,35.1741
75,44.3088,45.6571
76,11.2655,21.0742
77,8.29311,10.5417
78,41.9949,45.7725
79,34.0796,20.4628
80,11.1064,41.765
81,38.8368,36.8673
82,42.9351,48.6256
83,20.498,29.8507
84,36.9221,13.3355
85,38.1567,46.5251
86,43.7344,5.80817
87,48.3645,15.1494
88,30.4508,8.38785
89,42.9213,36.3196
90,3.25588,25.9049
91,29.7743,22.8961
92,29.6121,15.9728
93,40.9916,4.63695
94,8.8435,11.0356
95,23.7047,45.8726
96,49.5768,30.2107
97,46.0279,18.3318
98,0.390095,32.7508
99,8.40266,24.8229
100,25,150
