Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,0.0257231103,49.9742768897,800.0018597705,1.0000000000,0.8000000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,0.0239986802,49.9502782095,800.0017474470,1.0000000000,0.8000000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,0.0236194286,49.9266587810,800.0017178113,1.0000000000,0.8000000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,0.0236867360,49.9029720449,800.0017232561,1.0000000000,0.8000000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,0.0255856158,49.8773864291,800.0018517908,1.0000000000,0.8000000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,0.0260275361,49.8513588930,800.0018769852,1.0000000000,0.8000000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,0.0249355815,49.8264233115,800.0018120874,1.0000000000,0.8000000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,0.0243931335,49.8020301781,800.0017759409,1.0000000000,0.8000000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,0.0245993780,49.7774308000,800.0017900572,1.0000000000,0.8000000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,0.0259381628,49.7514926372,800.0018719934,1.0000000000,0.8000000000,250.0000000000,0
11,100,0,100,10,100,100,0,100,100,0.0237182313,49.7277744059,800.0017257747,1.0000000000,0.8000000000,250.0000000000,0
12,100,0,100,11,100,100,0,100,100,0.0242056843,49.7035687216,800.0017626630,1.0000000000,0.8000000000,250.0000000000,0
13,100,0,100,12,100,100,0,100,100,0.0239479076,49.6796208140,800.0017436185,1.0000000000,0.8000000000,250.0000000000,0
14,100,0,100,13,100,100,0,100,100,0.0241072041,49.6555136099,800.0017555005,1.0000000000,0.8000000000,250.0000000000,0
15,100,0,100,14,100,100,0,100,100,0.0250102826,49.6305033273,800.0018168324,1.0000000000,0.8000000000,250.0000000000,0
16,100,0,100,15,100,100,0,100,100,0.0242225779,49.6062807494,800.0017638783,1.0000000000,0.8000000000,250.0000000000,0
17,100,0,100,16,100,100,0,100,100,0.0237885044,49.5824922450,800.0017313298,1.0000000000,0.8000000000,250.0000000000,0
18,100,0,100,17,100,100,0,100,100,0.0237697965,49.5587224484,800.0017298595,1.0000000000,0.8000000000,250.0000000000,0
19,100,0,100,18,100,100,0,100,100,0.0243902388,49.5343322097,800.0017757392,1.0000000000,0.8000000000,250.0000000000,0
20,100,0,100,19,100,100,0,100,100,0.0257762945,49.5085559151,800.0018628219,1.0000000000,0.8000000000,250.0000000000,0
21,100,0,100,20,100,100,0,100,100,0.0249989410,49.4835569741,800.0018161153,1.0000000000,0.8000000000,250.0000000000,0
22,100,0,100,21,100,100,0,100,100,0.0247131773,49.4588437968,800.0017976433,1.0000000000,0.8000000000,250.0000000000,0
23,100,0,100,22,100,100,0,100,100,0.0243221323,49.4345216645,800.0017709642,1.0000000000,0.8000000000,250.0000000000,0
24,100,0,100,23,100,100,0,100,100,0.0245470425,49.4099746221,800.0017865212,1.0000000000,0.8000000000,250.0000000000,0
25,100,0,100,24,100,100,0,100,100,0.0237265358,49.3862480862,800.0017264358,1.0000000000,0.8000000000,250.0000000000,0
26,100,0,100,25,100,100,0,100,100,0.0239820424,49.3622660439,800.0017461968,1.0000000000,0.8000000000,250.0000000000,0
27,100,0,100,26,100,100,0,100,100,0.0251857191,49.3370803248,800.0018277798,1.0000000000,0.8000000000,250.0000000000,0
28,100,0,100,27,100,100,0,100,100,0.0249355068,49.3121448179,800.0018120826,1.0000000000,0.8000000000,250.0000000000,0
29,100,0,100,28,100,100,0,100,100,0.0250022033,49.2871426146,800.0018163217,1.0000000000,0.8000000000,250.0000000000,0
30,100,0,100,29,100,100,0,100,100,0.0259885820,49.2611540326,800.0018748156,1.0000000000,0.8000000000,250.0000000000,0
31,100,0,100,30,100,100,0,100,100,0.0250808163,49.2360732164,800.0018212662,1.0000000000,0.8000000000,250.0000000000,0
32,100,0,100,31,100,100,0,100,100,0.0236996897,49.2123735267,800.0017242942,1.0000000000,0.8000000000,250.0000000000,0
33,100,0,100,32,100,100,0,100,100,0.0241745715,49.1881989552,800.0017604146,1.0000000000,0.8000000000,250.0000000000,0
34,100,0,100,33,100,100,0,100,100,0.0242755558,49.1639233994,800.0017676651,1.0000000000,0.8000000000,250.0000000000,0
35,100,0,100,34,100,100,0,100,100,0.0237795332,49.1401438662,800.0017306255,1.0000000000,0.8000000000,250.0000000000,0
36,100,0,100,35,100,100,0,100,100,0.0250774960,49.1150663702,800.0018210585,1.0000000000,0.8000000000,250.0000000000,0
37,100,0,100,36,100,100,0,100,100,0.0251188393,49.0899475309,800.0018236381,1.0000000000,0.8000000000,250.0000000000,0
