Node,Death_Round
0,545
1,514
2,578
3,586
4,613
5,484
6,656
7,647
8,618
9,510
10,536
11,687
12,546
13,622
14,683
15,598
16,571
17,529
18,554
19,560
20,646
21,688
22,684
23,655
24,594
25,524
26,642
27,537
28,626
29,546
30,647
31,523
32,554
33,543
34,508
35,686
36,618
37,514
38,612
39,660
40,689
41,671
42,493
43,525
44,528
45,584
46,558
47,615
48,677
49,557
50,567
51,689
52,648
53,488
54,631
55,516
56,687
57,580
58,572
59,553
60,527
61,675
62,679
63,686
64,689
65,546
66,689
67,515
68,687
69,504
70,489
71,539
72,495
73,648
74,637
75,527
76,666
77,583
78,527
79,673
80,559
81,620
82,505
83,688
84,616
85,550
86,545
87,544
88,654
89,606
90,575
91,688
92,689
93,522
94,565
95,588
96,527
97,586
98,529
99,642
