Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,100,100,0.0708916664,49.9291083336,50.0000000000,15.8402136909,1.0000000000,0.8816000000,226.8602540835
2,100,0,1,100,100,0,0,101,297,100,100,0.1073332494,49.8217750842,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606
3,100,0,1,100,100,0,0,101,297,100,100,0.0725461106,49.7492289737,100.0000000000,15.9202076673,1.0000000000,0.8808000000,227.0663033606
4,100,0,1,100,100,0,0,101,297,100,100,0.0698370167,49.6793919569,100.0000000000,15.9201889047,1.0000000000,0.8808000000,227.0663033606
5,100,0,2,100,100,0,0,102,394,100,100,0.0746212534,49.6047707035,50.0000000000,15.8403056714,1.0000000000,0.8816000000,226.8602540835
6,100,0,1,100,100,0,0,101,297,100,100,0.0740722793,49.5306984242,100.0000000000,15.9202106196,1.0000000000,0.8808000000,227.0663033606
7,100,0,1,100,100,0,0,101,297,100,100,0.0810785731,49.4496198511,100.0000000000,15.9202413581,1.0000000000,0.8808000000,227.0663033606
8,100,0,1,100,100,0,0,101,297,100,100,0.0825292073,49.3670906437,100.0000000000,15.9202510296,1.0000000000,0.8808000000,227.0663033606
9,100,0,10,100,100,0,0,110,1170,100,100,0.0472731660,49.3198174778,10.0000000000,15.2001708095,1.0000000000,0.8880000000,225.2252252252
10,100,0,13,100,100,0,0,113,1461,100,100,0.0496671497,49.2701503281,7.6923076923,14.9601573159,1.0000000000,0.8904000000,224.6181491465
11,100,0,2,100,100,0,0,102,394,100,100,0.0671484471,49.2030018810,50.0000000000,15.8402697530,1.0000000000,0.8816000000,226.8602540835
12,100,0,2,100,100,0,0,102,394,100,100,0.0703391976,49.1326626834,50.0000000000,15.8402380672,1.0000000000,0.8816000000,226.8602540835
13,100,0,2,100,100,0,0,102,394,100,100,0.0545048418,49.0781578416,50.0000000000,15.8401957094,1.0000000000,0.8816000000,226.8602540835
14,100,0,1,100,100,0,0,101,297,100,100,0.1337433901,48.9444144515,100.0000000000,15.9204078594,1.0000000000,0.8808000000,227.0663033606
15,100,0,14,100,100,0,0,114,1558,100,100,0.0548940317,48.8895204199,7.1428571429,14.8801760552,1.0000000000,0.8912000000,224.4165170557
16,100,0,3,100,100,0,0,103,491,100,100,0.0527880113,48.8367324085,33.3333333333,15.7602110538,1.0000000000,0.8824000000,226.6545784225
17,100,0,1,100,100,0,0,101,297,100,100,0.1056551508,48.7310772577,100.0000000000,15.9203157759,1.0000000000,0.8808000000,227.0663033606
18,100,0,2,100,100,0,0,102,394,100,100,0.0743123308,48.6567649270,50.0000000000,15.8402401334,1.0000000000,0.8816000000,226.8602540835
19,100,0,18,100,100,0,0,116,1946,100,100,0.0575619107,48.5992030162,5.5555555556,14.5601689365,1.0000000000,0.8928000000,224.0143369176
20,100,0,3,100,100,0,0,103,491,100,100,0.0533231322,48.5458798841,33.3333333333,15.7601962408,1.0000000000,0.8824000000,226.6545784225
21,100,0,12,100,100,0,0,112,1364,100,100,0.0509251091,48.4949547750,8.3333333333,15.0401743270,1.0000000000,0.8896000000,224.8201438849
22,100,0,9,100,100,0,0,108,1073,100,100,0.0520993112,48.4428554638,11.1111111111,15.2801878409,1.0000000000,0.8864000000,225.6317689531
23,100,0,8,100,100,0,0,108,976,100,100,0.0487941174,48.3940613464,12.5000000000,15.3601989014,1.0000000000,0.8864000000,225.6317689531
24,100,0,20,100,100,0,0,117,2140,100,100,0.0593277432,48.3347336033,5.0000000000,14.4001553985,1.0000000000,0.8936000000,223.8137869293
