Node,Death_Round
0,1370
1,1388
2,1381
3,1369
4,1352
5,1371
6,1539
7,1386
8,1383
9,1379
10,1378
11,1533
12,1375
13,1541
14,1544
15,1322
16,1384
17,1385
18,1372
19,1385
20,1535
21,1543
22,1540
23,1542
24,1387
25,1386
26,1539
27,1389
28,1543
29,1383
30,1540
31,1369
32,1370
33,1388
34,1370
35,1537
36,1386
37,1372
38,1329
39,1542
40,1535
41,1540
42,1385
43,1382
44,1385
45,1373
46,1330
47,1369
48,1543
49,1382
50,1378
51,1542
52,1534
53,1371
54,1364
55,1372
56,1538
57,1379
58,1378
59,1375
60,1383
61,1539
62,1536
63,1544
64,1532
65,1371
66,1545
67,1386
68,1532
69,1376
70,1375
71,1377
72,1380
73,1350
74,1348
75,1372
76,1536
77,1376
78,1387
79,1536
80,1384
81,1311
82,1372
83,1534
84,1376
85,1359
86,1380
87,1378
88,1374
89,1381
90,1381
91,1539
92,1537
93,1373
94,1382
95,1389
96,1389
97,1377
98,1373
99,1378
