Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,26,100,100,0,0,116,2722,100,100,0.0512607254,49.9283592746,3.8461538462,13.9201712242,1.0000000000,0.8928000000,224.0143369176
2,100,0,20,100,100,0,0,117,2140,100,100,0.0452608286,49.8830984459,5.0000000000,14.4001679064,1.0000000000,0.8936000000,223.8137869293
3,100,0,21,100,100,0,0,119,2237,100,100,0.0461545710,49.8369438749,4.7619047619,14.3201654121,1.0000000000,0.8952000000,223.4137622878
4,100,0,10,100,100,0,0,110,1170,100,100,0.0354247441,49.8015191308,10.0000000000,15.2001874390,1.0000000000,0.8880000000,225.2252252252
5,100,0,17,100,100,0,0,115,1849,100,100,0.0420397498,49.7594793811,5.8823529412,14.6401681360,1.0000000000,0.8920000000,224.2152466368
6,100,0,15,100,100,0,0,113,1655,100,100,0.0405166572,49.7189627239,6.6666666667,14.8001863688,1.0000000000,0.8904000000,224.6181491465
7,100,0,15,100,100,0,0,114,1655,100,100,0.0405480817,49.6784146422,6.6666666667,14.8001925808,1.0000000000,0.8912000000,224.4165170557
8,100,0,21,100,100,0,0,116,2237,100,100,0.0457959361,49.6326187061,4.7619047619,14.3201556159,1.0000000000,0.8928000000,224.0143369176
9,100,0,14,100,100,0,0,113,1558,100,100,0.0390445742,49.5935741319,7.1428571429,14.8801639977,1.0000000000,0.8904000000,224.6181491465
10,100,0,15,100,100,0,0,114,1655,100,100,0.0397894079,49.5537847240,6.6666666667,14.8001718992,1.0000000000,0.8912000000,224.4165170557
11,100,0,26,100,100,0,0,121,2722,100,100,0.0514219899,49.5023627341,3.8461538462,13.9201783658,1.0000000000,0.8968000000,223.0151650312
12,100,0,13,100,100,0,0,113,1461,100,100,0.0377758968,49.4645868374,7.6923076923,14.9601595772,1.0000000000,0.8904000000,224.6181491465
13,100,0,23,100,100,0,0,114,2431,100,100,0.0483897829,49.4161970544,4.3478260870,14.1601688719,1.0000000000,0.8912000000,224.4165170557
14,100,0,16,100,100,0,0,113,1752,100,100,0.0411074802,49.3750895743,6.2500000000,14.7201748070,1.0000000000,0.8904000000,224.6181491465
15,100,0,20,100,100,0,0,115,2140,100,100,0.0450773878,49.3300121865,5.0000000000,14.4001654322,1.0000000000,0.8920000000,224.2152466368
16,100,0,14,100,100,0,0,112,1558,100,100,0.0391507223,49.2908614642,7.1428571429,14.8801791639,1.0000000000,0.8896000000,224.8201438849
17,100,0,17,100,100,0,0,117,1849,100,100,0.0425580971,49.2483033671,5.8823529412,14.6401894947,1.0000000000,0.8936000000,223.8137869293
18,100,0,16,100,100,0,0,115,1752,100,100,0.0408570863,49.2074462808,6.2500000000,14.7201712949,1.0000000000,0.8920000000,224.2152466368
19,100,0,14,100,100,0,0,114,1558,100,100,0.0390138974,49.1684323834,7.1428571429,14.8801733669,1.0000000000,0.8912000000,224.4165170557
20,100,0,15,100,100,0,0,113,1655,100,100,0.0401842329,49.1282481505,6.6666666667,14.8001770946,1.0000000000,0.8904000000,224.6181491465
21,100,0,16,100,100,0,0,115,1752,100,100,0.0416686953,49.0865794552,6.2500000000,14.7202017910,1.0000000000,0.8920000000,224.2152466368
22,100,0,17,100,100,0,0,112,1849,100,100,0.0422210888,49.0443583664,5.8823529412,14.6401821155,1.0000000000,0.8896000000,224.8201438849
