Node,Death_Round
0,1078
1,1227
2,1320
3,1482
4,1353
5,1533
6,886
7,1378
8,1126
9,1462
10,1141
11,1406
12,1099
13,838
14,982
15,658
16,991
17,1185
18,1656
19,1280
20,838
21,892
22,1786
23,736
24,840
25,1288
26,948
27,1623
28,943
29,1875
30,982
31,1247
32,980
33,1437
34,1319
35,821
36,727
37,1705
38,740
39,993
40,1029
41,1197
42,1559
43,1175
44,1309
45,846
46,951
47,1721
48,1036
49,1400
50,1638
51,1074
52,929
53,1581
54,1147
55,1697
56,1042
57,1600
58,1141
59,1723
60,1328
61,664
62,1119
63,843
64,1309
65,1030
66,866
67,1413
68,1269
69,1657
70,1404
71,1284
72,1427
73,756
74,751
75,1025
76,1369
77,1058
78,1366
79,1329
80,948
81,893
82,1449
83,1466
84,741
85,1044
86,1178
87,1836
88,1145
89,755
90,1797
91,1266
92,1355
93,1351
94,1070
95,1679
96,1566
97,1441
98,1245
99,1223
