Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,11,100,100,0,0,4,245,2192,100,100,0.0454013622,49.9395736378,9.0909090909,15.1201637908,1.0000000000,0.9960000000,200.8032128514
2,100,0,13,100,100,0,0,4,237,2122,100,100,0.0445541301,49.8950195077,7.6923076923,14.9601694961,1.0000000000,0.9896000000,202.1018593371
3,100,0,10,100,100,0,0,4,249,2294,100,100,0.0466174080,49.8484020997,10.0000000000,15.2001677741,1.0000000000,0.9992000000,200.1601281025
4,100,0,12,100,100,0,0,4,248,2267,100,100,0.0462141146,49.8021879851,8.3333333333,15.0401684544,1.0000000000,0.9984000000,200.3205128205
5,100,0,11,100,100,0,0,4,253,2341,100,100,0.0469661668,49.7552218183,9.0909090909,15.1201506118,1.0000000000,1.0024000000,199.5211492418
6,100,0,10,100,100,0,0,4,245,2241,100,100,0.0460748581,49.7091469603,10.0000000000,15.2001626093,1.0000000000,0.9960000000,200.8032128514
7,100,0,9,100,100,0,0,4,250,2224,100,100,0.0458566477,49.6632903125,11.1111111111,15.2801654525,1.0000000000,1.0000000000,200.0000000000
8,100,0,10,100,100,0,0,4,250,2235,100,100,0.0460630692,49.6172272433,10.0000000000,15.2001718782,1.0000000000,1.0000000000,200.0000000000
9,100,0,11,100,100,0,0,4,245,2238,100,100,0.0458061690,49.5714210743,9.0909090909,15.1201666577,1.0000000000,0.9960000000,200.8032128514
10,100,0,11,100,100,0,0,4,247,2259,100,100,0.0461783622,49.5252427121,9.0909090909,15.1201614559,1.0000000000,0.9976000000,200.4811547715
11,100,0,11,100,100,0,0,4,241,2120,100,100,0.0445927117,49.4806500003,9.0909090909,15.1201624842,1.0000000000,0.9928000000,201.4504431910
12,100,0,11,100,100,0,0,4,237,2104,100,100,0.0444282577,49.4362217426,9.0909090909,15.1201597102,1.0000000000,0.9896000000,202.1018593371
13,100,0,10,100,100,0,0,4,239,2110,100,100,0.0445595952,49.3916621474,10.0000000000,15.2001705406,1.0000000000,0.9912000000,201.7756255044
14,100,0,11,100,100,0,0,4,250,2301,100,100,0.0464845600,49.3451775874,9.0909090909,15.1201684088,1.0000000000,1.0000000000,200.0000000000
15,100,0,13,100,100,0,0,4,242,2212,100,100,0.0455357860,49.2996418014,7.6923076923,14.9601662186,1.0000000000,0.9936000000,201.2882447665
16,100,0,10,100,100,0,0,4,247,2213,100,100,0.0456849327,49.2539568687,10.0000000000,15.2001566784,1.0000000000,0.9976000000,200.4811547715
17,100,0,11,100,100,0,0,4,244,2175,100,100,0.0451201692,49.2088366995,9.0909090909,15.1201590245,1.0000000000,0.9952000000,200.9646302251
18,100,0,12,100,100,0,0,4,244,2222,100,100,0.0456535003,49.1631831992,8.3333333333,15.0401649537,1.0000000000,0.9952000000,200.9646302251
19,100,0,11,100,100,0,0,4,244,2195,100,100,0.0454451482,49.1177380510,9.0909090909,15.1201593753,1.0000000000,0.9952000000,200.9646302251
20,100,0,10,100,100,0,0,4,235,2128,100,100,0.0448424777,49.0728955733,10.0000000000,15.2001595083,1.0000000000,0.9880000000,202.4291497976
21,100,0,12,100,100,0,0,4,242,2183,100,100,0.0451599681,49.0277356052,8.3333333333,15.0401607887,1.0000000000,0.9936000000,201.2882447665
22,100,0,10,100,100,0,0,4,241,2117,100,100,0.0446524385,48.9830831667,10.0000000000,15.2001662142,1.0000000000,0.9928000000,201.4504431910
23,100,0,11,100,100,0,0,4,240,2084,100,100,0.0443217694,48.9387613973,9.0909090909,15.1201837734,1.0000000000,0.9920000000,201.6129032258
24,100,0,12,100,100,0,0,4,241,2210,100,100,0.0454884434,48.8932729539,8.3333333333,15.0401646532,1.0000000000,0.9928000000,201.4504431910
25,100,0,12,100,100,0,0,4,241,2116,100,100,0.0445028867,48.8487700672,8.3333333333,15.0401734721,1.0000000000,0.9928000000,201.4504431910
26,100,0,12,100,100,0,0,4,252,2300,100,100,0.0464733664,48.8022967008,8.3333333333,15.0401620054,1.0000000000,1.0016000000,199.6805111821
27,100,0,13,100,100,0,0,4,234,2088,100,100,0.0439357971,48.7583609037,7.6923076923,14.9601607022,1.0000000000,0.9872000000,202.5931928687
28,100,0,11,100,100,0,0,4,249,2259,100,100,0.0461033772,48.7122575265,9.0909090909,15.1201591678,1.0000000000,0.9992000000,200.1601281025
29,100,0,12,100,100,0,0,4,252,2356,100,100,0.0470419719,48.6652155547,8.3333333333,15.0401511504,1.0000000000,1.0016000000,199.6805111821
30,100,0,11,100,100,0,0,4,252,2294,100,100,0.0464394156,48.6187761390,9.0909090909,15.1201606539,1.0000000000,1.0016000000,199.6805111821
31,100,0,12,100,100,0,0,4,245,2210,100,100,0.0455308672,48.5732452719,8.3333333333,15.0401594992,1.0000000000,0.9960000000,200.8032128514
32,100,0,12,100,100,0,0,4,247,2232,100,100,0.0458421173,48.5274031546,8.3333333333,15.0401677233,1.0000000000,0.9976000000,200.4811547715
33,100,0,11,100,100,0,0,4,241,2155,100,100,0.0448733819,48.4825297727,9.0909090909,15.1201721238,1.0000000000,0.9928000000,201.4504431910
34,100,0,10,100,100,0,0,4,249,2289,100,100,0.0464834722,48.4360463005,10.0000000000,15.2001627480,1.0000000000,0.9992000000,200.1601281025
35,100,0,11,100,100,0,0,4,240,2129,100,100,0.0446122296,48.3914340709,9.0909090909,15.1201629081,1.0000000000,0.9920000000,201.6129032258
36,100,0,10,100,100,0,0,4,240,2111,100,100,0.0444985579,48.3469355130,10.0000000000,15.2001693714,1.0000000000,0.9920000000,201.6129032258
37,100,0,9,100,100,0,0,4,253,2331,100,100,0.0469944926,48.2999410204,11.1111111111,15.2801646740,1.0000000000,1.0024000000,199.5211492418
38,100,0,11,100,100,0,0,4,256,2376,100,100,0.0472537548,48.2526872656,9.0909090909,15.1201669775,1.0000000000,1.0048000000,199.0445859873
39,100,0,12,100,100,0,0,4,247,2215,100,100,0.0456491273,48.2070381383,8.3333333333,15.0401596670,1.0000000000,0.9976000000,200.4811547715
40,100,0,18,100,100,0,0,4,235,2173,100,100,0.0445875488,48.1624505895,5.5555555556,14.5601574136,1.0000000000,0.9880000000,202.4291497976
41,100,0,12,100,100,0,0,4,241,2144,100,100,0.0447579596,48.1176926299,8.3333333333,15.0401627487,1.0000000000,0.9928000000,201.4504431910
42,100,0,11,100,100,0,0,4,266,2530,100,100,0.0490330956,48.0686595344,9.0909090909,15.1201598550,1.0000000000,1.0128000000,197.4723538705
43,100,0,12,100,100,0,0,4,239,2147,100,100,0.0448944148,48.0237651196,8.3333333333,15.0401604277,1.0000000000,0.9912000000,201.7756255044
44,100,0,11,100,100,0,0,4,240,2130,100,100,0.0446292953,47.9791358243,9.0909090909,15.1201675729,1.0000000000,0.9920000000,201.6129032258
45,100,0,11,100,100,0,0,4,242,2196,100,100,0.0454433762,47.9336924481,9.0909090909,15.1201645821,1.0000000000,0.9936000000,201.2882447665
46,100,0,9,100,100,0,0,4,238,2098,100,100,0.0445587799,47.8891336682,11.1111111111,15.2801709441,1.0000000000,0.9904000000,201.9386106624
47,100,0,12,100,100,0,0,4,249,2296,100,100,0.0464338564,47.8426998118,8.3333333333,15.0401645205,1.0000000000,0.9992000000,200.1601281025
48,100,0,11,100,100,0,0,4,243,2152,100,100,0.0449223937,47.7977774181,9.0909090909,15.1201673185,1.0000000000,0.9944000000,201.1263073210
49,100,0,13,100,100,0,0,4,245,2228,100,100,0.0456419028,47.7521355153,7.6923076923,14.9601628775,1.0000000000,0.9960000000,200.8032128514
50,100,0,12,100,100,0,0,4,239,2111,100,100,0.0444844335,47.7076510817,8.3333333333,15.0401611441,1.0000000000,0.9912000000,201.7756255044
51,100,0,12,100,100,0,0,4,255,2325,100,100,0.0468060192,47.6608450626,8.3333333333,15.0401611020,1.0000000000,1.0040000000,199.2031872510
52,100,0,12,100,100,0,0,4,246,2159,100,100,0.0449880969,47.6158569657,8.3333333333,15.0401679983,1.0000000000,0.9968000000,200.6420545746
53,100,0,9,100,100,0,0,4,252,2366,100,100,0.0473254574,47.5685315083,11.1111111111,15.2801642864,1.0000000000,1.0016000000,199.6805111821
54,100,0,11,100,100,0,0,4,246,2250,100,100,0.0459870300,47.5225444782,9.0909090909,15.1201682324,1.0000000000,0.9968000000,200.6420545746
55,100,0,12,100,100,0,0,4,238,2076,100,100,0.0440528339,47.4784916443,8.3333333333,15.0401641557,1.0000000000,0.9904000000,201.9386106624
56,100,0,12,100,100,0,0,4,237,2070,100,100,0.0439469440,47.4345447003,8.3333333333,15.0401615668,1.0000000000,0.9896000000,202.1018593371
57,100,0,11,100,100,0,0,4,240,2168,100,100,0.0452020193,47.3893426810,9.0909090909,15.1201623105,1.0000000000,0.9920000000,201.6129032258
58,100,0,12,100,100,0,0,4,245,2205,100,100,0.0455278434,47.3438148376,8.3333333333,15.0401587370,1.0000000000,0.9960000000,200.8032128514
59,100,0,9,100,100,0,0,4,249,2258,100,100,0.0461508815,47.2976639561,11.1111111111,15.2801668199,1.0000000000,0.9992000000,200.1601281025
60,100,0,12,100,100,0,0,4,243,2179,100,100,0.0451845453,47.2524794109,8.3333333333,15.0401599320,1.0000000000,0.9944000000,201.1263073210
61,100,0,11,100,100,0,0,4,253,2315,100,100,0.0468446424,47.2056347684,9.0909090909,15.1201662139,1.0000000000,1.0024000000,199.5211492418
62,100,0,10,100,100,0,0,4,237,2108,100,100,0.0444557880,47.1611789804,10.0000000000,15.2001613988,1.0000000000,0.9896000000,202.1018593371
63,100,0,12,100,100,0,0,4,244,2251,100,100,0.0460030658,47.1151759147,8.3333333333,15.0401618241,1.0000000000,0.9952000000,200.9646302251
64,100,0,11,100,100,0,0,4,241,2143,100,100,0.0449067547,47.0702691600,9.0909090909,15.1201669041,1.0000000000,0.9928000000,201.4504431910
65,100,0,9,100,100,0,0,4,257,2393,100,100,0.0477169677,47.0225521922,11.1111111111,15.2801626773,1.0000000000,1.0056000000,198.8862370724
66,100,0,12,100,100,0,0,4,247,2240,100,100,0.0458809324,46.9766712599,8.3333333333,15.0401623066,1.0000000000,0.9976000000,200.4811547715
67,100,0,12,100,100,0,0,4,240,2183,100,100,0.0451736856,46.9314975743,8.3333333333,15.0401647355,1.0000000000,0.9920000000,201.6129032258
68,100,0,11,100,100,0,0,4,246,2132,100,100,0.0446822793,46.8868152950,9.0909090909,15.1201652951,1.0000000000,0.9968000000,200.6420545746
69,100,0,11,100,100,0,0,4,238,2140,100,100,0.0449276519,46.8418876431,9.0909090909,15.1201608792,1.0000000000,0.9904000000,201.9386106624
70,100,0,11,100,100,0,0,4,254,2361,100,100,0.0473055560,46.7945820871,9.0909090909,15.1201622454,1.0000000000,1.0032000000,199.3620414673
71,100,0,11,100,100,0,0,4,247,2210,100,100,0.0455377376,46.7490443495,9.0909090909,15.1201609387,1.0000000000,0.9976000000,200.4811547715
72,100,0,11,100,100,0,0,4,250,2321,100,100,0.0467912992,46.7022530502,9.0909090909,15.1201557563,1.0000000000,1.0000000000,200.0000000000
73,100,0,10,100,100,0,0,4,234,2052,100,100,0.0439217147,46.6583313356,10.0000000000,15.2001726167,1.0000000000,0.9872000000,202.5931928687
74,100,0,11,100,100,0,0,4,242,2173,100,100,0.0451231648,46.6132081708,9.0909090909,15.1201520704,1.0000000000,0.9936000000,201.2882447665
75,100,0,10,100,100,0,0,4,243,2198,100,100,0.0454595501,46.5677486207,10.0000000000,15.2001622961,1.0000000000,0.9944000000,201.1263073210
76,100,0,10,100,100,0,0,4,240,2183,100,100,0.0454139492,46.5223346715,10.0000000000,15.2001616600,1.0000000000,0.9920000000,201.6129032258
77,100,0,12,100,100,0,0,4,243,2215,100,100,0.0456546410,46.4766800306,8.3333333333,15.0401615079,1.0000000000,0.9944000000,201.1263073210
78,100,0,12,100,100,0,0,4,238,2106,100,100,0.0445410694,46.4321389612,8.3333333333,15.0401762612,1.0000000000,0.9904000000,201.9386106624
79,100,0,10,100,100,0,0,4,240,2119,100,100,0.0446902265,46.3874487347,10.0000000000,15.2001717669,1.0000000000,0.9920000000,201.6129032258
80,100,0,12,100,100,0,0,4,242,2183,100,100,0.0451939998,46.3422547349,8.3333333333,15.0401579972,1.0000000000,0.9936000000,201.2882447665
81,100,0,12,100,100,0,0,4,246,2215,100,100,0.0454184945,46.2968362404,8.3333333333,15.0401594029,1.0000000000,0.9968000000,200.6420545746
82,100,0,12,100,100,0,0,4,244,2146,100,100,0.0448133892,46.2520228512,8.3333333333,15.0401614384,1.0000000000,0.9952000000,200.9646302251
83,100,0,11,100,100,0,0,4,239,2149,100,100,0.0448914242,46.2071314271,9.0909090909,15.1201640084,1.0000000000,0.9912000000,201.7756255044
84,100,0,11,100,100,0,0,4,236,2112,100,100,0.0445489896,46.1625824375,9.0909090909,15.1201629436,1.0000000000,0.9888000000,202.2653721683
85,100,0,12,100,100,0,0,4,251,2237,100,100,0.0458324202,46.1167500172,8.3333333333,15.0401607178,1.0000000000,1.0008000000,199.8401278977
86,100,0,13,100,100,0,0,4,245,2214,100,100,0.0454822682,46.0712677490,7.6923076923,14.9601626002,1.0000000000,0.9960000000,200.8032128514
87,100,0,10,100,100,0,0,4,250,2235,100,100,0.0458837339,46.0253840151,10.0000000000,15.2001596403,1.0000000000,1.0000000000,200.0000000000
88,100,0,10,100,100,0,0,4,243,2166,100,100,0.0451529209,45.9802310942,10.0000000000,15.2001677992,1.0000000000,0.9944000000,201.1263073210
89,100,0,11,100,100,0,0,4,247,2227,100,100,0.0457485445,45.9344825497,9.0909090909,15.1201603611,1.0000000000,0.9976000000,200.4811547715
90,100,0,10,100,100,0,0,4,244,2200,100,100,0.0456647120,45.8888178378,10.0000000000,15.2001625774,1.0000000000,0.9952000000,200.9646302251
91,100,0,12,100,100,0,0,4,247,2264,100,100,0.0461240209,45.8426938168,8.3333333333,15.0401606569,1.0000000000,0.9976000000,200.4811547715
92,100,0,11,100,100,0,0,4,242,2188,100,100,0.0452936695,45.7974001473,9.0909090909,15.1201635125,1.0000000000,0.9936000000,201.2882447665
93,100,0,11,100,100,0,0,4,254,2346,100,100,0.0470035361,45.7503966112,9.0909090909,15.1201639360,1.0000000000,1.0032000000,199.3620414673
94,100,0,11,100,100,0,0,4,243,2103,100,100,0.0444457189,45.7059508923,9.0909090909,15.1201715356,1.0000000000,0.9944000000,201.1263073210
95,100,0,10,100,100,0,0,4,247,2298,100,100,0.0465089720,45.6594419203,10.0000000000,15.2001655914,1.0000000000,0.9976000000,200.4811547715
