Node,Death_Round
0,1119
1,1259
2,1465
3,1464
4,1427
5,1677
6,920
7,1369
8,1156
9,1522
10,1119
11,1431
12,1106
13,1039
14,1055
15,743
16,1039
17,1112
18,1661
19,1285
20,853
21,906
22,1737
23,823
24,875
25,1262
26,922
27,1760
28,955
29,1960
30,907
31,1131
32,1019
33,1393
34,1550
35,882
36,776
37,1471
38,806
39,981
40,976
41,1220
42,1598
43,1156
44,1281
45,839
46,1034
47,1688
48,987
49,1282
50,1689
51,1052
52,920
53,1604
54,984
55,1497
56,1135
57,1614
58,1206
59,1758
60,1117
61,743
62,1087
63,846
64,1264
65,1027
66,963
67,1441
68,1179
69,1520
70,1265
71,1139
72,1259
73,822
74,783
75,1019
76,1193
77,1027
78,1115
79,1154
80,940
81,857
82,1475
83,1421
84,753
85,1028
86,1187
87,1838
88,1199
89,760
90,1693
91,993
92,1202
93,1289
94,1038
95,1486
96,1450
97,1486
98,1475
99,1238
