Node,Death_Round
0,1427
1,1420
2,1411
3,1433
4,1406
5,1425
6,1409
7,1414
8,1404
9,1396
10,1419
11,1415
12,1421
13,1411
14,1408
15,1431
16,1407
17,1432
18,1434
19,1391
20,1384
21,1419
22,1389
23,1411
24,1428
25,1411
26,1395
27,1416
28,1422
29,1399
30,1389
31,1428
32,1432
33,1431
34,1431
35,1431
36,1412
37,1425
38,1432
39,1433
40,1430
41,1433
42,1421
43,1406
44,1407
45,1404
46,1424
47,1422
48,1420
49,1398
50,1419
51,1412
52,1411
53,1410
54,1405
55,1424
56,1418
57,1427
58,1421
59,1433
60,1420
61,1413
62,1414
63,1405
64,1410
65,1412
66,1425
67,1422
68,1434
69,1428
70,1429
71,1423
72,1434
73,1415
74,1432
75,1417
76,1411
77,1432
78,1429
79,1423
80,1398
81,1413
82,1396
83,1423
84,1424
85,1403
86,1421
87,1424
88,1428
89,1434
90,1428
91,1413
92,1406
93,1409
94,1428
95,1420
96,1412
97,1385
98,1419
99,1431
