Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,1,1,100,100,0,100,100,0.0371731363,49.9628268637,15.9203901124,1.0000000000,0.8000000000,250.0000000000
2,100,0,16,0,100,100,0,100,100,0.0407934486,49.9220334151,14.7201614981,1.0000000000,0.8000000000,250.0000000000
3,100,0,9,0,100,100,0,100,100,0.0340362066,49.8879972085,15.2801989457,1.0000000000,0.8000000000,250.0000000000
4,100,0,8,0,100,100,0,100,100,0.0329757132,49.8550214953,15.3601933334,1.0000000000,0.8000000000,250.0000000000
5,100,0,16,0,100,100,0,100,100,0.0408392171,49.8141822782,14.7201746787,1.0000000000,0.8000000000,250.0000000000
6,100,0,14,0,100,100,0,100,100,0.0387883409,49.7753939373,14.8801519431,1.0000000000,0.8000000000,250.0000000000
7,100,0,24,0,100,100,0,100,100,0.0487614887,49.7266324486,14.0801555433,1.0000000000,0.8000000000,250.0000000000
8,100,0,27,0,100,100,0,100,100,0.0516203198,49.6750121288,13.8401518790,1.0000000000,0.8000000000,250.0000000000
9,100,0,59,0,100,100,0,100,100,0.0837036437,49.5913084850,11.2801388121,1.0000000000,0.8000000000,250.0000000000
10,100,0,9,0,100,100,0,100,100,0.0339977357,49.5573107493,15.2801594759,1.0000000000,0.8000000000,250.0000000000
11,100,0,9,0,100,100,0,100,100,0.0341116160,49.5231991333,15.2801699050,1.0000000000,0.8000000000,250.0000000000
12,100,0,6,0,100,100,0,100,100,0.0307551960,49.4924439373,15.5201687604,1.0000000000,0.8000000000,250.0000000000
13,100,0,8,0,100,100,0,100,100,0.0328916350,49.4595523023,15.3601735231,1.0000000000,0.8000000000,250.0000000000
14,100,0,11,0,100,100,0,100,100,0.0359107333,49.4236415690,15.1201643593,1.0000000000,0.8000000000,250.0000000000
15,100,0,9,0,100,100,0,100,100,0.0340322383,49.3896093307,15.2801887330,1.0000000000,0.8000000000,250.0000000000
