Round,Alive,Dead,ChainLength,Leader,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,ChainRebuilt
1,100,0,100,0,100,100,0,100,100,0.0213081693,49.9786918307,800.0029675652,1.0000000000,0.8000000000,250.0000000000,0
2,100,0,100,1,100,100,0,100,100,0.0213141261,49.9573777047,800.0029765787,1.0000000000,0.8000000000,250.0000000000,0
3,100,0,100,2,100,100,0,100,100,0.0212922993,49.9360854054,800.0029409729,1.0000000000,0.8000000000,250.0000000000,0
4,100,0,100,3,100,100,0,100,100,0.0212866504,49.9147987550,800.0029303093,1.0000000000,0.8000000000,250.0000000000,0
5,100,0,100,4,100,100,0,100,100,0.0212774375,49.8935213175,800.0029109412,1.0000000000,0.8000000000,250.0000000000,0
6,100,0,100,5,100,100,0,100,100,0.0213260220,49.8721952954,800.0029933957,1.0000000000,0.8000000000,250.0000000000,0
7,100,0,100,6,100,100,0,100,100,0.0212611945,49.8509341009,800.0028657557,1.0000000000,0.8000000000,250.0000000000,0
8,100,0,100,7,100,100,0,100,100,0.0212725656,49.8296615354,800.0028993391,1.0000000000,0.8000000000,250.0000000000,0
9,100,0,100,8,100,100,0,100,100,0.0212843664,49.8083771690,800.0029257626,1.0000000000,0.8000000000,250.0000000000,0
10,100,0,100,9,100,100,0,100,100,0.0213139709,49.7870631981,800.0029763494,1.0000000000,0.8000000000,250.0000000000,0
11,100,0,100,10,100,100,0,100,100,0.0213063261,49.7657568720,800.0029646829,1.0000000000,0.8000000000,250.0000000000,0
12,100,0,100,11,100,100,0,100,100,0.0212614395,49.7444954325,800.0028666316,1.0000000000,0.8000000000,250.0000000000,0
13,100,0,100,12,100,100,0,100,100,0.0213000673,49.7231953652,800.0029545223,1.0000000000,0.8000000000,250.0000000000,0
14,100,0,100,13,100,100,0,100,100,0.0212683018,49.7019270635,800.0028880824,1.0000000000,0.8000000000,250.0000000000,0
15,100,0,100,14,100,100,0,100,100,0.0212560377,49.6806710257,800.0028442120,1.0000000000,0.8000000000,250.0000000000,0
16,100,0,100,15,100,100,0,100,100,0.0212757302,49.6593952955,800.0029070046,1.0000000000,0.8000000000,250.0000000000,0
17,100,0,100,16,100,100,0,100,100,0.0213030855,49.6380922100,800.0029594975,1.0000000000,0.8000000000,250.0000000000,0
18,100,0,100,17,100,100,0,100,100,0.0213060942,49.6167861158,800.0029643169,1.0000000000,0.8000000000,250.0000000000,0
19,100,0,100,18,100,100,0,100,100,0.0213004329,49.5954856829,800.0029551330,1.0000000000,0.8000000000,250.0000000000,0
20,100,0,100,19,100,100,0,100,100,0.0213014797,49.5741842032,800.0029568688,1.0000000000,0.8000000000,250.0000000000,0
21,100,0,100,20,100,100,0,100,100,0.0212671395,49.5529170638,800.0028847860,1.0000000000,0.8000000000,250.0000000000,0
22,100,0,100,21,100,100,0,100,100,0.0212584340,49.5316586297,800.0028550956,1.0000000000,0.8000000000,250.0000000000,0
23,100,0,100,22,100,100,0,100,100,0.0212557326,49.5104028972,800.0028426692,1.0000000000,0.8000000000,250.0000000000,0
24,100,0,100,23,100,100,0,100,100,0.0212645577,49.4891383394,800.0028770256,1.0000000000,0.8000000000,250.0000000000,0
25,100,0,100,24,100,100,0,100,100,0.0212920913,49.4678462481,800.0029405937,1.0000000000,0.8000000000,250.0000000000,0
26,100,0,100,25,100,100,0,100,100,0.0213184131,49.4465278350,800.0029828070,1.0000000000,0.8000000000,250.0000000000,0
27,100,0,100,26,100,100,0,100,100,0.0212612765,49.4252665585,800.0028660500,1.0000000000,0.8000000000,250.0000000000,0
28,100,0,100,27,100,100,0,100,100,0.0212999780,49.4039665805,800.0029543729,1.0000000000,0.8000000000,250.0000000000,0
