Node,Death_Round
0,689
1,696
2,710
3,670
4,718
5,687
6,682
7,721
8,718
9,669
10,693
11,680
12,695
13,688
14,716
15,670
16,666
17,681
18,710
19,675
20,692
21,719
22,696
23,674
24,709
25,710
26,676
27,716
28,674
29,714
30,706
31,676
32,697
33,710
34,712
35,708
36,681
37,691
38,667
39,699
40,715
41,695
42,699
43,678
44,709
45,698
46,673
47,716
48,669
49,714
50,694
51,715
52,701
53,701
54,720
55,647
56,720
57,716
58,681
59,706
60,672
61,721
62,710
63,715
64,719
65,704
66,660
67,705
68,667
69,701
70,660
71,721
72,704
73,702
74,713
75,677
76,716
77,715
78,663
79,663
80,709
81,715
82,660
83,718
84,688
85,713
86,705
87,721
88,714
89,710
90,712
91,711
92,716
93,708
94,672
95,717
96,716
97,686
98,684
99,720
