Node,Death_Round
0,1375
1,1389
2,1374
3,1377
4,1370
5,1387
6,1764
7,1373
8,1388
9,1390
10,1371
11,1762
12,1372
13,1753
14,1761
15,1370
16,1387
17,1390
18,1386
19,1377
20,1762
21,1756
22,1764
23,1757
24,1386
25,1377
26,1755
27,1386
28,1754
29,1376
30,1760
31,1382
32,1381
33,1380
34,1385
35,1766
36,1388
37,1389
38,1373
39,1765
40,1757
41,1761
42,1382
43,1376
44,1371
45,1386
46,1371
47,1379
48,1755
49,1380
50,1388
51,1767
52,1754
53,1372
54,1381
55,1385
56,1759
57,1376
58,1368
59,1380
60,1380
61,1760
62,1757
63,1755
64,1763
65,1370
66,1757
67,1376
68,1760
69,1373
70,1372
71,1375
72,1381
73,1390
74,1384
75,1372
76,1765
77,1373
78,1383
79,1754
80,1385
81,1369
82,1373
83,1758
84,1386
85,1389
86,1373
87,1378
88,1389
89,1371
90,1379
91,1758
92,1767
93,1390
94,1372
95,1377
96,1378
97,1378
98,1377
99,1386
