Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,4,100,100,0,0,104,588,100,100,0.0341888983,49.9454311017,25.0000000000,15.6802718475,1.0000000000,0.8832000000,226.4492753623
2,100,0,3,100,100,0,0,103,491,100,100,0.0331103559,49.9123207458,33.3333333333,15.7602394682,1.0000000000,0.8824000000,226.6545784225
3,100,0,3,100,100,0,0,103,491,100,100,0.0315000666,49.8808206792,33.3333333333,15.7602584861,1.0000000000,0.8824000000,226.6545784225
4,100,0,5,100,100,0,0,105,685,100,100,0.0338346786,49.8469860006,20.0000000000,15.6002365224,1.0000000000,0.8840000000,226.2443438914
5,100,0,5,100,100,0,0,105,685,100,100,0.0314430254,49.8155429751,20.0000000000,15.6002131569,1.0000000000,0.8840000000,226.2443438914
6,100,0,5,100,100,0,0,105,685,100,100,0.0333245105,49.7822184646,20.0000000000,15.6002486514,1.0000000000,0.8840000000,226.2443438914
7,100,0,4,100,100,0,0,104,588,100,100,0.0304790305,49.7517394341,25.0000000000,15.6802123039,1.0000000000,0.8832000000,226.4492753623
8,100,0,9,100,100,0,0,109,1073,100,100,0.0348722210,49.7168672131,11.1111111111,15.2802021814,1.0000000000,0.8872000000,225.4283137962
9,100,0,7,100,100,0,0,107,879,100,100,0.0327098025,49.6841574106,14.2857142857,15.4402039988,1.0000000000,0.8856000000,225.8355916893
10,100,0,5,100,100,0,0,105,685,100,100,0.0349345749,49.6492228357,20.0000000000,15.6002556920,1.0000000000,0.8840000000,226.2443438914
11,100,0,2,100,100,0,0,102,394,100,100,0.0340262355,49.6151966002,50.0000000000,15.8403039690,1.0000000000,0.8816000000,226.8602540835
12,100,0,2,100,100,0,0,102,394,100,100,0.0340585578,49.5811380424,50.0000000000,15.8402986701,1.0000000000,0.8816000000,226.8602540835
13,100,0,4,100,100,0,0,104,588,100,100,0.0362745977,49.5448634447,25.0000000000,15.6802981949,1.0000000000,0.8832000000,226.4492753623
