Node,Death_Round
0,1512
1,1479
2,1521
3,1497
4,1507
5,1511
6,1516
7,1499
8,1520
9,1525
10,1506
11,1500
12,1517
13,1488
14,1525
15,1497
16,1496
17,1498
18,1498
19,1497
20,1510
21,1507
22,1517
23,1521
24,1519
25,1521
26,1506
27,1519
28,1519
29,1501
30,1510
31,1488
32,1518
33,1501
34,1510
35,1494
36,1490
37,1523
38,1521
39,1525
40,1495
41,1510
42,1477
43,1488
44,1518
45,1509
46,1509
47,1495
48,1502
49,1498
50,1522
51,1497
52,1508
53,1498
54,1515
55,1511
56,1499
57,1515
58,1511
59,1514
60,1504
61,1496
62,1507
63,1518
64,1524
65,1523
66,1505
67,1522
68,1521
69,1511
70,1502
71,1483
72,1509
73,1519
74,1518
75,1510
76,1511
77,1492
78,1522
79,1517
80,1520
81,1504
82,1501
83,1524
84,1513
85,1509
86,1473
87,1508
88,1494
89,1517
90,1492
91,1521
92,1519
93,1512
94,1508
95,1514
96,1518
97,1508
98,1508
99,1503
