Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,14,0,100,100,0,100,100,0.0386619352,49.9613380648,14.8801613330,1.0000000000,0.8000000000,250.0000000000
2,100,0,14,0,100,100,0,100,100,0.0387007845,49.9226372803,14.8801717194,1.0000000000,0.8000000000,250.0000000000
3,100,0,10,0,100,100,0,100,100,0.0351970064,49.8874402739,15.2001909198,1.0000000000,0.8000000000,250.0000000000
4,100,0,8,0,100,100,0,100,100,0.0347551638,49.8526851101,15.3602199629,1.0000000000,0.8000000000,250.0000000000
5,100,0,8,0,100,100,0,100,100,0.0330638031,49.8196213069,15.3601701251,1.0000000000,0.8000000000,250.0000000000
6,100,0,9,0,100,100,0,100,100,0.0339548202,49.7856664867,15.2801709385,1.0000000000,0.8000000000,250.0000000000
7,100,0,8,0,100,100,0,100,100,0.0333527218,49.7523137649,15.3601574651,1.0000000000,0.8000000000,250.0000000000
8,100,0,15,0,100,100,0,100,100,0.0396889992,49.7126247657,14.8001512132,1.0000000000,0.8000000000,250.0000000000
9,100,0,14,0,100,100,0,100,100,0.0387623751,49.6738623906,14.8801670813,1.0000000000,0.8000000000,250.0000000000
10,100,0,1,1,100,100,0,100,100,0.0325452228,49.6413171678,15.9203134116,1.0000000000,0.8000000000,250.0000000000
11,100,0,9,0,100,100,0,100,100,0.0339559261,49.6073612417,15.2801944099,1.0000000000,0.8000000000,250.0000000000
12,100,0,9,0,100,100,0,100,100,0.0338383404,49.5735229013,15.2801829369,1.0000000000,0.8000000000,250.0000000000
13,100,0,9,0,100,100,0,100,100,0.0358434805,49.5376794208,15.2802244170,1.0000000000,0.8000000000,250.0000000000
14,100,0,15,0,100,100,0,100,100,0.0396456918,49.4980337290,14.8001539454,1.0000000000,0.8000000000,250.0000000000
15,100,0,11,0,100,100,0,100,100,0.0359715098,49.4620622192,15.1201715101,1.0000000000,0.8000000000,250.0000000000
16,100,0,8,0,100,100,0,100,100,0.0329515325,49.4291106867,15.3601755440,1.0000000000,0.8000000000,250.0000000000
17,100,0,11,0,100,100,0,100,100,0.0360382917,49.3930723950,15.1201730674,1.0000000000,0.8000000000,250.0000000000
18,100,0,6,0,100,100,0,100,100,0.0315133684,49.3615590266,15.5201843322,1.0000000000,0.8000000000,250.0000000000
19,100,0,10,0,100,100,0,100,100,0.0351157585,49.3264432682,15.2001967180,1.0000000000,0.8000000000,250.0000000000
20,100,0,1,1,100,100,0,100,100,0.0359700252,49.2904732429,15.9203766394,1.0000000000,0.8000000000,250.0000000000
21,100,0,5,0,100,100,0,100,100,0.0318532002,49.2586200427,15.6001886184,1.0000000000,0.8000000000,250.0000000000
22,100,0,6,0,100,100,0,100,100,0.0314381606,49.2271818821,15.5201991357,1.0000000000,0.8000000000,250.0000000000
23,100,0,7,0,100,100,0,100,100,0.0320367678,49.1951451143,15.4401829982,1.0000000000,0.8000000000,250.0000000000
24,100,0,14,0,100,100,0,100,100,0.0386809815,49.1564641328,14.8801668274,1.0000000000,0.8000000000,250.0000000000
25,100,0,5,0,100,100,0,100,100,0.0304283535,49.1260357793,15.6002064420,1.0000000000,0.8000000000,250.0000000000
26,100,0,10,0,100,100,0,100,100,0.0347334032,49.0913023761,15.2001586937,1.0000000000,0.8000000000,250.0000000000
27,100,0,17,0,100,100,0,100,100,0.0417150294,49.0495873467,14.6401559818,1.0000000000,0.8000000000,250.0000000000
28,100,0,13,0,100,100,0,100,100,0.0379453138,49.0116420329,14.9601731688,1.0000000000,0.8000000000,250.0000000000
29,100,0,4,0,100,100,0,100,100,0.0310531991,48.9805888338,15.6802126326,1.0000000000,0.8000000000,250.0000000000
