Node,Death_Round
0,1527
1,1545
2,1548
3,1558
4,1551
5,1480
6,1537
7,1535
8,1553
9,1544
10,1533
11,1552
12,1554
13,1546
14,1556
15,1497
16,1555
17,1548
18,1558
19,1529
20,1538
21,1554
22,1547
23,1533
24,1542
25,1533
26,1548
27,1530
28,1544
29,1536
30,1526
31,1556
32,1538
33,1558
34,1545
35,1549
36,1542
37,1537
38,1531
39,1550
40,1553
41,1535
42,1509
43,1538
44,1550
45,1545
46,1527
47,1551
48,1550
49,1547
50,1553
51,1555
52,1533
53,1502
54,1534
55,1556
56,1546
57,1550
58,1549
59,1539
60,1525
61,1549
62,1528
63,1536
64,1540
65,1533
66,1533
67,1535
68,1556
69,1518
70,1540
71,1551
72,1542
73,1525
74,1536
75,1533
76,1539
77,1544
78,1544
79,1532
80,1539
81,1541
82,1543
83,1542
84,1558
85,1541
86,1531
87,1548
88,1541
89,1533
90,1527
91,1531
92,1546
93,1530
94,1533
95,1558
96,1537
97,1554
98,1544
99,1558
