Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,2,100,100,0,0,102,394,100,100,0.0304011666,49.9695988334,50.0000000000,15.8402136909,1.0000000000,0.8816000000,226.8602540835
2,100,0,1,100,100,0,0,101,297,100,100,0.0336852790,49.9359135544,100.0000000000,15.9203315524,1.0000000000,0.8808000000,227.0663033606
3,100,0,1,100,100,0,0,101,297,100,100,0.0297106111,49.9062029433,100.0000000000,15.9202076673,1.0000000000,0.8808000000,227.0663033606
4,100,0,1,100,100,0,0,101,297,100,100,0.0294397017,49.8767632416,100.0000000000,15.9201889047,1.0000000000,0.8808000000,227.0663033606
5,100,0,2,100,100,0,0,102,394,100,100,0.0308344728,49.8459287689,50.0000000000,15.8403056714,1.0000000000,0.8816000000,226.8602540835
6,100,0,1,100,100,0,0,101,297,100,100,0.0298632279,49.8160655410,100.0000000000,15.9202106196,1.0000000000,0.8808000000,227.0663033606
7,100,0,1,100,100,0,0,101,297,100,100,0.0305638573,49.7855016837,100.0000000000,15.9202413581,1.0000000000,0.8808000000,227.0663033606
8,100,0,1,100,100,0,0,101,297,100,100,0.0307089207,49.7547927629,100.0000000000,15.9202510296,1.0000000000,0.8808000000,227.0663033606
9,100,0,10,100,100,0,0,110,1170,100,100,0.0348873166,49.7199054463,10.0000000000,15.2001708095,1.0000000000,0.8880000000,225.2252252252
10,100,0,13,100,100,0,0,113,1461,100,100,0.0376947150,49.6822107314,7.6923076923,14.9601573159,1.0000000000,0.8904000000,224.6181491465
11,100,0,1,100,100,0,0,101,297,100,100,0.0300199688,49.6521907626,100.0000000000,15.9202154285,1.0000000000,0.8808000000,227.0663033606
12,100,0,1,100,100,0,0,101,297,100,100,0.0291697685,49.6230209940,100.0000000000,15.9201694712,1.0000000000,0.8808000000,227.0663033606
13,100,0,1,100,100,0,0,101,297,100,100,0.0312458122,49.5917751818,100.0000000000,15.9202655739,1.0000000000,0.8808000000,227.0663033606
14,100,0,1,100,100,0,0,101,297,100,100,0.0375473524,49.5542278294,100.0000000000,15.9204078594,1.0000000000,0.8808000000,227.0663033606
15,100,0,1,100,100,0,0,101,297,100,100,0.0345922635,49.5196355659,100.0000000000,15.9203407015,1.0000000000,0.8808000000,227.0663033606
16,100,0,2,100,100,0,0,102,394,100,100,0.0305308112,49.4891047547,50.0000000000,15.8402314049,1.0000000000,0.8816000000,226.8602540835
17,100,0,9,100,100,0,0,108,1073,100,100,0.0340980396,49.4550067150,11.1111111111,15.2802025987,1.0000000000,0.8864000000,225.6317689531
18,100,0,1,100,100,0,0,101,297,100,100,0.0296888164,49.4253178986,100.0000000000,15.9201971198,1.0000000000,0.8808000000,227.0663033606
19,100,0,12,100,100,0,0,111,1364,100,100,0.0367546118,49.3885632868,8.3333333333,15.0401741532,1.0000000000,0.8888000000,225.0225022502
20,100,0,3,100,100,0,0,103,491,100,100,0.0295003132,49.3590629736,33.3333333333,15.7601962408,1.0000000000,0.8824000000,226.6545784225
21,100,0,1,100,100,0,0,101,297,100,100,0.0300504184,49.3290125551,100.0000000000,15.9202139210,1.0000000000,0.8808000000,227.0663033606
22,100,0,1,100,100,0,0,101,297,100,100,0.0289636248,49.3000489303,100.0000000000,15.9201625324,1.0000000000,0.8808000000,227.0663033606
23,100,0,1,100,100,0,0,101,297,100,100,0.0302473798,49.2698015505,100.0000000000,15.9202360582,1.0000000000,0.8808000000,227.0663033606
24,100,0,1,100,100,0,0,101,297,100,100,0.0303471442,49.2394544063,100.0000000000,15.9202409425,1.0000000000,0.8808000000,227.0663033606
25,100,0,1,100,100,0,0,101,297,100,100,0.0316602223,49.2077941840,100.0000000000,15.9202764748,1.0000000000,0.8808000000,227.0663033606
26,100,0,11,100,100,0,0,111,1267,100,100,0.0356337532,49.1721604309,9.0909090909,15.1201612345,1.0000000000,0.8888000000,225.0225022502
27,100,0,4,100,100,0,0,104,588,100,100,0.0332065644,49.1389538665,25.0000000000,15.6802360843,1.0000000000,0.8832000000,226.4492753623
28,100,0,2,100,100,0,0,102,394,100,100,0.0308211525,49.1081327140,50.0000000000,15.8403087055,1.0000000000,0.8816000000,226.8602540835
29,100,0,3,100,100,0,0,103,491,100,100,0.0293567953,49.0787759187,33.3333333333,15.7601973912,1.0000000000,0.8824000000,226.6545784225
30,100,0,6,100,100,0,0,106,782,100,100,0.0312385970,49.0475373216,16.6666666667,15.5201897645,1.0000000000,0.8848000000,226.0397830018
31,100,0,1,100,100,0,0,101,297,100,100,0.0313615721,49.0161757495,100.0000000000,15.9202773122,1.0000000000,0.8808000000,227.0663033606
32,100,0,1,100,100,0,0,101,297,100,100,0.0345033288,48.9816724207,100.0000000000,15.9203559097,1.0000000000,0.8808000000,227.0663033606
33,100,0,1,100,100,0,0,101,297,100,100,0.0310460362,48.9506263845,100.0000000000,15.9202678172,1.0000000000,0.8808000000,227.0663033606
34,100,0,1,100,100,0,0,101,297,100,100,0.0314289543,48.9191974302,100.0000000000,15.9202794770,1.0000000000,0.8808000000,227.0663033606
35,100,0,5,100,100,0,0,105,685,100,100,0.0316701143,48.8875273159,20.0000000000,15.6002451352,1.0000000000,0.8840000000,226.2443438914
36,100,0,1,100,100,0,0,101,297,100,100,0.0388762373,48.8486510786,100.0000000000,15.9204266163,1.0000000000,0.8808000000,227.0663033606
37,100,0,1,100,100,0,0,101,297,100,100,0.0314860604,48.8171650183,100.0000000000,15.9202815170,1.0000000000,0.8808000000,227.0663033606
38,100,0,2,100,100,0,0,102,394,100,100,0.0296764472,48.7874885711,50.0000000000,15.8402570592,1.0000000000,0.8816000000,226.8602540835
39,100,0,1,100,100,0,0,101,297,100,100,0.0326687451,48.7548198260,100.0000000000,15.9203133297,1.0000000000,0.8808000000,227.0663033606
40,100,0,8,100,100,0,0,108,976,100,100,0.0337994743,48.7210203516,12.5000000000,15.3601935108,1.0000000000,0.8864000000,225.6317689531
41,100,0,1,100,100,0,0,101,297,100,100,0.0300621983,48.6909581533,100.0000000000,15.9202334071,1.0000000000,0.8808000000,227.0663033606
42,100,0,1,100,100,0,0,101,297,100,100,0.0371707063,48.6537874470,100.0000000000,15.9203897932,1.0000000000,0.8808000000,227.0663033606
43,100,0,8,100,100,0,0,107,976,100,100,0.0330908503,48.6206965967,12.5000000000,15.3601823532,1.0000000000,0.8856000000,225.8355916893
44,100,0,1,100,100,0,0,101,297,100,100,0.0348369491,48.5858596475,100.0000000000,15.9203586500,1.0000000000,0.8808000000,227.0663033606
45,100,0,1,100,100,0,0,101,297,100,100,0.0344235437,48.5514361039,100.0000000000,15.9203457279,1.0000000000,0.8808000000,227.0663033606
46,100,0,5,100,100,0,0,105,685,100,100,0.0306731659,48.5207629380,20.0000000000,15.6002495153,1.0000000000,0.8840000000,226.2443438914
47,100,0,3,100,100,0,0,103,491,100,100,0.0332089599,48.4875539781,33.3333333333,15.7602820127,1.0000000000,0.8824000000,226.6545784225
48,100,0,1,100,100,0,0,101,297,100,100,0.0296668044,48.4578871737,100.0000000000,15.9201922231,1.0000000000,0.8808000000,227.0663033606
49,100,0,1,100,100,0,0,101,297,100,100,0.0332059040,48.4246812697,100.0000000000,15.9203305035,1.0000000000,0.8808000000,227.0663033606
50,100,0,8,100,100,0,0,108,976,100,100,0.0334799935,48.3912012762,12.5000000000,15.3601643974,1.0000000000,0.8864000000,225.6317689531
51,100,0,1,100,100,0,0,101,297,100,100,0.0293637288,48.3618375474,100.0000000000,15.9201922885,1.0000000000,0.8808000000,227.0663033606
52,100,0,1,100,100,0,0,101,297,100,100,0.0352468722,48.3265906752,100.0000000000,15.9203690134,1.0000000000,0.8808000000,227.0663033606
53,100,0,3,100,100,0,0,103,491,100,100,0.0307801317,48.2958105435,33.3333333333,15.7602103916,1.0000000000,0.8824000000,226.6545784225
54,100,0,1,100,100,0,0,101,297,100,100,0.0316602223,48.2641503212,100.0000000000,15.9202764748,1.0000000000,0.8808000000,227.0663033606
55,100,0,2,100,100,0,0,102,394,100,100,0.0324343070,48.2317160143,50.0000000000,15.8403161158,1.0000000000,0.8816000000,226.8602540835
56,100,0,1,100,100,0,0,101,297,100,100,0.0365270817,48.1951889326,100.0000000000,15.9203796302,1.0000000000,0.8808000000,227.0663033606
57,100,0,1,100,100,0,0,101,297,100,100,0.0365480724,48.1586408601,100.0000000000,15.9203913834,1.0000000000,0.8808000000,227.0663033606
