Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0335507528,49.9514242472,33.3333333333,15.8863768486,1.0000000000,0.8888000000,226.8226822682,0,0,0,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0257873538,49.9256368934,33.3333333333,15.8863768486,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0257873538,49.8998495396,33.3333333333,15.8863768486,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0257873538,49.8740621858,33.3333333333,15.8863768486,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0257873538,49.8482748321,33.3333333333,15.8863768486,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
6,100,0,10,100,100,0,0,1,109,1170,100,100,0.0364249827,49.8118498493,10.0000000000,15.3217643659,1.0000000000,0.8936000000,225.6042972247,0,0,0,0
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0214674741,49.7903823752,10.0000000000,15.3217643659,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0214674741,49.7689149011,10.0000000000,15.3217643659,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0214674741,49.7474474270,10.0000000000,15.3217643659,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0214674741,49.7259799529,10.0000000000,15.3217643659,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
11,100,0,8,100,100,0,0,1,108,976,100,100,0.0346478803,49.6913320727,12.5000000000,15.4830813968,1.0000000000,0.8928000000,225.8064516129,0,0,0,0
12,100,0,8,100,100,0,0,0,0,0,100,100,0.0218414680,49.6694906047,12.5000000000,15.4830813968,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
13,100,0,8,100,100,0,0,0,0,0,100,100,0.0218414680,49.6476491367,12.5000000000,15.4830813968,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
14,100,0,8,100,100,0,0,0,0,0,100,100,0.0218414680,49.6258076687,12.5000000000,15.4830813968,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
15,100,0,8,100,100,0,0,0,0,0,100,100,0.0218414680,49.6039662007,12.5000000000,15.4830813968,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
16,100,0,8,100,100,0,0,1,108,976,100,100,0.0341220993,49.5698441015,12.5000000000,15.4830502456,1.0000000000,0.8928000000,225.8064516129,0,0,0,0
17,100,0,8,100,100,0,0,0,0,0,100,100,0.0213615320,49.5484825694,12.5000000000,15.4830502456,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
18,100,0,8,100,100,0,0,0,0,0,100,100,0.0213615320,49.5271210374,12.5000000000,15.4830502456,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
19,100,0,8,100,100,0,0,0,0,0,100,100,0.0213615320,49.5057595054,12.5000000000,15.4830502456,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
20,100,0,8,100,100,0,0,0,0,0,100,100,0.0213615320,49.4843979733,12.5000000000,15.4830502456,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0328712111,49.4515267622,16.6666666667,15.6443482283,1.0000000000,0.8912000000,226.2118491921,0,0,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0221992084,49.4293275537,16.6666666667,15.6443482283,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0221992084,49.4071283453,16.6666666667,15.6443482283,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0221992084,49.3849291369,16.6666666667,15.6443482283,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0221992084,49.3627299284,16.6666666667,15.6443482283,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0334638372,49.3292660912,16.6666666667,15.6443768280,1.0000000000,0.8912000000,226.2118491921,0,0,0,0
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0227447199,49.3065213713,16.6666666667,15.6443768280,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0227447199,49.2837766514,16.6666666667,15.6443768280,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0227447199,49.2610319315,16.6666666667,15.6443768280,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0227447199,49.2382872116,16.6666666667,15.6443768280,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
31,100,0,9,100,100,0,0,1,108,1073,100,100,0.0352214434,49.2030657682,11.1111111111,15.4024288237,1.0000000000,0.8928000000,225.8064516129,0,0,0,0
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0213846487,49.1816811196,11.1111111111,15.4024288237,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
33,100,0,9,100,100,0,0,0,0,0,100,100,0.0213846487,49.1602964709,11.1111111111,15.4024288237,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
34,100,0,9,100,100,0,0,0,0,0,100,100,0.0213846487,49.1389118222,11.1111111111,15.4024288237,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
35,100,0,9,100,100,0,0,0,0,0,100,100,0.0213846487,49.1175271736,11.1111111111,15.4024288237,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
36,100,0,7,100,100,0,0,1,107,879,100,100,0.0334133444,49.0841138292,14.2857142857,15.5636941679,1.0000000000,0.8920000000,226.0089686099,0,0,0,0
37,100,0,7,100,100,0,0,0,0,0,100,100,0.0217074909,49.0624063383,14.2857142857,15.5636941679,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
38,100,0,7,100,100,0,0,0,0,0,100,100,0.0217074909,49.0406988473,14.2857142857,15.5636941679,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
39,100,0,7,100,100,0,0,0,0,0,100,100,0.0217074909,49.0189913564,14.2857142857,15.5636941679,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
40,100,0,7,100,100,0,0,0,0,0,100,100,0.0217074909,48.9972838654,14.2857142857,15.5636941679,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
