Node,Death_Round
0,2596
1,2576
2,2486
3,2606
4,2506
5,2591
6,2241
7,2611
8,2406
9,2611
10,2241
11,2556
12,2436
13,2616
14,2431
15,2291
16,2426
17,2321
18,2576
19,2586
20,2421
21,2266
22,2608
23,2426
24,2511
25,2556
26,2286
27,2536
28,2506
29,2611
30,2391
31,2441
32,2601
33,2616
34,2481
35,2596
36,2421
37,2611
38,2396
39,2391
40,2491
41,2602
42,2611
43,2596
44,2596
45,2401
46,2446
47,2581
48,2281
49,2601
50,2526
51,2541
52,2281
53,2596
54,2496
55,2581
56,2511
57,2401
58,2421
59,2506
60,2481
61,2526
62,2281
63,2441
64,2606
65,2516
66,2476
67,2576
68,2516
69,2601
70,2411
71,2566
72,2536
73,2536
74,2496
75,2261
76,2331
77,2606
78,2376
79,2106
80,2476
81,2291
82,2536
83,2611
84,2571
85,2401
86,2586
87,2601
88,2546
89,2196
90,2611
91,2591
92,2386
93,2591
94,2596
95,2336
96,2556
97,2561
98,2541
99,2381
