Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
1,100,0,1,100,100,0,0,1,101,297,100,100,0.0296395392,49.9537154608,100.0000000000,15.9202224252,1.0000000000,0.8808000000,227.0663033606,0,0
2,100,0,1,100,100,0,0,0,0,0,100,100,0.0251175033,49.9285979574,100.0000000000,15.9202224252,1.0000000000,0.8000000000,250.0000000000,0,0
3,100,0,1,100,100,0,0,0,0,0,100,100,0.0251175033,49.9034804541,100.0000000000,15.9202224252,1.0000000000,0.8000000000,250.0000000000,0,0
4,100,0,1,100,100,0,0,0,0,0,100,100,0.0251175033,49.8783629508,100.0000000000,15.9202224252,1.0000000000,0.8000000000,250.0000000000,0,0
5,100,0,1,100,100,0,0,0,0,0,100,100,0.0251175033,49.8532454475,100.0000000000,15.9202224252,1.0000000000,0.8000000000,250.0000000000,0,0
6,100,0,14,100,100,0,0,1,114,1558,100,100,0.0387257950,49.8145196525,7.1428571429,14.8801673559,1.0000000000,0.8912000000,224.4165170557,0,0
7,100,0,14,100,100,0,0,0,0,0,100,100,0.0204980026,49.7940216499,7.1428571429,14.8801673559,1.0000000000,0.8000000000,250.0000000000,0,0
8,100,0,14,100,100,0,0,0,0,0,100,100,0.0204980026,49.7735236474,7.1428571429,14.8801673559,1.0000000000,0.8000000000,250.0000000000,0,0
9,100,0,14,100,100,0,0,0,0,0,100,100,0.0204980026,49.7530256448,7.1428571429,14.8801673559,1.0000000000,0.8000000000,250.0000000000,0,0
10,100,0,14,100,100,0,0,0,0,0,100,100,0.0204980026,49.7325276423,7.1428571429,14.8801673559,1.0000000000,0.8000000000,250.0000000000,0,0
11,100,0,8,100,100,0,0,1,108,976,100,100,0.0331392671,49.6993883752,12.5000000000,15.3601563386,1.0000000000,0.8864000000,225.6317689531,0,0
12,100,0,8,100,100,0,0,0,0,0,100,100,0.0213499861,49.6780383891,12.5000000000,15.3601563386,1.0000000000,0.8000000000,250.0000000000,0,0
13,100,0,8,100,100,0,0,0,0,0,100,100,0.0213499861,49.6566884029,12.5000000000,15.3601563386,1.0000000000,0.8000000000,250.0000000000,0,0
14,100,0,8,100,100,0,0,0,0,0,100,100,0.0213499861,49.6353384168,12.5000000000,15.3601563386,1.0000000000,0.8000000000,250.0000000000,0,0
15,100,0,8,100,100,0,0,0,0,0,100,100,0.0213499861,49.6139884306,12.5000000000,15.3601563386,1.0000000000,0.8000000000,250.0000000000,0,0
16,100,0,8,100,100,0,0,1,108,976,100,100,0.0329538348,49.5810345959,12.5000000000,15.3601825102,1.0000000000,0.8864000000,225.6317689531,0,0
17,100,0,8,100,100,0,0,0,0,0,100,100,0.0212032282,49.5598313677,12.5000000000,15.3601825102,1.0000000000,0.8000000000,250.0000000000,0,0
18,100,0,8,100,100,0,0,0,0,0,100,100,0.0212032282,49.5386281395,12.5000000000,15.3601825102,1.0000000000,0.8000000000,250.0000000000,0,0
19,100,0,8,100,100,0,0,0,0,0,100,100,0.0212032282,49.5174249113,12.5000000000,15.3601825102,1.0000000000,0.8000000000,250.0000000000,0,0
20,100,0,8,100,100,0,0,0,0,0,100,100,0.0212032282,49.4962216832,12.5000000000,15.3601825102,1.0000000000,0.8000000000,250.0000000000,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0312944508,49.4649272324,16.6666666667,15.5201925401,1.0000000000,0.8848000000,226.0397830018,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0216697395,49.4432574929,16.6666666667,15.5201925401,1.0000000000,0.8000000000,250.0000000000,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0216697395,49.4215877534,16.6666666667,15.5201925401,1.0000000000,0.8000000000,250.0000000000,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0216697395,49.3999180139,16.6666666667,15.5201925401,1.0000000000,0.8000000000,250.0000000000,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0216697395,49.3782482744,16.6666666667,15.5201925401,1.0000000000,0.8000000000,250.0000000000,0,0
26,100,0,8,100,100,0,0,1,108,976,100,100,0.0328703712,49.3453779032,12.5000000000,15.3601829131,1.0000000000,0.8864000000,225.6317689531,0,0
27,100,0,8,100,100,0,0,0,0,0,100,100,0.0211210170,49.3242568862,12.5000000000,15.3601829131,1.0000000000,0.8000000000,250.0000000000,0,0
28,100,0,8,100,100,0,0,0,0,0,100,100,0.0211210170,49.3031358692,12.5000000000,15.3601829131,1.0000000000,0.8000000000,250.0000000000,0,0
29,100,0,8,100,100,0,0,0,0,0,100,100,0.0211210170,49.2820148523,12.5000000000,15.3601829131,1.0000000000,0.8000000000,250.0000000000,0,0
30,100,0,8,100,100,0,0,0,0,0,100,100,0.0211210170,49.2608938353,12.5000000000,15.3601829131,1.0000000000,0.8000000000,250.0000000000,0,0
31,100,0,7,100,100,0,0,1,107,879,100,100,0.0320628301,49.2288310052,14.2857142857,15.4401737972,1.0000000000,0.8856000000,225.8355916893,0,0
32,100,0,7,100,100,0,0,0,0,0,100,100,0.0213740989,49.2074569063,14.2857142857,15.4401737972,1.0000000000,0.8000000000,250.0000000000,0,0
33,100,0,7,100,100,0,0,0,0,0,100,100,0.0213740989,49.1860828074,14.2857142857,15.4401737972,1.0000000000,0.8000000000,250.0000000000,0,0
34,100,0,7,100,100,0,0,0,0,0,100,100,0.0213740989,49.1647087085,14.2857142857,15.4401737972,1.0000000000,0.8000000000,250.0000000000,0,0
