Node,Death_Round
0,1796
1,1971
2,2041
3,1951
4,2051
5,1876
6,2091
7,2106
8,2076
9,2021
10,1896
11,2088
12,1949
13,2121
14,2051
15,2076
16,2066
17,2106
18,2046
19,1981
20,1915
21,1746
22,1909
23,1936
24,1916
25,2056
26,1951
27,2086
28,1706
29,1916
30,2095
31,2106
32,2056
33,1886
34,2070
35,1819
36,2071
37,2101
38,2096
39,2080
40,2025
41,1951
42,1625
43,2091
44,2111
45,1861
46,1891
47,2044
48,1876
49,2071
50,2061
51,1888
52,1881
53,2061
54,1946
55,2035
56,2086
57,2031
58,2021
59,2050
60,2053
61,1651
62,2030
63,1766
64,2086
65,2026
66,2046
67,2060
68,2076
69,2040
70,1786
71,2084
72,2061
73,1952
74,1966
75,1849
76,2056
77,2056
78,1946
79,2081
80,2116
81,1845
82,1961
83,1856
84,1778
85,1841
86,2046
87,1996
88,2106
89,2051
90,2066
91,1866
92,1754
93,2036
94,2091
95,1871
96,2091
97,2102
98,2091
99,1917
