Node,X,Y
0,22.7339,31.8972
1,97.8223,45.5585
2,30.8013,26.3871
3,8.67434,41.9372
4,1.59104,52.7765
5,86.8801,33.0839
6,39.2942,67.433
7,67.2317,69.4032
8,34.5973,92.9528
9,26.2584,75.0763
10,25.4894,85.1295
11,17.4053,79.0764
12,93.7629,44.8826
13,38.465,35.7475
14,19.3356,10.0474
15,48.2637,61.3703
16,95.1248,34.8756
17,27.6515,44.6506
18,95.7914,17.9577
19,14.2716,8.35081
20,54.7235,31.0209
21,28.272,92.0994
22,43.3342,41.8757
23,98.6223,79.357
24,34.3305,30.0339
25,50.3955,62.3256
26,65.6972,25.9136
27,40.5199,66.7261
28,43.9501,78.1736
29,68.4629,73.6674
30,48.9423,95.3991
31,15.3739,64.9119
32,55.7414,86.8532
33,14.3628,44.7904
34,65.9233,66.171
35,83.8567,53.2558
36,3.96461,9.55984
37,79.8895,40.2388
38,68.2452,50.1923
39,39.7178,78.5817
40,95.1336,25.7955
41,51.9882,86.8104
42,45.9361,11.0006
43,79.9002,49.7919
44,19.7175,87.6075
45,26.8174,23.6938
46,37.2593,38.5904
47,23.3091,17.5779
48,39.8506,84.163
49,78.6731,64.0781
50,49.6017,47.3056
51,47.4235,94.3577
52,73.7799,4.1573
53,75.778,51.3401
54,17.8426,39.2002
55,93.9593,21.2919
56,81.3296,40.3649
57,58.6721,18.5999
58,81.2323,58.0847
59,44.6933,79.8081
60,54.4272,41.8417
61,1.91567,68.3774
62,48.8098,22.058
63,55.0543,52.2591
64,48.7552,26.3031
65,52.7286,98.4466
66,62.3423,62.9557
67,90.9973,96.2519
68,58.51,16.4898
69,39.1593,94.4555
70,34.3391,70.507
71,46.2887,38.6791
72,52.8433,82.169
73,63.8477,86.2889
74,63.6627,99.9297
75,51.778,32.7617
76,9.87732,56.6766
77,21.5208,1.17908
78,29.9215,3.89774
79,97.6214,55.1453
80,7.17162,34.0068
81,24.2902,10.7351
82,77.0331,35.0602
83,18.7643,91.2653
84,86.1148,39.8898
85,54.6336,45.0375
86,69.3599,21.3846
87,32.3799,73.9893
88,18.2571,69.6022
89,52.6735,19.8491
90,65.0464,50.9776
91,68.9037,57.3428
92,77.0118,39.3048
93,95.859,97.8052
94,20.6881,47.6001
95,79.0163,12.7936
96,82.6994,23.7436
97,94.0566,82.0658
98,5.17596,0.185464
99,17.6972,53.8426
100,50,50
