Node,Death_Round
0,2531
1,2591
2,2591
3,2551
4,2561
5,2486
6,2516
7,2536
8,2576
9,2559
10,2556
11,2551
12,2573
13,2591
14,2536
15,2580
16,2541
17,2591
18,2536
19,2561
20,2581
21,2541
22,2551
23,2531
24,2576
25,2516
26,2591
27,2541
28,2596
29,2526
30,2526
31,2521
32,2521
33,2521
34,2551
35,2496
36,2571
37,2584
38,2581
39,2556
40,2586
41,2551
42,2578
43,2571
44,2531
45,2516
46,2541
47,2571
48,2536
49,2526
50,2556
51,2586
52,2551
53,2541
54,2546
55,2516
56,2521
57,2570
58,2566
59,2596
60,2571
61,2526
62,2506
63,2591
64,2496
65,2536
66,2516
67,2566
68,2521
69,2526
70,2571
71,2506
72,2591
73,2571
74,2526
75,2546
76,2576
77,2546
78,2481
79,2506
80,2567
81,2586
82,2591
83,2516
84,2526
85,2541
86,2531
87,2511
88,2581
89,2561
90,2561
91,2516
92,2576
93,2536
94,2581
95,2516
96,2561
97,2586
98,2563
99,2526
