Node,X,Y
0,75.7153,73.8747
1,59.5115,89.3047
2,98.7302,3.73536
3,79.5721,66.9555
4,73.4013,3.36333
5,13.2457,91.6713
6,14.259,99.9214
7,40.2619,24.2458
8,1.83475,77.9065
9,49.2935,37.7198
10,37.6765,81.9365
11,41.6073,21.4727
12,25.2574,63.7499
13,47.8815,71.6789
14,67.3655,42.5153
15,68.1581,62.5295
16,67.144,69.4392
17,28.6741,40.8707
18,95.8694,46.9443
19,15.7505,4.01063
20,74.4293,35.5779
21,14.3471,60.9063
22,4.4016,91.9654
23,91.4537,85.6042
24,95.8578,72.1052
25,15.05,94.2603
26,57.3105,7.36149
27,29.5224,99.8282
28,86.7671,18.7816
29,88.5922,77.1199
30,96.1317,68.7995
31,7.70016,71.0268
32,6.93345,25.6391
33,14.8109,11.8717
34,38.7487,2.65407
35,30.8984,47.3061
36,35.3152,67.327
37,0.356286,57.2045
38,11.8884,76.0889
39,10.8199,1.37311
40,38.8114,77.0087
41,95.1474,79.0306
42,96.2946,51.284
43,39.7042,21.8195
44,38.7673,33.7454
45,89.4081,6.61091
46,18.1334,97.2433
47,23.6262,16.3268
48,28.162,71.6088
49,21.6447,66.3663
50,44.2685,24.656
51,82.1074,7.15591
52,39.9347,91.1989
53,18.3612,4.37618
54,61.4914,98.6277
55,92.5209,38.3198
56,18.5533,56.1965
57,29.1346,52.3166
58,31.6513,5.60732
59,49.0124,78.6125
60,43.8647,54.4066
61,86.2866,58.6203
62,11.122,91.7989
63,22.3538,13.6348
64,12.1882,70.9032
65,86.4823,22.9315
66,65.9671,4.39088
67,90.3369,15.7349
68,58.2131,14.3146
69,53.9767,88.2607
70,8.86354,36.8328
71,87.0064,89.426
72,6.75257,93.656
73,42.2561,4.85219
74,87.5113,38.2751
75,85.6359,53.3029
76,65.1593,98.7919
77,27.3807,51.5579
78,67.1832,68.5927
79,8.09964,61.7658
80,97.0918,6.07488
81,24.3549,83.8186
82,7.06275,51.6857
83,33.0845,2.40325
84,14.8975,98.2895
85,39.1147,9.75174
86,4.80852,34.498
87,63.0808,83.7583
88,46.9146,36.2233
89,9.95015,21.4717
90,40.1832,13.0753
91,62.323,83.8062
92,41.9279,58.5713
93,17.5489,60.4876
94,51.3548,29.9461
95,27.4766,80.732
96,13.0085,5.49448
97,30.9043,42.4776
98,78.6895,45.7376
99,40.3492,69.4804
100,50,50
