Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,4,100,100,0,0,1,104,588,100,100,0.0268888609,49.9568461391,25.0000000000,12.6606700738,1.0000000000,0.8896000000,226.6187050360,0,0,0,39
2,100,0,4,100,100,0,0,0,0,0,100,100,0.0182986492,49.9385474898,25.0000000000,12.6606700738,1.0000000000,0.8064000000,250.0000000000,0,0,0,39
3,100,0,4,100,100,0,0,0,0,0,100,100,0.0182986492,49.9202488406,25.0000000000,12.6606700738,1.0000000000,0.8064000000,250.0000000000,0,0,0,39
4,100,0,4,100,100,0,0,0,0,0,100,100,0.0182986492,49.9019501914,25.0000000000,12.6606700738,1.0000000000,0.8064000000,250.0000000000,0,0,0,39
5,100,0,4,100,100,0,0,0,0,0,100,100,0.0182986492,49.8836515421,25.0000000000,12.6606700738,1.0000000000,0.8064000000,250.0000000000,0,0,0,39
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0363364265,49.8473151156,9.0909090909,14.7572861953,1.0000000000,0.8952000000,225.2010723861,0,0,0,6
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0203378215,49.8269772941,9.0909090909,14.7572861953,1.0000000000,0.8064000000,250.0000000000,0,0,0,6
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0203378215,49.8066394725,9.0909090909,14.7572861953,1.0000000000,0.8064000000,250.0000000000,0,0,0,6
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0203378215,49.7863016510,9.0909090909,14.7572861953,1.0000000000,0.8064000000,250.0000000000,0,0,0,6
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0203378215,49.7659638294,9.0909090909,14.7572861953,1.0000000000,0.8064000000,250.0000000000,0,0,0,6
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0292052296,49.7367585999,20.0000000000,13.6283177187,1.0000000000,0.8904000000,226.4150943396,0,0,0,26
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0195769974,49.7171816024,20.0000000000,13.6283177187,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0195769974,49.6976046050,20.0000000000,13.6283177187,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0195769974,49.6780276076,20.0000000000,13.6283177187,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0195769974,49.6584506102,20.0000000000,13.6283177187,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
16,100,0,5,100,100,0,0,1,105,685,100,100,0.0292315764,49.6292190338,20.0000000000,13.7896048224,1.0000000000,0.8904000000,226.4150943396,0,0,0,24
17,100,0,5,100,100,0,0,0,0,0,100,100,0.0196206252,49.6095984085,20.0000000000,13.7896048224,1.0000000000,0.8064000000,250.0000000000,0,0,0,24
18,100,0,5,100,100,0,0,0,0,0,100,100,0.0196206252,49.5899777833,20.0000000000,13.7896048224,1.0000000000,0.8064000000,250.0000000000,0,0,0,24
19,100,0,5,100,100,0,0,0,0,0,100,100,0.0196206252,49.5703571581,20.0000000000,13.7896048224,1.0000000000,0.8064000000,250.0000000000,0,0,0,24
20,100,0,5,100,100,0,0,0,0,0,100,100,0.0196206252,49.5507365328,20.0000000000,13.7896048224,1.0000000000,0.8064000000,250.0000000000,0,0,0,24
21,100,0,8,100,100,0,0,1,108,976,100,100,0.0335420752,49.5171944577,12.5000000000,15.0798299589,1.0000000000,0.8928000000,225.8064516129,0,0,0,5
22,100,0,8,100,100,0,0,0,0,0,100,100,0.0207784177,49.4964160400,12.5000000000,15.0798299589,1.0000000000,0.8064000000,250.0000000000,0,0,0,5
23,100,0,8,100,100,0,0,0,0,0,100,100,0.0207784177,49.4756376222,12.5000000000,15.0798299589,1.0000000000,0.8064000000,250.0000000000,0,0,0,5
24,100,0,8,100,100,0,0,0,0,0,100,100,0.0207784177,49.4548592045,12.5000000000,15.0798299589,1.0000000000,0.8064000000,250.0000000000,0,0,0,5
25,100,0,8,100,100,0,0,0,0,0,100,100,0.0207784177,49.4340807867,12.5000000000,15.0798299589,1.0000000000,0.8064000000,250.0000000000,0,0,0,5
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0310428872,49.4030378996,16.6666666667,14.5960000773,1.0000000000,0.8912000000,226.2118491921,0,0,0,13
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0203969388,49.3826409607,16.6666666667,14.5960000773,1.0000000000,0.8064000000,250.0000000000,0,0,0,13
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0203969388,49.3622440219,16.6666666667,14.5960000773,1.0000000000,0.8064000000,250.0000000000,0,0,0,13
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0203969388,49.3418470830,16.6666666667,14.5960000773,1.0000000000,0.8064000000,250.0000000000,0,0,0,13
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0203969388,49.3214501442,16.6666666667,14.5960000773,1.0000000000,0.8064000000,250.0000000000,0,0,0,13
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0351486111,49.2863015331,10.0000000000,14.5153597096,1.0000000000,0.8944000000,225.4025044723,0,0,0,10
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0202029776,49.2660985555,10.0000000000,14.5153597096,1.0000000000,0.8064000000,250.0000000000,0,0,0,10
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0202029776,49.2458955779,10.0000000000,14.5153597096,1.0000000000,0.8064000000,250.0000000000,0,0,0,10
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0202029776,49.2256926002,10.0000000000,14.5153597096,1.0000000000,0.8064000000,250.0000000000,0,0,0,10
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0202029776,49.2054896226,10.0000000000,14.5153597096,1.0000000000,0.8064000000,250.0000000000,0,0,0,10
36,100,0,8,100,100,0,0,1,108,976,100,100,0.0333149482,49.1721746744,12.5000000000,14.9185648546,1.0000000000,0.8928000000,225.8064516129,0,0,0,7
37,100,0,8,100,100,0,0,0,0,0,100,100,0.0205499810,49.1516246934,12.5000000000,14.9185648546,1.0000000000,0.8064000000,250.0000000000,0,0,0,7
38,100,0,8,100,100,0,0,0,0,0,100,100,0.0205499810,49.1310747125,12.5000000000,14.9185648546,1.0000000000,0.8064000000,250.0000000000,0,0,0,7
39,100,0,8,100,100,0,0,0,0,0,100,100,0.0205499810,49.1105247315,12.5000000000,14.9185648546,1.0000000000,0.8064000000,250.0000000000,0,0,0,7
40,100,0,8,100,100,0,0,0,0,0,100,100,0.0205499810,49.0899747505,12.5000000000,14.9185648546,1.0000000000,0.8064000000,250.0000000000,0,0,0,7
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0306095496,49.0593652009,16.6666666667,14.3540821316,1.0000000000,0.8912000000,226.2118491921,0,0,0,16
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0199773543,49.0393878466,16.6666666667,14.3540821316,1.0000000000,0.8064000000,250.0000000000,0,0,0,16
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0199773543,49.0194104923,16.6666666667,14.3540821316,1.0000000000,0.8064000000,250.0000000000,0,0,0,16
