Node,Death_Round
0,2621
1,2576
2,2611
3,2606
4,2601
5,2621
6,2616
7,2546
8,2531
9,2571
10,2586
11,2616
12,2591
13,2486
14,2576
15,2611
16,2546
17,2561
18,2576
19,2571
20,2571
21,2531
22,2556
23,2601
24,2596
25,2566
26,2583
27,2586
28,2611
29,2591
30,2581
31,2594
32,2581
33,2596
34,2606
35,2601
36,2546
37,2591
38,2556
39,2606
40,2576
41,2566
42,2571
43,2541
44,2541
45,2568
46,2578
47,2576
48,2621
49,2592
50,2496
51,2611
52,2621
53,2621
54,2597
55,2531
56,2616
57,2521
58,2573
59,2606
60,2599
61,2611
62,2551
63,2526
64,2551
65,2536
66,2476
67,2611
68,2616
69,2586
70,2611
71,2516
72,2561
73,2616
74,2551
75,2606
76,2576
77,2611
78,2603
79,2611
80,2608
81,2590
82,2551
83,2526
84,2581
85,2621
86,2556
87,2581
88,2606
89,2511
90,2581
91,2611
92,2546
93,2571
94,2587
95,2601
96,2571
97,2611
98,2551
99,2621
