Node,Death_Round
0,1861
1,1776
2,1776
3,1871
4,1796
5,1861
6,1866
7,1856
8,1866
9,1861
10,1846
11,1861
12,1801
13,1776
14,1826
15,1781
16,1671
17,1826
18,1821
19,1776
20,1866
21,1711
22,1711
23,1791
24,1836
25,1596
26,1861
27,1852
28,1841
29,1746
30,1846
31,1821
32,1841
33,1686
34,1866
35,1796
36,1846
37,1826
38,1831
39,1836
40,1726
41,1851
42,1856
43,1821
44,1836
45,1771
46,1696
47,1856
48,1696
49,1851
50,1816
51,1846
52,1866
53,1866
54,1876
55,1821
56,1856
57,1826
58,1821
59,1761
60,1876
61,1856
62,1801
63,1776
64,1711
65,1856
66,1861
67,1836
68,1771
69,1666
70,1761
71,1831
72,1766
73,1746
74,1836
75,1861
76,1821
77,1851
78,1801
79,1776
80,1811
81,1856
82,1781
83,1852
84,1831
85,1801
86,1850
87,1751
88,1876
89,1831
90,1856
91,1686
92,1871
93,1846
94,1766
95,1856
96,1746
97,1776
98,1786
99,1786
