Node,X,Y
0,30.2552,16.4831
1,99.2304,47.2002
2,89.2294,67.7503
3,33.9733,7.86962
4,56.5659,35.0892
5,30.7254,79.8873
6,2.26744,64.7067
7,76.8783,89.2632
8,82.4753,56.2967
9,20.6335,51.9016
10,21.3151,70.4735
11,63.8472,71.9469
12,73.0014,81.556
13,28.1623,7.49806
14,44.0026,87.624
15,38.0409,38.0293
16,52.0241,99.3563
17,91.4774,24.109
18,62.21,96.3433
19,93.1656,86.9126
20,21.1102,62.5536
21,31.6371,92.0942
22,19.6503,9.35716
23,62.449,67.9311
24,24.4164,80.9296
25,72.0374,3.77039
26,57.3413,6.11579
27,22.7135,18.1107
28,28.9063,72.5493
29,45.8546,59.8727
30,98.041,36.0007
31,18.7014,91.0614
32,95.9213,44.878
33,72.5613,75.7583
34,16.3405,47.8318
35,36.7303,67.1498
36,0.0800533,98.6268
37,3.83069,3.18609
38,10.707,0.0115991
39,54.8267,96.2456
40,59.9794,58.508
41,96.4658,61.4833
42,51.859,81.1198
43,35.8364,3.19698
44,48.7825,51.4491
45,75.1652,47.5576
46,66.7576,52.4652
47,30.3378,30.9227
48,83.0498,38.4937
49,14.574,77.8011
50,78.018,83.6842
51,78.7642,2.51484
52,48.8566,68.4236
53,72.6494,96.3535
54,25.4871,17.99
55,7.44646,3.12493
56,45.5813,4.70104
57,0.43541,81.4652
58,1.38588,55.8968
59,5.88994,34.2717
60,83.235,36.621
61,46.9515,60.3316
62,12.9817,81.8211
63,40.5693,85.6822
64,50.0436,13.113
65,85.778,18.8602
66,72.35,72.7134
67,92.3958,20.8558
68,76.7599,53.4601
69,84.442,2.35911
70,45.1014,40.2904
71,21.0973,37.806
72,25.36,10.6405
73,75.8658,47.3691
74,32.2988,70.3235
75,13.2866,99.9931
76,23.4235,93.2263
77,60.496,55.9897
78,92.9629,33.0959
79,83.7782,98.2883
80,95.8872,53.8692
81,58.3018,3.87665
82,1.76777,70.3604
83,9.6655,79.5716
84,61.5411,47.2714
85,32.1888,80.7637
86,88.3339,97.7176
87,49.3457,11.0392
88,29.0363,93.6285
89,26.4819,87.5139
90,20.8439,30.4961
91,41.0063,62.3832
92,17.6612,53.0828
93,17.5147,60.9885
94,0.0519736,34.5333
95,41.4304,74.5721
96,88.6196,98.3219
97,59.872,80.2647
98,87.807,26.1009
99,73.6381,64.4855
100,50,-100
