Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,4,100,100,0,0,1,104,588,100,100,0.0341361949,49.9479588051,25.0000000000,26.5311552028,1.0000000000,0.8896000000,226.6187050360,0,0,0,0,3
2,100,0,4,100,100,0,0,0,0,0,100,100,0.0253827147,49.9225760904,25.0000000000,26.5311552028,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,3
3,100,0,4,100,100,0,0,0,0,0,100,100,0.0253827147,49.8971933756,25.0000000000,26.5311552028,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,3
4,100,0,4,100,100,0,0,0,0,0,100,100,0.0253827147,49.8718106609,25.0000000000,26.5311552028,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,3
5,100,0,4,100,100,0,0,0,0,0,100,100,0.0253827147,49.8464279462,25.0000000000,26.5311552028,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,3
6,100,0,6,100,100,0,0,1,105,782,100,100,0.0342657505,49.8121621957,16.6666666667,32.4179062096,1.0000000000,0.8904000000,226.4150943396,0,0,0,0,5
7,100,0,6,100,100,0,0,0,0,0,100,100,0.0235786800,49.7885835157,16.6666666667,32.4179062096,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
8,100,0,6,100,100,0,0,0,0,0,100,100,0.0235786800,49.7650048357,16.6666666667,32.4179062096,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
9,100,0,6,100,100,0,0,0,0,0,100,100,0.0235786800,49.7414261557,16.6666666667,32.4179062096,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
10,100,0,6,100,100,0,0,0,0,0,100,100,0.0235786800,49.7178474757,16.6666666667,32.4179062096,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0345330335,49.6833144422,14.2857142857,36.2080565314,1.0000000000,0.8920000000,226.0089686099,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0228212372,49.6604932050,14.2857142857,36.2080565314,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0228212372,49.6376719678,14.2857142857,36.2080565314,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0228212372,49.6148507306,14.2857142857,36.2080565314,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0228212372,49.5920294934,14.2857142857,36.2080565314,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0330234890,49.5590060044,16.6666666667,32.5792132669,1.0000000000,0.8912000000,226.2118491921,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0224293406,49.5365766638,16.6666666667,32.5792132669,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0224293406,49.5141473233,16.6666666667,32.5792132669,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0224293406,49.4917179827,16.6666666667,32.5792132669,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0224293406,49.4692886421,16.6666666667,32.5792132669,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
21,100,0,7,100,100,0,0,1,107,879,100,100,0.0341762647,49.4351123774,14.2857142857,39.8370360383,1.0000000000,0.8920000000,226.0089686099,0,0,0,0,6
22,100,0,7,100,100,0,0,0,0,0,100,100,0.0224981525,49.4126142249,14.2857142857,39.8370360383,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
23,100,0,7,100,100,0,0,0,0,0,100,100,0.0224981525,49.3901160724,14.2857142857,39.8370360383,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
24,100,0,7,100,100,0,0,0,0,0,100,100,0.0224981525,49.3676179200,14.2857142857,39.8370360383,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
25,100,0,7,100,100,0,0,0,0,0,100,100,0.0224981525,49.3451197675,14.2857142857,39.8370360383,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,6
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0330750601,49.3120447073,20.0000000000,24.4346321482,1.0000000000,0.8904000000,226.4150943396,0,0,0,0,4
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0235051642,49.2885395431,20.0000000000,24.4346321482,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0235051642,49.2650343789,20.0000000000,24.4346321482,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0235051642,49.2415292147,20.0000000000,24.4346321482,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0235051642,49.2180240504,20.0000000000,24.4346321482,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
31,100,0,9,100,100,0,0,1,109,1073,100,100,0.0359986327,49.1820254177,11.1111111111,38.5465495299,1.0000000000,0.8936000000,225.6042972247,0,0,0,0,8
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0221713270,49.1598540907,11.1111111111,38.5465495299,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
33,100,0,9,100,100,0,0,0,0,0,100,100,0.0221713270,49.1376827638,11.1111111111,38.5465495299,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
34,100,0,9,100,100,0,0,0,0,0,100,100,0.0221713270,49.1155114368,11.1111111111,38.5465495299,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
35,100,0,9,100,100,0,0,0,0,0,100,100,0.0221713270,49.0933401098,11.1111111111,38.5465495299,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
36,100,0,9,100,100,0,0,1,109,1073,100,100,0.0365409769,49.0567991330,11.1111111111,33.0630483041,1.0000000000,0.8936000000,225.6042972247,0,0,0,0,8
37,100,0,9,100,100,0,0,0,0,0,100,100,0.0226947722,49.0341043607,11.1111111111,33.0630483041,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
38,100,0,9,100,100,0,0,0,0,0,100,100,0.0226947722,49.0114095885,11.1111111111,33.0630483041,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
39,100,0,9,100,100,0,0,0,0,0,100,100,0.0226947722,48.9887148163,11.1111111111,33.0630483041,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
40,100,0,9,100,100,0,0,0,0,0,100,100,0.0226947722,48.9660200440,11.1111111111,33.0630483041,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,8
41,100,0,12,100,100,0,0,1,112,1364,100,100,0.0396011491,48.9264188949,8.3333333333,31.9340629797,1.0000000000,0.8960000000,225.0000000000,0,0,0,0,11
42,100,0,12,100,100,0,0,0,0,0,100,100,0.0225301323,48.9038887626,8.3333333333,31.9340629797,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,11
43,100,0,12,100,100,0,0,0,0,0,100,100,0.0225301323,48.8813586304,8.3333333333,31.9340629797,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,11
44,100,0,12,100,100,0,0,0,0,0,100,100,0.0225301323,48.8588284981,8.3333333333,31.9340629797,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,11
45,100,0,12,100,100,0,0,0,0,0,100,100,0.0225301323,48.8362983658,8.3333333333,31.9340629797,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,11
46,100,0,5,100,100,0,0,1,105,685,100,100,0.0329988046,48.8032995612,20.0000000000,25.4829034407,1.0000000000,0.8904000000,226.4150943396,0,0,0,0,4
47,100,0,5,100,100,0,0,0,0,0,100,100,0.0233940922,48.7799054690,20.0000000000,25.4829034407,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
48,100,0,5,100,100,0,0,0,0,0,100,100,0.0233940922,48.7565113768,20.0000000000,25.4829034407,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
49,100,0,5,100,100,0,0,0,0,0,100,100,0.0233940922,48.7331172846,20.0000000000,25.4829034407,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
50,100,0,5,100,100,0,0,0,0,0,100,100,0.0233940922,48.7097231923,20.0000000000,25.4829034407,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,4
51,100,0,6,100,100,0,0,1,106,782,100,100,0.0338677927,48.6758553996,16.6666666667,29.5148725869,1.0000000000,0.8912000000,226.2118491921,0,0,0,0,5
52,100,0,6,100,100,0,0,0,0,0,100,100,0.0231934900,48.6526619096,16.6666666667,29.5148725869,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,5
