Node,Death_Round
0,1511
1,1536
2,1661
3,1636
4,1626
5,1581
6,1656
7,1696
8,1666
9,1566
10,1676
11,1671
12,1666
13,1561
14,1661
15,1556
16,1631
17,1651
18,1566
19,1691
20,1671
21,1657
22,1666
23,1646
24,1681
25,1561
26,1636
27,1611
28,1658
29,1641
30,1631
31,1476
32,1631
33,1676
34,1466
35,1636
36,1691
37,1656
38,1676
39,1596
40,1686
41,1691
42,1586
43,1667
44,1616
45,1661
46,1661
47,1696
48,1671
49,1621
50,1663
51,1656
52,1546
53,1666
54,1626
55,1586
56,1676
57,1591
58,1611
59,1561
60,1621
61,1651
62,1586
63,1671
64,1646
65,1661
66,1671
67,1656
68,1566
69,1616
70,1611
71,1551
72,1686
73,1591
74,1656
75,1671
76,1641
77,1641
78,1651
79,1646
80,1611
81,1641
82,1676
83,1666
84,1606
85,1651
86,1646
87,1666
88,1596
89,1662
90,1666
91,1676
92,1666
93,1666
94,1656
95,1681
96,1586
97,1696
98,1586
99,1656
