Node,X,Y
0,81.0472,32.6013
1,29.8449,25.4419
2,6.14892,65.3615
3,96.911,60.145
4,75.2754,47.4124
5,0.773593,53.0273
6,75.8432,97.8216
7,9.91297,38.908
8,68.0818,46.4004
9,72.0364,50.9981
10,0.769687,18.5558
11,95.6345,8.81098
12,15.6706,14.4996
13,41.8027,25.6632
14,40.3401,34.3195
15,28.8122,58.6795
16,24.0433,86.449
17,12.7973,87.1548
18,85.4291,52.7458
19,90.5171,47.5819
20,84.5702,38.6856
21,42.2308,70.6192
22,66.9523,25.3547
23,25.2175,39.8929
24,71.5184,61.9724
25,82.1651,57.711
26,91.4959,72.9802
27,15.2501,5.45974
28,29.4405,17.31
29,24.6597,82.5225
30,58.802,90.6794
31,67.4757,21.7551
32,68.0445,76.8962
33,99.1783,35.9954
34,33.2936,71.1599
35,69.5123,33.0929
36,60.366,50.3573
37,65.0837,78.5136
38,19.818,96.2969
39,78.4732,63.5706
40,82.6546,99.6062
41,93.0907,53.1205
42,60.4133,2.99616
43,47.9777,99.8193
44,91.9652,55.9813
45,40.7735,95.0682
46,33.4216,2.79812
47,71.3609,53.6612
48,66.6811,25.3797
49,51.5769,9.58832
50,48.3137,8.73274
51,88.7239,96.4544
52,56.0729,67.0023
53,63.878,34.5083
54,74.9541,61.9737
55,27.1755,27.0081
56,6.3014,19.1663
57,46.6479,70.1559
58,60.8785,56.8882
59,74.4059,32.7957
60,68.1903,12.9873
61,56.9365,36.1394
62,88.5309,0.306487
63,81.633,31.4376
64,50.3316,73.6994
65,9.91207,50.1942
66,13.2515,94.0153
67,88.8604,64.2854
68,88.0174,20.2388
69,16.7293,81.8454
70,56.278,43.9299
71,31.6451,88.1086
72,51.7646,88.5837
73,58.0017,61.7799
74,57.1846,41.3591
75,34.2509,7.52466
76,60.9141,18.3348
77,61.4024,20.5109
78,51.7725,57.6357
79,90.0807,12.6981
80,65.6981,91.6241
81,56.3016,5.37715
82,65.8037,87.2457
83,24.1594,3.11679
84,9.71812,68.533
85,74.5621,69.6265
86,56.7215,42.869
87,30.5035,67.9367
88,91.5732,7.37756
89,55.0832,68.2626
90,51.3273,47.2137
91,53.9141,15.8533
92,92.4712,42.4785
93,78.5628,90.3071
94,75.5575,93.8811
95,67.4217,53.6446
96,3.79963,47.6268
97,46.0141,38.8171
98,2.27263,42.732
99,96.8115,15.1956
100,50,-100
