Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,4,100,100,0,0,1,104,588,100,100,0.0423909929,49.9400040071,25.0000000000,15.8060544033,1.0000000000,0.8896000000,226.6187050360,0,0,0,0
2,100,0,4,100,100,0,0,0,0,0,100,100,0.0336461759,49.9063578312,25.0000000000,15.8060544033,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
3,100,0,4,100,100,0,0,0,0,0,100,100,0.0336461759,49.8727116553,25.0000000000,15.8060544033,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
4,100,0,4,100,100,0,0,0,0,0,100,100,0.0336461759,49.8390654794,25.0000000000,15.8060544033,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
5,100,0,4,100,100,0,0,0,0,0,100,100,0.0336461759,49.8054193035,25.0000000000,15.8060544033,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
6,100,0,5,100,100,0,0,1,105,685,100,100,0.0398882629,49.7655310407,20.0000000000,15.7253812382,1.0000000000,0.8904000000,226.4150943396,0,0,0,0
7,100,0,5,100,100,0,0,0,0,0,100,100,0.0303249365,49.7352061042,20.0000000000,15.7253812382,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
8,100,0,5,100,100,0,0,0,0,0,100,100,0.0303249365,49.7048811678,20.0000000000,15.7253812382,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
9,100,0,5,100,100,0,0,0,0,0,100,100,0.0303249365,49.6745562313,20.0000000000,15.7253812382,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
10,100,0,5,100,100,0,0,0,0,0,100,100,0.0303249365,49.6442312948,20.0000000000,15.7253812382,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
11,100,0,15,100,100,0,0,1,115,1655,100,100,0.0607666077,49.5834646871,6.6666666667,14.9189398375,1.0000000000,0.8984000000,224.3989314337,0,0,0,0
12,100,0,15,100,100,0,0,0,0,0,100,100,0.0404633846,49.5430013025,6.6666666667,14.9189398375,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
13,100,0,15,100,100,0,0,0,0,0,100,100,0.0404633846,49.5025379178,6.6666666667,14.9189398375,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
14,100,0,15,100,100,0,0,0,0,0,100,100,0.0404633846,49.4620745332,6.6666666667,14.9189398375,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
15,100,0,15,100,100,0,0,0,0,0,100,100,0.0404633846,49.4216111486,6.6666666667,14.9189398375,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0469663436,49.3746448049,14.2857142857,15.5641061672,1.0000000000,0.8920000000,226.0089686099,0,0,0,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0352551002,49.3393897048,14.2857142857,15.5641061672,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0352551002,49.3041346046,14.2857142857,15.5641061672,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0352551002,49.2688795044,14.2857142857,15.5641061672,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0352551002,49.2336244042,14.2857142857,15.5641061672,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
21,100,0,7,100,100,0,0,1,107,879,100,100,0.0494475638,49.1841768404,14.2857142857,15.5641105685,1.0000000000,0.8920000000,226.0089686099,0,0,0,0
22,100,0,7,100,100,0,0,0,0,0,100,100,0.0377329703,49.1464438701,14.2857142857,15.5641105685,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
23,100,0,7,100,100,0,0,0,0,0,100,100,0.0377329703,49.1087108998,14.2857142857,15.5641105685,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
24,100,0,7,100,100,0,0,0,0,0,100,100,0.0377329703,49.0709779295,14.2857142857,15.5641105685,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
25,100,0,7,100,100,0,0,0,0,0,100,100,0.0377329703,49.0332449592,14.2857142857,15.5641105685,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
26,100,0,7,100,100,0,0,1,107,879,100,100,0.0445322651,48.9887126941,14.2857142857,15.5640854980,1.0000000000,0.8920000000,226.0089686099,0,0,0,0
27,100,0,7,100,100,0,0,0,0,0,100,100,0.0327800401,48.9559326540,14.2857142857,15.5640854980,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
28,100,0,7,100,100,0,0,0,0,0,100,100,0.0327800401,48.9231526139,14.2857142857,15.5640854980,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
29,100,0,7,100,100,0,0,0,0,0,100,100,0.0327800401,48.8903725738,14.2857142857,15.5640854980,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
30,100,0,7,100,100,0,0,0,0,0,100,100,0.0327800401,48.8575925337,14.2857142857,15.5640854980,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
31,100,0,8,100,100,0,0,1,108,976,100,100,0.0462468301,48.8113457036,12.5000000000,15.4834317886,1.0000000000,0.8928000000,225.8064516129,0,0,0,0
32,100,0,8,100,100,0,0,0,0,0,100,100,0.0334816667,48.7778640369,12.5000000000,15.4834317886,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
33,100,0,8,100,100,0,0,0,0,0,100,100,0.0334816667,48.7443823702,12.5000000000,15.4834317886,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
34,100,0,8,100,100,0,0,0,0,0,100,100,0.0334816667,48.7109007035,12.5000000000,15.4834317886,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
35,100,0,8,100,100,0,0,0,0,0,100,100,0.0334816667,48.6774190367,12.5000000000,15.4834317886,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
36,100,0,7,100,100,0,0,1,107,879,100,100,0.0473488660,48.6300701707,14.2857142857,15.5640956935,1.0000000000,0.8920000000,226.0089686099,0,0,0,0
37,100,0,7,100,100,0,0,0,0,0,100,100,0.0356375474,48.5944326233,14.2857142857,15.5640956935,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
38,100,0,7,100,100,0,0,0,0,0,100,100,0.0356375474,48.5587950759,14.2857142857,15.5640956935,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
39,100,0,7,100,100,0,0,0,0,0,100,100,0.0356375474,48.5231575286,14.2857142857,15.5640956935,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
40,100,0,7,100,100,0,0,0,0,0,100,100,0.0356375474,48.4875199812,14.2857142857,15.5640956935,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
41,100,0,1,100,100,0,0,1,101,297,100,100,0.0374465982,48.4500733830,100.0000000000,16.0481568616,1.0000000000,0.8872000000,227.2317403066,0,0,0,0
42,100,0,1,100,100,0,0,0,0,0,100,100,0.0315881049,48.4184852780,100.0000000000,16.0481568616,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
43,100,0,1,100,100,0,0,0,0,0,100,100,0.0315881049,48.3868971731,100.0000000000,16.0481568616,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
44,100,0,1,100,100,0,0,0,0,0,100,100,0.0315881049,48.3553090682,100.0000000000,16.0481568616,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
45,100,0,1,100,100,0,0,0,0,0,100,100,0.0315881049,48.3237209633,100.0000000000,16.0481568616,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
46,100,0,4,100,100,0,0,1,104,588,100,100,0.0363044263,48.2874165370,25.0000000000,15.8060079949,1.0000000000,0.8896000000,226.6187050360,0,0,0,0
47,100,0,4,100,100,0,0,0,0,0,100,100,0.0278387973,48.2595777397,25.0000000000,15.8060079949,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
48,100,0,4,100,100,0,0,0,0,0,100,100,0.0278387973,48.2317389424,25.0000000000,15.8060079949,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
49,100,0,4,100,100,0,0,0,0,0,100,100,0.0278387973,48.2039001451,25.0000000000,15.8060079949,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
50,100,0,4,100,100,0,0,0,0,0,100,100,0.0278387973,48.1760613478,25.0000000000,15.8060079949,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
51,100,0,5,100,100,0,0,1,105,685,100,100,0.0390226872,48.1370386606,20.0000000000,15.7253678014,1.0000000000,0.8904000000,226.4150943396,0,0,0,0
52,100,0,5,100,100,0,0,0,0,0,100,100,0.0294468577,48.1075918028,20.0000000000,15.7253678014,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
53,100,0,5,100,100,0,0,0,0,0,100,100,0.0294468577,48.0781449451,20.0000000000,15.7253678014,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
54,100,0,5,100,100,0,0,0,0,0,100,100,0.0294468577,48.0486980873,20.0000000000,15.7253678014,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
55,100,0,5,100,100,0,0,0,0,0,100,100,0.0294468577,48.0192512296,20.0000000000,15.7253678014,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
56,100,0,4,100,100,0,0,1,104,588,100,100,0.0364774419,47.9827737877,25.0000000000,15.8060107277,1.0000000000,0.8896000000,226.6187050360,0,0,0,0
57,100,0,4,100,100,0,0,0,0,0,100,100,0.0279719370,47.9548018507,25.0000000000,15.8060107277,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
58,100,0,4,100,100,0,0,0,0,0,100,100,0.0279719370,47.9268299137,25.0000000000,15.8060107277,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
59,100,0,4,100,100,0,0,0,0,0,100,100,0.0279719370,47.8988579767,25.0000000000,15.8060107277,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
60,100,0,4,100,100,0,0,0,0,0,100,100,0.0279719370,47.8708860398,25.0000000000,15.8060107277,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
61,100,0,6,100,100,0,0,1,106,782,100,100,0.0413455167,47.8295405231,16.6666666667,15.6447269647,1.0000000000,0.8912000000,226.2118491921,0,0,0,0
62,100,0,6,100,100,0,0,0,0,0,100,100,0.0307236995,47.7988168235,16.6666666667,15.6447269647,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
63,100,0,6,100,100,0,0,0,0,0,100,100,0.0307236995,47.7680931240,16.6666666667,15.6447269647,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
64,100,0,6,100,100,0,0,0,0,0,100,100,0.0307236995,47.7373694244,16.6666666667,15.6447269647,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
65,100,0,6,100,100,0,0,0,0,0,100,100,0.0307236995,47.7066457249,16.6666666667,15.6447269647,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
66,100,0,6,100,100,0,0,1,106,782,100,100,0.0401335806,47.6665121443,16.6666666667,15.6447161801,1.0000000000,0.8912000000,226.2118491921,0,0,0,0
67,100,0,6,100,100,0,0,0,0,0,100,100,0.0295100434,47.6370021009,16.6666666667,15.6447161801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
68,100,0,6,100,100,0,0,0,0,0,100,100,0.0295100434,47.6074920575,16.6666666667,15.6447161801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
69,100,0,6,100,100,0,0,0,0,0,100,100,0.0295100434,47.5779820141,16.6666666667,15.6447161801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
70,100,0,6,100,100,0,0,0,0,0,100,100,0.0295100434,47.5484719707,16.6666666667,15.6447161801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
71,100,0,1,100,100,0,0,1,101,297,100,100,0.0373123279,47.5111596428,100.0000000000,16.0480758433,1.0000000000,0.8872000000,227.2317403066,0,0,0,0
72,100,0,1,100,100,0,0,0,0,0,100,100,0.0313330631,47.4798265797,100.0000000000,16.0480758433,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
73,100,0,1,100,100,0,0,0,0,0,100,100,0.0313330631,47.4484935166,100.0000000000,16.0480758433,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
74,100,0,1,100,100,0,0,0,0,0,100,100,0.0313330631,47.4171604535,100.0000000000,16.0480758433,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
75,100,0,1,100,100,0,0,0,0,0,100,100,0.0313330631,47.3858273904,100.0000000000,16.0480758433,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
76,100,0,4,100,100,0,0,1,104,588,100,100,0.0378582237,47.3479691668,25.0000000000,15.8060287350,1.0000000000,0.8896000000,226.6187050360,0,0,0,0
77,100,0,4,100,100,0,0,0,0,0,100,100,0.0293735925,47.3185955743,25.0000000000,15.8060287350,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
78,100,0,4,100,100,0,0,0,0,0,100,100,0.0293735925,47.2892219818,25.0000000000,15.8060287350,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
79,100,0,4,100,100,0,0,0,0,0,100,100,0.0293735925,47.2598483893,25.0000000000,15.8060287350,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
80,100,0,4,100,100,0,0,0,0,0,100,100,0.0293735925,47.2304747968,25.0000000000,15.8060287350,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
81,100,0,3,100,100,0,0,1,103,491,100,100,0.0366107112,47.1938640856,33.3333333333,15.8867314381,1.0000000000,0.8888000000,226.8226822682,0,0,0,0
82,100,0,3,100,100,0,0,0,0,0,100,100,0.0290916887,47.1647723970,33.3333333333,15.8867314381,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
83,100,0,3,100,100,0,0,0,0,0,100,100,0.0290916887,47.1356807083,33.3333333333,15.8867314381,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
84,100,0,3,100,100,0,0,0,0,0,100,100,0.0290916887,47.1065890196,33.3333333333,15.8867314381,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
85,100,0,3,100,100,0,0,0,0,0,100,100,0.0290916887,47.0774973310,33.3333333333,15.8867314381,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
86,100,0,2,100,100,0,0,1,102,394,100,100,0.0354422421,47.0420550889,50.0000000000,15.9673636012,1.0000000000,0.8880000000,227.0270270270,0,0,0,0
87,100,0,2,100,100,0,0,0,0,0,100,100,0.0288834649,47.0131716240,50.0000000000,15.9673636012,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
88,100,0,2,100,100,0,0,0,0,0,100,100,0.0288834649,46.9842881591,50.0000000000,15.9673636012,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
89,100,0,2,100,100,0,0,0,0,0,100,100,0.0288834649,46.9554046942,50.0000000000,15.9673636012,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
90,100,0,2,100,100,0,0,0,0,0,100,100,0.0288834649,46.9265212294,50.0000000000,15.9673636012,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
91,100,0,4,100,100,0,0,1,104,588,100,100,0.0349949989,46.8915262305,25.0000000000,15.8059960955,1.0000000000,0.8896000000,226.6187050360,0,0,0,0
92,100,0,4,100,100,0,0,0,0,0,100,100,0.0265013607,46.8650248698,25.0000000000,15.8059960955,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
93,100,0,4,100,100,0,0,0,0,0,100,100,0.0265013607,46.8385235091,25.0000000000,15.8059960955,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
94,100,0,4,100,100,0,0,0,0,0,100,100,0.0265013607,46.8120221485,25.0000000000,15.8059960955,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
95,100,0,4,100,100,0,0,0,0,0,100,100,0.0265013607,46.7855207878,25.0000000000,15.8059960955,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
96,100,0,55,100,100,0,0,1,120,5535,100,100,0.1376976430,46.6478231448,1.8181818182,11.6933127024,1.0000000000,0.9024000000,223.4042553191,0,0,0,0
97,100,0,55,100,100,0,0,0,0,0,100,100,0.0744031139,46.5734200309,1.8181818182,11.6933127024,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
98,100,0,55,100,100,0,0,0,0,0,100,100,0.0744031139,46.4990169171,1.8181818182,11.6933127024,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
99,100,0,55,100,100,0,0,0,0,0,100,100,0.0744031139,46.4246138032,1.8181818182,11.6933127024,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
100,100,0,55,100,100,0,0,0,0,0,100,100,0.0744031139,46.3502106893,1.8181818182,11.6933127024,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
101,100,0,2,100,100,0,0,1,102,394,100,100,0.0327954517,46.3174152376,50.0000000000,15.9673345604,1.0000000000,0.8880000000,227.0270270270,0,0,0,0
102,100,0,2,100,100,0,0,0,0,0,100,100,0.0262809746,46.2911342630,50.0000000000,15.9673345604,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
103,100,0,2,100,100,0,0,0,0,0,100,100,0.0262809746,46.2648532884,50.0000000000,15.9673345604,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
104,100,0,2,100,100,0,0,0,0,0,100,100,0.0262809746,46.2385723139,50.0000000000,15.9673345604,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
105,100,0,2,100,100,0,0,0,0,0,100,100,0.0262809746,46.2122913393,50.0000000000,15.9673345604,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
106,100,0,3,100,100,0,0,1,103,491,100,100,0.0335043883,46.1787869510,33.3333333333,15.8866552004,1.0000000000,0.8888000000,226.8226822682,0,0,0,0
107,100,0,3,100,100,0,0,0,0,0,100,100,0.0260599880,46.1527269630,33.3333333333,15.8866552004,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
108,100,0,3,100,100,0,0,0,0,0,100,100,0.0260599880,46.1266669750,33.3333333333,15.8866552004,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
109,100,0,3,100,100,0,0,0,0,0,100,100,0.0260599880,46.1006069870,33.3333333333,15.8866552004,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
110,100,0,3,100,100,0,0,0,0,0,100,100,0.0260599880,46.0745469989,33.3333333333,15.8866552004,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
111,100,0,9,100,100,0,0,1,109,1073,100,100,0.0453969190,46.0291500799,11.1111111111,15.4027839216,1.0000000000,0.8936000000,225.6042972247,0,0,0,0
112,100,0,9,100,100,0,0,0,0,0,100,100,0.0315429730,45.9976071070,11.1111111111,15.4027839216,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
113,100,0,9,100,100,0,0,0,0,0,100,100,0.0315429730,45.9660641340,11.1111111111,15.4027839216,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
114,100,0,9,100,100,0,0,0,0,0,100,100,0.0315429730,45.9345211610,11.1111111111,15.4027839216,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
115,100,0,9,100,100,0,0,0,0,0,100,100,0.0315429730,45.9029781880,11.1111111111,15.4027839216,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
116,100,0,5,100,100,0,0,1,105,685,100,100,0.0386734947,45.8643046933,20.0000000000,15.7253767670,1.0000000000,0.8904000000,226.4150943396,0,0,0,0
117,100,0,5,100,100,0,0,0,0,0,100,100,0.0289797801,45.8353249132,20.0000000000,15.7253767670,1.0000000000,0.8064000000,250.0000000000,0,0,0,0
