Node,Death_Round
0,2516
1,2476
2,2541
3,2521
4,2511
5,2536
6,2503
7,2466
8,2542
9,2551
10,2521
11,2533
12,2521
13,2541
14,2535
15,2486
16,2491
17,2536
18,2551
19,2546
20,2526
21,2436
22,2471
23,2512
24,2551
25,2546
26,2561
27,2546
28,2527
29,2521
30,2506
31,2476
32,2536
33,2541
34,2506
35,2536
36,2516
37,2536
38,2522
39,2491
40,2552
41,2546
42,2531
43,2551
44,2531
45,2511
46,2531
47,2561
48,2551
49,2556
50,2550
51,2561
52,2456
53,2551
54,2551
55,2541
56,2486
57,2516
58,2531
59,2551
60,2541
61,2521
62,2546
63,2491
64,2531
65,2496
66,2551
67,2546
68,2446
69,2546
70,2531
71,2541
72,2501
73,2521
74,2551
75,2521
76,2531
77,2561
78,2526
79,2537
80,2561
81,2516
82,2476
83,2540
84,2517
85,2536
86,2552
87,2530
88,2508
89,2526
90,2536
91,2471
92,2561
93,2536
94,2536
95,2476
96,2525
97,2545
98,2536
99,2556
