Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0250873869,49.9598876131,33.3333333333,14.9186383046,1.0000000000,0.8888000000,226.8226822682,0,0,0,54,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0173239878,49.9425636253,33.3333333333,14.9186383046,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0173239878,49.9252396375,33.3333333333,14.9186383046,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0173239878,49.9079156496,33.3333333333,14.9186383046,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0173239878,49.8905916618,33.3333333333,14.9186383046,1.0000000000,0.8064000000,250.0000000000,0,0,0,54,2
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0378838316,49.8527078302,9.0909090909,44.4333196426,1.0000000000,0.8952000000,225.2010723861,0,0,0,4,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0219068022,49.8308010280,9.0909090909,44.4333196426,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0219068022,49.8088942258,9.0909090909,44.4333196426,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0219068022,49.7869874235,9.0909090909,44.4333196426,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0219068022,49.7650806213,9.0909090909,44.4333196426,1.0000000000,0.8064000000,250.0000000000,0,0,0,4,10
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0323224897,49.7327581316,14.2857142857,33.6272940037,1.0000000000,0.8920000000,226.0089686099,0,0,0,19,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0205726482,49.7121854834,14.2857142857,33.6272940037,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0205726482,49.6916128351,14.2857142857,33.6272940037,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0205726482,49.6710401869,14.2857142857,33.6272940037,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0205726482,49.6504675386,14.2857142857,33.6272940037,1.0000000000,0.8064000000,250.0000000000,0,0,0,19,6
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0319883774,49.6184791612,14.2857142857,32.4982831326,1.0000000000,0.8920000000,226.0089686099,0,0,0,20,6
