Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0424836011,49.9424913989,33.3333333333,15.8868115801,1.0000000000,0.8888000000,226.8226822682,0,0,0,0,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0347202021,49.9077711968,33.3333333333,15.8868115801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0347202021,49.8730509948,33.3333333333,15.8868115801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0347202021,49.8383307927,33.3333333333,15.8868115801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0347202021,49.8036105906,33.3333333333,15.8868115801,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0635926007,49.7400179899,9.0909090909,15.2415300173,1.0000000000,0.8952000000,225.2010723861,0,0,0,0,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0476155713,49.6924024186,9.0909090909,15.2415300173,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0476155713,49.6447868473,9.0909090909,15.2415300173,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0476155713,49.5971712759,9.0909090909,15.2415300173,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0476155713,49.5495557046,9.0909090909,15.2415300173,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0428916419,49.5066640627,14.2857142857,15.5641049680,1.0000000000,0.8920000000,226.0089686099,0,0,0,0,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0311418004,49.4755222623,14.2857142857,15.5641049680,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0311418004,49.4443804618,14.2857142857,15.5641049680,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0311418004,49.4132386614,14.2857142857,15.5641049680,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0311418004,49.3820968609,14.2857142857,15.5641049680,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0512108845,49.3308859764,14.2857142857,15.5641327857,1.0000000000,0.8920000000,226.0089686099,0,0,0,0,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0394907304,49.2913952460,14.2857142857,15.5641327857,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0394907304,49.2519045156,14.2857142857,15.5641327857,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0394907304,49.2124137852,14.2857142857,15.5641327857,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0394907304,49.1729230548,14.2857142857,15.5641327857,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0432135164,49.1297095383,16.6666666667,15.6447784979,1.0000000000,0.8912000000,226.2118491921,0,0,0,0,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0325451615,49.0971643768,16.6666666667,15.6447784979,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0325451615,49.0646192153,16.6666666667,15.6447784979,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0325451615,49.0320740537,16.6666666667,15.6447784979,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0325451615,48.9995288922,16.6666666667,15.6447784979,1.0000000000,0.8064000000,250.0000000000,0,0,0,0,0
