Node,Death_Round
0,1821
1,1846
2,1861
3,1896
4,1836
5,1901
6,1886
7,1816
8,1881
9,1861
10,1796
11,1901
12,1876
13,1826
14,1846
15,1836
16,1796
17,1896
18,1851
19,1886
20,1896
21,1866
22,1901
23,1836
24,1791
25,1716
26,1871
27,1731
28,1886
29,1851
30,1851
31,1871
32,1861
33,1791
34,1871
35,1831
36,1856
37,1846
38,1891
39,1796
40,1891
41,1836
42,1761
43,1726
44,1861
45,1861
46,1867
47,1856
48,1821
49,1816
50,1836
51,1896
52,1786
53,1891
54,1896
55,1796
56,1891
57,1791
58,1836
59,1868
60,1866
61,1796
62,1821
63,1796
64,1791
65,1891
66,1761
67,1786
68,1906
69,1876
70,1871
71,1701
72,1876
73,1671
74,1886
75,1896
76,1851
77,1761
78,1856
79,1886
80,1756
81,1881
82,1861
83,1886
84,1786
85,1811
86,1866
87,1866
88,1811
89,1846
90,1881
91,1711
92,1821
93,1891
94,1846
95,1881
96,1896
97,1906
98,1776
99,1846
