Node,Death_Round
0,2131
1,2131
2,2131
3,2071
4,2131
5,2131
6,2051
7,2131
8,2103
9,2146
10,2106
11,2116
12,2096
13,2086
14,2046
15,2131
16,2051
17,2096
18,2101
19,2122
20,2106
21,2096
22,2076
23,2071
24,2051
25,2116
26,2091
27,2101
28,2111
29,2127
30,2121
31,2106
32,2071
33,2126
34,2051
35,2031
36,2076
37,2116
38,2111
39,2076
40,2100
41,2116
42,2132
43,2111
44,2121
45,2112
46,2106
47,2124
48,2056
49,2136
50,2129
51,2056
52,2041
53,2096
54,2076
55,2131
56,2081
57,2115
58,2131
59,2141
60,2081
61,2116
62,2076
63,2046
64,2066
65,2136
66,2051
67,2126
68,2096
69,2116
70,2076
71,2126
72,2116
73,2093
74,2126
75,2101
76,2120
77,2108
78,2086
79,2116
80,2131
81,2111
82,2101
83,2076
84,2121
85,2081
86,2117
87,2097
88,2141
89,2066
90,2121
91,2091
92,2141
93,2131
94,2141
95,2126
96,2126
97,2146
98,2086
99,2101
