Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0323609318,47.9425362682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.9230305830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.9035248977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.8840192125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.8645135273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0500218503,47.8144916770,9.0909090909,15.6881624856,1.0000000000,0.9829760000,215.6715932027,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.7910014713,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.7675112657,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.7440210600,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.7205308543,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0420900534,47.6784408010,14.2857142857,14.7553671503,1.0000000000,0.9781120000,216.7440947458,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.6558612266,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.6332816523,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.6107020780,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.5881225037,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0418899970,47.5462325067,14.2857142857,14.6705627570,1.0000000000,0.9781120000,216.7440947458,0,0,0,20,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,47.5238078640,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,47.5013832213,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,47.4789585786,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,47.4565339359,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
21,100,0,5,100,100,0,0,1,105,685,100,100,0.0369115817,47.4196223541,20.0000000000,13.6529681699,1.0000000000,0.9756800000,217.2843555264,0,0,0,34,0
22,100,0,5,100,100,0,0,0,0,0,100,100,0.0209778369,47.3986445172,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
23,100,0,5,100,100,0,0,0,0,0,100,100,0.0209778369,47.3776666803,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
24,100,0,5,100,100,0,0,0,0,0,100,100,0.0209778369,47.3566888433,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
25,100,0,5,100,100,0,0,0,0,0,100,100,0.0209778369,47.3357110064,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
26,100,0,7,100,100,0,0,1,107,879,100,100,0.0428970177,47.2928139887,14.2857142857,15.0097650775,1.0000000000,0.9781120000,216.7440947458,0,0,0,16,0
27,100,0,7,100,100,0,0,0,0,0,100,100,0.0233491378,47.2694648510,14.2857142857,15.0097650775,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
28,100,0,7,100,100,0,0,0,0,0,100,100,0.0233491378,47.2461157132,14.2857142857,15.0097650775,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
29,100,0,7,100,100,0,0,0,0,0,100,100,0.0233491378,47.2227665755,14.2857142857,15.0097650775,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
30,100,0,7,100,100,0,0,0,0,0,100,100,0.0233491378,47.1994174377,14.2857142857,15.0097650775,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
31,100,0,9,100,100,0,0,1,109,1073,100,100,0.0454720736,47.1539453641,11.1111111111,14.9249624347,1.0000000000,0.9805440000,216.2065139351,0,0,0,15,0
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0224671416,47.1314782224,11.1111111111,14.9249624347,1.0000000000,0.8480000000,250.0000000000,0,0,0,15,0
33,100,0,9,100,100,0,0,0,0,0,100,100,0.0224671416,47.1090110808,11.1111111111,14.9249624347,1.0000000000,0.8480000000,250.0000000000,0,0,0,15,0
34,100,0,9,100,100,0,0,0,0,0,100,100,0.0224671416,47.0865439392,11.1111111111,14.9249624347,1.0000000000,0.8480000000,250.0000000000,0,0,0,15,0
35,100,0,9,100,100,0,0,0,0,0,100,100,0.0224671416,47.0640767975,11.1111111111,14.9249624347,1.0000000000,0.8480000000,250.0000000000,0,0,0,15,0
36,100,0,5,100,100,0,0,1,105,685,100,100,0.0386554566,47.0254213409,20.0000000000,14.7553810601,1.0000000000,0.9756800000,217.2843555264,0,0,0,21,0
37,100,0,5,100,100,0,0,0,0,0,100,100,0.0227126760,47.0027086649,20.0000000000,14.7553810601,1.0000000000,0.8480000000,250.0000000000,0,0,0,21,0
38,100,0,5,100,100,0,0,0,0,0,100,100,0.0227126760,46.9799959889,20.0000000000,14.7553810601,1.0000000000,0.8480000000,250.0000000000,0,0,0,21,0
39,100,0,5,100,100,0,0,0,0,0,100,100,0.0227126760,46.9572833129,20.0000000000,14.7553810601,1.0000000000,0.8480000000,250.0000000000,0,0,0,21,0
40,100,0,5,100,100,0,0,0,0,0,100,100,0.0227126760,46.9345706370,20.0000000000,14.7553810601,1.0000000000,0.8480000000,250.0000000000,0,0,0,21,0
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0408470295,46.8937236075,16.6666666667,15.3489682832,1.0000000000,0.9768960000,217.0138888889,0,0,0,13,0
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0232045631,46.8705190444,16.6666666667,15.3489682832,1.0000000000,0.8480000000,250.0000000000,0,0,0,13,0
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0232045631,46.8473144813,16.6666666667,15.3489682832,1.0000000000,0.8480000000,250.0000000000,0,0,0,13,0
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0232045631,46.8241099182,16.6666666667,15.3489682832,1.0000000000,0.8480000000,250.0000000000,0,0,0,13,0
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0232045631,46.8009053550,16.6666666667,15.3489682832,1.0000000000,0.8480000000,250.0000000000,0,0,0,13,0
46,100,0,10,100,100,0,0,1,110,1170,100,100,0.0480530914,46.7528522636,10.0000000000,15.6033686062,1.0000000000,0.9817600000,215.9387222947,0,0,0,6,0
47,100,0,10,100,100,0,0,0,0,0,100,100,0.0233042472,46.7295480164,10.0000000000,15.6033686062,1.0000000000,0.8480000000,250.0000000000,0,0,0,6,0
48,100,0,10,100,100,0,0,0,0,0,100,100,0.0233042472,46.7062437692,10.0000000000,15.6033686062,1.0000000000,0.8480000000,250.0000000000,0,0,0,6,0
49,100,0,10,100,100,0,0,0,0,0,100,100,0.0233042472,46.6829395220,10.0000000000,15.6033686062,1.0000000000,0.8480000000,250.0000000000,0,0,0,6,0
50,100,0,10,100,100,0,0,0,0,0,100,100,0.0233042472,46.6596352748,10.0000000000,15.6033686062,1.0000000000,0.8480000000,250.0000000000,0,0,0,6,0
51,100,0,4,100,100,0,0,1,104,588,100,100,0.0360376007,46.6235976741,25.0000000000,13.7377526107,1.0000000000,0.9744640000,217.5554971759,0,0,0,34,0
52,100,0,4,100,100,0,0,0,0,0,100,100,0.0217267538,46.6018709203,25.0000000000,13.7377526107,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
53,100,0,4,100,100,0,0,0,0,0,100,100,0.0217267538,46.5801441664,25.0000000000,13.7377526107,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
54,100,0,4,100,100,0,0,0,0,0,100,100,0.0217267538,46.5584174126,25.0000000000,13.7377526107,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
55,100,0,4,100,100,0,0,0,0,0,100,100,0.0217267538,46.5366906588,25.0000000000,13.7377526107,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
56,100,0,6,100,100,0,0,1,105,782,100,100,0.0379021627,46.4987884960,16.6666666667,12.5505609228,1.0000000000,0.9756800000,217.2843555264,0,0,0,46,0
