Node,Death_Round
0,1521
1,1541
2,1506
3,1531
4,1516
5,1501
6,1446
7,1506
8,1496
9,1531
10,1536
11,1486
12,1471
13,1451
14,1531
15,1466
16,1436
17,1446
18,1546
19,1527
20,1481
21,1431
22,1541
23,1451
24,1496
25,1486
26,1386
27,1376
28,1436
29,1536
30,1456
31,1531
32,1381
33,1516
34,1486
35,1406
36,1526
37,1511
38,1536
39,1381
40,1511
41,1531
42,1536
43,1496
44,1531
45,1511
46,1531
47,1456
48,1536
49,1521
50,1511
51,1546
52,1516
53,1511
54,1441
55,1521
56,1531
57,1531
58,1481
59,1506
60,1381
61,1451
62,1506
63,1446
64,1536
65,1381
66,1546
67,1516
68,1476
69,1506
70,1446
71,1476
72,1521
73,1541
74,1446
75,1336
76,1456
77,1406
78,1516
79,1536
80,1511
81,1426
82,1486
83,1511
84,1386
85,1526
86,1522
87,1520
88,1521
89,1371
90,1451
91,1531
92,1506
93,1526
94,1491
95,1523
96,1526
97,1546
98,1541
99,1451
