Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0439276237,47.9309695763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,47.8998971991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,47.8688248219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,47.8377524447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,47.8066800676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,12,100,100,0,0,1,111,1364,100,100,0.0543653807,47.7523146868,8.3333333333,33.5814286929,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,11
7,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,47.7263083489,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
8,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,47.7003020110,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
9,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,47.6742956730,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
10,100,0,12,100,100,0,0,0,0,0,100,100,0.0260063379,47.6482893351,8.3333333333,33.5814286929,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,11
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0462156136,47.6020737215,14.2857142857,28.9175071427,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0267173647,47.5753563568,14.2857142857,28.9175071427,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0267173647,47.5486389920,14.2857142857,28.9175071427,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0267173647,47.5219216273,14.2857142857,28.9175071427,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0267173647,47.4952042626,14.2857142857,28.9175071427,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
16,100,0,8,100,100,0,0,1,108,976,100,100,0.0471792285,47.4480250341,12.5000000000,39.8566815308,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,7
17,100,0,8,100,100,0,0,0,0,0,100,100,0.0259567383,47.4220682959,12.5000000000,39.8566815308,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
18,100,0,8,100,100,0,0,0,0,0,100,100,0.0259567383,47.3961115576,12.5000000000,39.8566815308,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
19,100,0,8,100,100,0,0,0,0,0,100,100,0.0259567383,47.3701548194,12.5000000000,39.8566815308,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
20,100,0,8,100,100,0,0,0,0,0,100,100,0.0259567383,47.3441980811,12.5000000000,39.8566815308,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
21,100,0,5,100,100,0,0,1,105,685,100,100,0.0439041047,47.3002939764,20.0000000000,36.0406493172,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
22,100,0,5,100,100,0,0,0,0,0,100,100,0.0277499913,47.2725439852,20.0000000000,36.0406493172,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
23,100,0,5,100,100,0,0,0,0,0,100,100,0.0277499913,47.2447939939,20.0000000000,36.0406493172,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
24,100,0,5,100,100,0,0,0,0,0,100,100,0.0277499913,47.2170440027,20.0000000000,36.0406493172,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
25,100,0,5,100,100,0,0,0,0,0,100,100,0.0277499913,47.1892940114,20.0000000000,36.0406493172,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0420892105,47.1472048009,20.0000000000,32.7335216677,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0262152745,47.1209895264,20.0000000000,32.7335216677,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0262152745,47.0947742518,20.0000000000,32.7335216677,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0262152745,47.0685589773,20.0000000000,32.7335216677,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0262152745,47.0423437027,20.0000000000,32.7335216677,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
31,100,0,9,100,100,0,0,1,108,1073,100,100,0.0485386316,46.9938050712,11.1111111111,39.1783460518,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,8
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0256018349,46.9682032362,11.1111111111,39.1783460518,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
33,100,0,9,100,100,0,0,0,0,0,100,100,0.0256018349,46.9426014013,11.1111111111,39.1783460518,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
34,100,0,9,100,100,0,0,0,0,0,100,100,0.0256018349,46.9169995664,11.1111111111,39.1783460518,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
35,100,0,9,100,100,0,0,0,0,0,100,100,0.0256018349,46.8913977315,11.1111111111,39.1783460518,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
36,100,0,7,100,100,0,0,1,107,879,100,100,0.0458677901,46.8455299414,14.2857142857,47.9975539048,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
