Node,Death_Round
0,2311
1,2346
2,2321
3,2336
4,2346
5,2331
6,2281
7,2291
8,2321
9,2346
10,2296
11,2326
12,2304
13,2311
14,2256
15,2336
16,2331
17,2291
18,2251
19,2336
20,2271
21,2311
22,2321
23,2311
24,2321
25,2326
26,2311
27,2310
28,2271
29,2343
30,2307
31,2311
32,2331
33,2321
34,2321
35,2301
36,2296
37,2276
38,2271
39,2331
40,2311
41,2326
42,2301
43,2331
44,2316
45,2321
46,2331
47,2341
48,2341
49,2328
50,2346
51,2334
52,2266
53,2331
54,2306
55,2341
56,2281
57,2336
58,2321
59,2306
60,2291
61,2306
62,2261
63,2340
64,2322
65,2326
66,2256
67,2351
68,2246
69,2341
70,2316
71,2318
72,2346
73,2291
74,2312
75,2296
76,2326
77,2321
78,2271
79,2331
80,2291
81,2296
82,2321
83,2351
84,2341
85,2311
86,2321
87,2331
88,2306
89,2341
90,2346
91,2341
92,2296
93,2332
94,2326
95,2351
96,2286
97,2316
98,2331
99,2341
