Node,Death_Round
0,2316
1,2306
2,2301
3,2291
4,2306
5,2301
6,2226
7,2283
8,2291
9,2326
10,2321
11,2251
12,2241
13,2311
14,2321
15,2281
16,2266
17,2216
18,2265
19,2286
20,2311
21,2271
22,2306
23,2181
24,2246
25,2271
26,2276
27,2296
28,2211
29,2306
30,2231
31,2241
32,2296
33,2276
34,2221
35,2296
36,2302
37,2301
38,2251
39,2246
40,2266
41,2231
42,2276
43,2274
44,2296
45,2301
46,2276
47,2296
48,2256
49,2261
50,2278
51,2231
52,2251
53,2306
54,2261
55,2326
56,2295
57,2256
58,2276
59,2281
60,2281
61,2271
62,2241
63,2201
64,2316
65,2261
66,2196
67,2306
68,2307
69,2292
70,2221
71,2276
72,2256
73,2296
74,2226
75,2246
76,2291
77,2299
78,2306
79,2256
80,2269
81,2291
82,2256
83,2306
84,2286
85,2271
86,2306
87,2291
88,2291
89,2246
90,2287
91,2236
92,2306
93,2261
94,2291
95,2246
96,2301
97,2296
98,2256
99,2296
