Node,Death_Round
0,1596
1,1601
2,1491
3,1646
4,1641
5,1656
6,1656
7,1626
8,1656
9,1611
10,1656
11,1656
12,1641
13,1651
14,1516
15,1571
16,1506
17,1611
18,1651
19,1591
20,1591
21,1621
22,1581
23,1611
24,1626
25,1596
26,1506
27,1596
28,1636
29,1621
30,1466
31,1631
32,1571
33,1596
34,1601
35,1521
36,1631
37,1566
38,1596
39,1571
40,1516
41,1596
42,1651
43,1511
44,1546
45,1646
46,1641
47,1606
48,1546
49,1621
50,1638
51,1521
52,1656
53,1661
54,1581
55,1646
56,1641
57,1641
58,1646
59,1601
60,1586
61,1646
62,1486
63,1596
64,1591
65,1536
66,1581
67,1643
68,1596
69,1611
70,1656
71,1631
72,1606
73,1646
74,1591
75,1441
76,1656
77,1476
78,1576
79,1636
80,1611
81,1636
82,1616
83,1646
84,1621
85,1651
86,1601
87,1611
88,1656
89,1631
90,1616
91,1651
92,1636
93,1561
94,1561
95,1426
96,1581
97,1591
98,1646
99,1626
