Node,Death_Round
0,1701
1,1506
2,1701
3,1706
4,1641
5,1706
6,1706
7,1696
8,1606
9,1706
10,1576
11,1701
12,1551
13,1661
14,1696
15,1681
16,1561
17,1566
18,1721
19,1716
20,1701
21,1656
22,1696
23,1716
24,1716
25,1621
26,1706
27,1571
28,1606
29,1699
30,1631
31,1621
32,1686
33,1706
34,1616
35,1641
36,1551
37,1706
38,1626
39,1671
40,1706
41,1711
42,1696
43,1631
44,1551
45,1711
46,1656
47,1696
48,1691
49,1696
50,1711
51,1716
52,1716
53,1716
54,1711
55,1551
56,1706
57,1716
58,1616
59,1696
60,1691
61,1671
62,1691
63,1621
64,1686
65,1531
66,1661
67,1586
68,1661
69,1716
70,1701
71,1641
72,1606
73,1646
74,1696
75,1606
76,1691
77,1681
78,1636
79,1721
80,1721
81,1541
82,1656
83,1621
84,1681
85,1491
86,1591
87,1721
88,1721
89,1701
90,1686
91,1701
92,1611
93,1606
94,1676
95,1686
96,1681
97,1681
98,1711
99,1681
