Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0407633437,49.9363986563,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0289629772,49.9074356791,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0289629772,49.8784727019,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0289629772,49.8495097247,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0289629772,49.8205467476,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0478989540,49.7726477935,9.0909090909,36.8038129633,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775507,49.7490702428,9.0909090909,36.8038129633,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775507,49.7254926922,9.0909090909,36.8038129633,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775507,49.7019151415,9.0909090909,36.8038129633,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0235775507,49.6783375908,9.0909090909,36.8038129633,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0418910775,49.6364465133,14.2857142857,31.8855522561,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0241223767,49.6123241366,14.2857142857,31.8855522561,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0241223767,49.5882017599,14.2857142857,31.8855522561,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0241223767,49.5640793832,14.2857142857,31.8855522561,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0241223767,49.5399570065,14.2857142857,31.8855522561,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
16,100,0,9,100,100,0,0,1,109,1073,100,100,0.0449502379,49.4950067686,11.1111111111,39.3478811004,1.0000000000,0.9805440000,216.2065139351,0,0,0,0,8
17,100,0,9,100,100,0,0,0,0,0,100,100,0.0238928717,49.4711138969,11.1111111111,39.3478811004,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
18,100,0,9,100,100,0,0,0,0,0,100,100,0.0238928717,49.4472210252,11.1111111111,39.3478811004,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
19,100,0,9,100,100,0,0,0,0,0,100,100,0.0238928717,49.4233281535,11.1111111111,39.3478811004,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
20,100,0,9,100,100,0,0,0,0,0,100,100,0.0238928717,49.3994352818,11.1111111111,39.3478811004,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0415392618,49.3578960200,16.6666666667,34.7688024408,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0251971163,49.3326989037,16.6666666667,34.7688024408,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0251971163,49.3075017875,16.6666666667,34.7688024408,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0251971163,49.2823046712,16.6666666667,34.7688024408,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0251971163,49.2571075549,16.6666666667,34.7688024408,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0423365110,49.2147710439,20.0000000000,36.7190816375,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0273340484,49.1874369955,20.0000000000,36.7190816375,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0273340484,49.1601029472,20.0000000000,36.7190816375,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0273340484,49.1327688988,20.0000000000,36.7190816375,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0273340484,49.1054348504,20.0000000000,36.7190816375,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
31,100,0,9,100,100,0,0,1,109,1073,100,100,0.0450494765,49.0603853740,11.1111111111,48.8457236318,1.0000000000,0.9805440000,216.2065139351,0,0,0,0,8
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0239618267,49.0364235473,11.1111111111,48.8457236318,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
