Node,Death_Round
0,1720
1,1637
2,1722
3,1619
4,1638
5,1686
6,1389
7,1486
8,1650
9,1842
10,1614
11,1475
12,1602
13,1562
14,1386
15,1575
16,1582
17,1591
18,1646
19,1670
20,1579
21,1454
22,1562
23,1475
24,1576
25,1670
26,1534
27,1650
28,1394
29,1815
30,1485
31,1614
32,1658
33,1585
34,1736
35,1519
36,1545
37,1661
38,1586
39,1577
40,1482
41,1454
42,1664
43,1585
44,1701
45,1570
46,1582
47,1646
48,1513
49,1671
50,1672
51,1503
52,1520
53,1649
54,1469
55,1689
56,1456
57,1575
58,1639
59,1785
60,1627
61,1435
62,1431
63,1520
64,1435
65,1600
66,1416
67,1634
68,1412
69,1645
70,1684
71,1659
72,1646
73,1557
74,1602
75,1718
76,1527
77,1732
78,1591
79,1383
80,1602
81,1513
82,1751
83,1464
84,1541
85,1582
86,1652
87,1786
88,1567
89,1551
90,1668
91,1441
92,1487
93,1644
94,1515
95,1588
96,1707
97,1610
98,1629
99,1491
