Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.0326426921,49.9673573079,16.6666666667,15.5202282061,1.0000000000,0.8840000000,226.2443438914
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.0343729546,49.9329843533,11.1111111111,15.2801948215,1.0000000000,0.8864000000,225.6317689531
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0289048371,49.9040795162,50.0000000000,15.8401705395,1.0000000000,0.8816000000,226.8602540835
4,100,0,5,100,100,0,0,1,105,685,100,100,0.0303062609,49.8737732553,20.0000000000,15.6002015726,1.0000000000,0.8840000000,226.2443438914
5,100,0,4,100,100,0,0,1,104,588,100,100,0.0302460174,49.8435272379,25.0000000000,15.6802484352,1.0000000000,0.8832000000,226.4492753623
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0341701840,49.8093570540,11.1111111111,15.2801778696,1.0000000000,0.8872000000,225.4283137962
7,100,0,3,100,100,0,0,1,103,491,100,100,0.0288953816,49.7804616724,33.3333333333,15.7601808135,1.0000000000,0.8824000000,226.6545784225
8,100,0,4,100,100,0,0,1,104,588,100,100,0.0300162902,49.7504453822,25.0000000000,15.6801901999,1.0000000000,0.8832000000,226.4492753623
9,100,0,4,100,100,0,0,1,104,588,100,100,0.0313646685,49.7190807137,25.0000000000,15.6802506374,1.0000000000,0.8832000000,226.4492753623
10,100,0,4,100,100,0,0,1,104,588,100,100,0.0303091603,49.6887715534,25.0000000000,15.6801635536,1.0000000000,0.8832000000,226.4492753623
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0352376960,49.6535338574,10.0000000000,15.2001653590,1.0000000000,0.8880000000,225.2252252252
12,100,0,3,100,100,0,0,1,103,491,100,100,0.0295054671,49.6240283904,33.3333333333,15.7602150748,1.0000000000,0.8824000000,226.6545784225
13,100,0,8,100,100,0,0,1,108,976,100,100,0.0332353509,49.5907930394,12.5000000000,15.3601857193,1.0000000000,0.8864000000,225.6317689531
14,100,0,7,100,100,0,0,1,107,879,100,100,0.0321633840,49.5586296555,14.2857142857,15.4401633151,1.0000000000,0.8856000000,225.8355916893
15,100,0,6,100,100,0,0,1,106,782,100,100,0.0315026033,49.5271270522,16.6666666667,15.5201697520,1.0000000000,0.8848000000,226.0397830018
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0296848728,49.4974421794,50.0000000000,15.8402382911,1.0000000000,0.8816000000,226.8602540835
17,100,0,4,100,100,0,0,1,104,588,100,100,0.0310286946,49.4664134848,25.0000000000,15.6802270581,1.0000000000,0.8832000000,226.4492753623
18,100,0,3,100,100,0,0,1,103,491,100,100,0.0291814520,49.4372320329,33.3333333333,15.7601841982,1.0000000000,0.8824000000,226.6545784225
19,100,0,2,100,100,0,0,1,102,394,100,100,0.0304157912,49.4068162417,50.0000000000,15.8403004415,1.0000000000,0.8816000000,226.8602540835
20,100,0,5,100,100,0,0,1,105,685,100,100,0.0306577355,49.3761585062,20.0000000000,15.6002161020,1.0000000000,0.8840000000,226.2443438914
21,100,0,4,100,100,0,0,2,104,588,100,100,0.0294301149,49.3467283913,25.0000000000,15.6801739781,1.0000000000,0.8832000000,226.4492753623
22,100,0,5,100,100,0,0,2,105,685,100,100,0.0307745400,49.3159538512,20.0000000000,15.6001817904,1.0000000000,0.8840000000,226.2443438914
23,100,0,4,100,100,0,0,2,104,588,100,100,0.0300751612,49.2858786900,25.0000000000,15.6801912822,1.0000000000,0.8832000000,226.4492753623
24,100,0,7,100,100,0,0,2,107,879,100,100,0.0323961517,49.2534825383,14.2857142857,15.4401896407,1.0000000000,0.8856000000,225.8355916893
25,100,0,4,100,100,0,0,2,104,588,100,100,0.0297346556,49.2237478827,25.0000000000,15.6801987615,1.0000000000,0.8832000000,226.4492753623
26,100,0,6,100,100,0,0,2,106,782,100,100,0.0311416853,49.1926061974,16.6666666667,15.5201921818,1.0000000000,0.8848000000,226.0397830018
27,100,0,5,100,100,0,0,2,105,685,100,100,0.0309037400,49.1617024575,20.0000000000,15.6002023249,1.0000000000,0.8840000000,226.2443438914
28,100,0,7,100,100,0,0,2,107,879,100,100,0.0322159765,49.1294864810,14.2857142857,15.4401676275,1.0000000000,0.8856000000,225.8355916893
29,100,0,5,100,100,0,0,2,105,685,100,100,0.0310342170,49.0984522640,20.0000000000,15.6002214509,1.0000000000,0.8840000000,226.2443438914
30,100,0,4,100,100,0,0,2,104,588,100,100,0.0297806020,49.0686716620,25.0000000000,15.6801957993,1.0000000000,0.8832000000,226.4492753623
31,100,0,6,100,100,0,0,2,106,782,100,100,0.0316422645,49.0370293975,16.6666666667,15.5201926626,1.0000000000,0.8848000000,226.0397830018
32,100,0,7,100,100,0,0,2,107,879,100,100,0.0325012719,49.0045281256,14.2857142857,15.4402144477,1.0000000000,0.8856000000,225.8355916893
33,100,0,4,100,100,0,0,2,104,588,100,100,0.0298784551,48.9746496705,25.0000000000,15.6801936663,1.0000000000,0.8832000000,226.4492753623
34,100,0,5,100,100,0,0,2,105,685,100,100,0.0303003798,48.9443492906,20.0000000000,15.6002222468,1.0000000000,0.8840000000,226.2443438914
35,100,0,5,100,100,0,0,2,105,685,100,100,0.0304807105,48.9138685801,20.0000000000,15.6001926048,1.0000000000,0.8840000000,226.2443438914
36,100,0,4,100,100,0,0,2,104,588,100,100,0.0301014911,48.8837670890,25.0000000000,15.6801958859,1.0000000000,0.8832000000,226.4492753623
37,100,0,4,100,100,0,0,2,104,588,100,100,0.0309853512,48.8527817378,25.0000000000,15.6802618932,1.0000000000,0.8832000000,226.4492753623
38,100,0,5,100,100,0,0,2,105,685,100,100,0.0306819835,48.8220997543,20.0000000000,15.6001882244,1.0000000000,0.8840000000,226.2443438914
39,100,0,7,100,100,0,0,2,107,879,100,100,0.0319397589,48.7901599954,14.2857142857,15.4401863168,1.0000000000,0.8856000000,225.8355916893
40,100,0,2,100,100,0,0,2,102,394,100,100,0.0290749670,48.7610850284,50.0000000000,15.8401678202,1.0000000000,0.8816000000,226.8602540835
41,100,0,10,100,100,0,0,3,110,1170,100,100,0.0348253921,48.7262596364,10.0000000000,15.2001644242,1.0000000000,0.8880000000,225.2252252252
42,100,0,5,100,100,0,0,3,105,685,100,100,0.0300261331,48.6962335032,20.0000000000,15.6001752997,1.0000000000,0.8840000000,226.2443438914
43,100,0,2,100,100,0,0,3,102,394,100,100,0.0299110475,48.6663224557,50.0000000000,15.8401945720,1.0000000000,0.8816000000,226.8602540835
44,100,0,2,100,100,0,0,3,102,394,100,100,0.0289235060,48.6373989497,50.0000000000,15.8402142889,1.0000000000,0.8816000000,226.8602540835
45,100,0,4,100,100,0,0,3,104,588,100,100,0.0295828592,48.6078160905,25.0000000000,15.6802015369,1.0000000000,0.8832000000,226.4492753623
46,100,0,3,100,100,0,0,3,103,491,100,100,0.0299687438,48.5778473467,33.3333333333,15.7601809953,1.0000000000,0.8824000000,226.6545784225
47,100,0,9,100,100,0,0,3,109,1073,100,100,0.0338220730,48.5440252737,11.1111111111,15.2801881626,1.0000000000,0.8872000000,225.4283137962
48,100,0,5,100,100,0,0,3,104,685,100,100,0.0332354550,48.5107898187,20.0000000000,15.6002596928,1.0000000000,0.8832000000,226.4492753623
49,100,0,6,100,100,0,0,3,106,782,100,100,0.0312792907,48.4795105280,16.6666666667,15.5201767404,1.0000000000,0.8848000000,226.0397830018
50,100,0,5,100,100,0,0,3,105,685,100,100,0.0314147371,48.4480957909,20.0000000000,15.6002285766,1.0000000000,0.8840000000,226.2443438914
51,100,0,10,100,100,0,0,3,110,1170,100,100,0.0349363050,48.4131594859,10.0000000000,15.2001799425,1.0000000000,0.8880000000,225.2252252252
52,100,0,3,100,100,0,0,3,103,491,100,100,0.0297186357,48.3834408503,33.3333333333,15.7602020641,1.0000000000,0.8824000000,226.6545784225
53,100,0,1,100,100,0,0,3,101,297,100,100,0.0296668044,48.3537740459,100.0000000000,15.9201922231,1.0000000000,0.8808000000,227.0663033606
54,100,0,1,100,100,0,0,3,101,297,100,100,0.0383888830,48.3153851629,100.0000000000,15.9204013507,1.0000000000,0.8808000000,227.0663033606
55,100,0,4,100,100,0,0,3,104,588,100,100,0.0304548486,48.2849303143,25.0000000000,15.6801639347,1.0000000000,0.8832000000,226.4492753623
56,100,0,4,100,100,0,0,3,104,588,100,100,0.0303797993,48.2545505149,25.0000000000,15.6802110408,1.0000000000,0.8832000000,226.4492753623
57,100,0,6,100,100,0,0,3,106,782,100,100,0.0317640441,48.2227864709,16.6666666667,15.5201934236,1.0000000000,0.8848000000,226.0397830018
58,100,0,4,100,100,0,0,3,104,588,100,100,0.0313638979,48.1914225729,25.0000000000,15.6801890427,1.0000000000,0.8832000000,226.4492753623
59,100,0,10,100,100,0,0,3,110,1170,100,100,0.0348097981,48.1566127749,10.0000000000,15.2001769549,1.0000000000,0.8880000000,225.2252252252
60,100,0,6,100,100,0,0,3,106,782,100,100,0.0313849024,48.1252278725,16.6666666667,15.5201962652,1.0000000000,0.8848000000,226.0397830018
61,100,0,2,100,100,0,0,4,102,394,100,100,0.0286096405,48.0966182320,50.0000000000,15.8401969780,1.0000000000,0.8816000000,226.8602540835
62,100,0,2,100,100,0,0,4,102,394,100,100,0.0294948653,48.0671233667,50.0000000000,15.8402113573,1.0000000000,0.8816000000,226.8602540835
63,100,0,3,100,100,0,0,4,103,491,100,100,0.0324255372,48.0346978295,33.3333333333,15.7603114446,1.0000000000,0.8824000000,226.6545784225
64,100,0,3,100,100,0,0,4,103,491,100,100,0.0293863950,48.0053114346,33.3333333333,15.7602317396,1.0000000000,0.8824000000,226.6545784225
65,100,0,8,100,100,0,0,4,108,976,100,100,0.0335022262,47.9718092084,12.5000000000,15.3601714213,1.0000000000,0.8864000000,225.6317689531
66,100,0,4,100,100,0,0,4,104,588,100,100,0.0296989661,47.9421102423,25.0000000000,15.6802365077,1.0000000000,0.8832000000,226.4492753623
67,100,0,2,100,100,0,0,4,102,394,100,100,0.0295490394,47.9125612029,50.0000000000,15.8402805783,1.0000000000,0.8816000000,226.8602540835
68,100,0,10,100,100,0,0,4,110,1170,100,100,0.0350432339,47.8775179691,10.0000000000,15.2001792819,1.0000000000,0.8880000000,225.2252252252
69,100,0,3,100,100,0,0,4,103,491,100,100,0.0297030112,47.8478149579,33.3333333333,15.7602437240,1.0000000000,0.8824000000,226.6545784225
70,100,0,6,100,100,0,0,4,106,782,100,100,0.0309400748,47.8168748831,16.6666666667,15.5201764760,1.0000000000,0.8848000000,226.0397830018
71,100,0,4,100,100,0,0,4,104,588,100,100,0.0309260827,47.7859488003,25.0000000000,15.6802134470,1.0000000000,0.8832000000,226.4492753623
72,100,0,6,100,100,0,0,4,106,782,100,100,0.0316824187,47.7542663816,16.6666666667,15.5201766753,1.0000000000,0.8848000000,226.0397830018
73,100,0,8,100,100,0,0,4,108,976,100,100,0.0331994522,47.7210669294,12.5000000000,15.3601989513,1.0000000000,0.8864000000,225.6317689531
74,100,0,4,100,100,0,0,4,104,588,100,100,0.0298550911,47.6912118383,25.0000000000,15.6801724312,1.0000000000,0.8832000000,226.4492753623
75,100,0,5,100,100,0,0,4,105,685,100,100,0.0307427464,47.6604690919,20.0000000000,15.6001746411,1.0000000000,0.8840000000,226.2443438914
76,100,0,4,100,100,0,0,4,104,588,100,100,0.0301959502,47.6302731417,25.0000000000,15.6801934890,1.0000000000,0.8832000000,226.4492753623
