Node,Death_Round
0,1231
1,1197
2,1215
3,1128
4,1155
5,1300
6,986
7,1072
8,1135
9,1283
10,1153
11,1057
12,1146
13,1088
14,1016
15,1124
16,1143
17,1164
18,1167
19,1212
20,1145
21,1020
22,1150
23,1105
24,1155
25,1181
26,1101
27,1157
28,1007
29,1232
30,1059
31,1154
32,1189
33,1130
34,1229
35,1113
36,1104
37,1209
38,1128
39,1131
40,1027
41,1071
42,1202
43,1151
44,1230
45,1117
46,1117
47,1175
48,1067
49,1132
50,1175
51,1071
52,1093
53,1192
54,1063
55,1189
56,1038
57,1163
58,1167
59,1229
60,1195
61,1037
62,1028
63,1101
64,1035
65,1138
66,996
67,1178
68,1012
69,1163
70,1185
71,1206
72,1188
73,1089
74,1118
75,1244
76,1116
77,1267
78,1189
79,971
80,1141
81,1095
82,1268
83,1056
84,1131
85,1135
86,1224
87,1266
88,1171
89,1131
90,1216
91,1013
92,1094
93,1149
94,1089
95,1126
96,1210
97,1164
98,1224
99,1104
