Node,Death_Round
0,1018
1,1009
2,1031
3,978
4,977
5,1072
6,873
7,939
8,940
9,1118
10,991
11,921
12,986
13,962
14,880
15,953
16,975
17,998
18,987
19,1066
20,990
21,890
22,1009
23,945
24,980
25,1035
26,953
27,987
28,865
29,1052
30,919
31,989
32,1029
33,949
34,1055
35,951
36,992
37,1050
38,1000
39,984
40,896
41,914
42,1036
43,1027
44,1034
45,940
46,972
47,1011
48,912
49,1001
50,1020
51,922
52,936
53,1024
54,924
55,1067
56,889
57,1011
58,995
59,1089
60,989
61,890
62,852
63,932
64,879
65,968
66,860
67,1025
68,845
69,963
70,1023
71,1012
72,1037
73,945
74,975
75,1064
76,964
77,1068
78,1025
79,852
80,1005
81,961
82,1102
83,936
84,945
85,978
86,1079
87,1114
88,1014
89,993
90,1003
91,856
92,901
93,1014
94,910
95,930
96,1009
97,1007
98,1048
99,959
