Node,Death_Round
0,311
1,313
2,318
3,306
4,302
5,304
6,313
7,304
8,316
9,302
10,309
11,296
12,303
13,314
14,286
15,307
16,299
17,302
18,315
19,301
20,318
21,288
22,303
23,316
24,316
25,317
26,305
27,314
28,293
29,304
30,318
31,311
32,308
33,308
34,315
35,302
36,311
37,316
38,319
39,300
40,289
41,307
42,294
43,320
44,310
45,306
46,313
47,305
48,299
49,309
50,318
51,304
52,315
53,303
54,315
55,306
56,300
57,306
58,302
59,313
60,310
61,287
62,284
63,311
64,283
65,318
66,290
67,320
68,290
69,303
70,302
71,312
72,312
73,303
74,305
75,320
76,300
77,303
78,311
79,300
80,311
81,305
82,309
83,292
84,301
85,314
86,305
87,304
88,315
89,301
90,304
91,291
92,281
93,311
94,304
95,303
96,316
97,301
98,308
99,317
