Node,Death_Round
0,727
1,742
2,671
3,666
4,678
5,779
6,574
7,637
8,632
9,764
10,665
11,600
12,696
13,619
14,577
15,627
16,621
17,661
18,671
19,712
20,663
21,588
22,685
23,616
24,663
25,679
26,625
27,665
28,577
29,738
30,616
31,685
32,716
33,665
34,713
35,660
36,644
37,728
38,698
39,640
40,574
41,619
42,708
43,724
44,692
45,601
46,684
47,697
48,561
49,664
50,732
51,601
52,629
53,685
54,635
55,708
56,602
57,667
58,681
59,724
60,693
61,590
62,580
63,604
64,574
65,686
66,570
67,661
68,579
69,700
70,730
71,717
72,730
73,639
74,651
75,722
76,652
77,704
78,702
79,557
80,669
81,604
82,748
83,615
84,659
85,692
86,765
87,747
88,669
89,689
90,674
91,574
92,611
93,731
94,634
95,670
96,745
97,687
98,762
99,644
