Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,LEACH_Epoch,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,6,100,100,0,0,1,105,782,100,100,0.0758299098,47.6941700902,16.6666666667,16.3272682061,1.0000000000,0.9692800000,217.0683393859
2,100,0,9,100,100,0,0,1,108,1073,100,100,0.0832648078,47.6109052824,11.1111111111,16.0747548215,1.0000000000,0.9729280000,216.2544402052
3,100,0,2,100,100,0,0,1,102,394,100,100,0.0643645109,47.5465407715,50.0000000000,16.6638505395,1.0000000000,0.9656320000,217.8883881230
4,100,0,5,100,100,0,0,1,105,685,100,100,0.0714404159,47.4751003557,20.0000000000,16.4114015726,1.0000000000,0.9692800000,217.0683393859
5,100,0,4,100,100,0,0,1,104,588,100,100,0.0695260543,47.4055743014,25.0000000000,16.4956084352,1.0000000000,0.9680640000,217.3410022478
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0830645376,47.3225097638,11.1111111111,16.0747378696,1.0000000000,0.9741440000,215.9844951054
7,100,0,3,100,100,0,0,1,103,491,100,100,0.0662029907,47.2563067731,33.3333333333,16.5797008135,1.0000000000,0.9668480000,217.6143509631
8,100,0,4,100,100,0,0,1,104,588,100,100,0.0692768381,47.1870299350,25.0000000000,16.4955501999,1.0000000000,0.9680640000,217.3410022478
9,100,0,4,100,100,0,0,1,104,588,100,100,0.0707556263,47.1162743087,25.0000000000,16.4956106374,1.0000000000,0.9680640000,217.3410022478
10,100,0,4,100,100,0,0,1,104,588,100,100,0.0696027357,47.0466715730,25.0000000000,16.4955235536,1.0000000000,0.9680640000,217.3410022478
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0860845092,46.9605870638,10.0000000000,15.9905653590,1.0000000000,0.9753600000,215.7152230971
12,100,0,3,100,100,0,0,1,103,491,100,100,0.0668712239,46.8937158399,33.3333333333,16.5797350748,1.0000000000,0.9668480000,217.6143509631
13,100,0,8,100,100,0,0,1,108,976,100,100,0.0801932383,46.8135226016,12.5000000000,16.1589057193,1.0000000000,0.9729280000,216.2544402052
14,100,0,7,100,100,0,0,1,107,879,100,100,0.0771732633,46.7363493383,14.2857142857,16.2430433151,1.0000000000,0.9717120000,216.5250609234
15,100,0,6,100,100,0,0,1,106,782,100,100,0.0746034562,46.6617458821,16.6666666667,16.3272097520,1.0000000000,0.9704960000,216.7963597995
16,100,0,2,100,100,0,0,1,102,394,100,100,0.0652201325,46.5965257496,50.0000000000,16.6639182911,1.0000000000,0.9656320000,217.8883881230
17,100,0,4,100,100,0,0,1,104,588,100,100,0.0703889216,46.5261368280,25.0000000000,16.4955870581,1.0000000000,0.9680640000,217.3410022478
18,100,0,3,100,100,0,0,1,103,491,100,100,0.0665166614,46.4596201666,33.3333333333,16.5797041982,1.0000000000,0.9668480000,217.6143509631
19,100,0,2,100,100,0,0,1,102,394,100,100,0.0660203762,46.3935997904,50.0000000000,16.6639804415,1.0000000000,0.9656320000,217.8883881230
20,100,0,5,100,100,0,0,1,105,685,100,100,0.0718255174,46.3217742730,20.0000000000,16.4114161020,1.0000000000,0.9692800000,217.0683393859
21,100,0,4,100,100,0,0,2,104,588,100,100,0.0686375256,46.2531367474,25.0000000000,16.4955339781,1.0000000000,0.9680640000,217.3410022478
22,100,0,5,100,100,0,0,2,105,685,100,100,0.0719576299,46.1811791175,20.0000000000,16.4113817904,1.0000000000,0.9692800000,217.0683393859
23,100,0,4,100,100,0,0,2,104,588,100,100,0.0693439358,46.1118351817,25.0000000000,16.4955512822,1.0000000000,0.9680640000,217.3410022478
24,100,0,7,100,100,0,0,2,107,879,100,100,0.0774282634,46.0344069184,14.2857142857,16.2430696407,1.0000000000,0.9717120000,216.5250609234
25,100,0,4,100,100,0,0,2,104,588,100,100,0.0689707621,45.9654361562,25.0000000000,16.4955587615,1.0000000000,0.9680640000,217.3410022478
26,100,0,6,100,100,0,0,2,106,782,100,100,0.0742055798,45.8912305764,16.6666666667,16.3272321818,1.0000000000,0.9704960000,216.7963597995
27,100,0,5,100,100,0,0,2,105,685,100,100,0.0720948572,45.8191357192,20.0000000000,16.4114023249,1.0000000000,0.9692800000,217.0683393859
28,100,0,7,100,100,0,0,2,107,879,100,100,0.0772344973,45.7419012220,14.2857142857,16.2430476275,1.0000000000,0.9717120000,216.5250609234
29,100,0,5,100,100,0,0,2,105,685,100,100,0.0722412568,45.6696599651,20.0000000000,16.4114214509,1.0000000000,0.9692800000,217.0683393859
30,100,0,4,100,100,0,0,2,104,588,100,100,0.0690212912,45.6006386740,25.0000000000,16.4955557993,1.0000000000,0.9680640000,217.3410022478
31,100,0,6,100,100,0,0,2,106,782,100,100,0.0747534534,45.5258852206,16.6666666667,16.3272326626,1.0000000000,0.9704960000,216.7963597995
